N	2gram	Tiupa_Hudo	VrazhdaK
1	не только	22	9
2	и что	3	8
3	в этом	22	8
4	и в	34	8
5	что в	8	7
6	но и	13	7
7	и все	10	7
8	то что	13	7
9	но в	6	6
10	как и	16	6
11	в котором	5	6
12	в начале	3	6
13	в нем	5	6
14	и с	10	6
15	о нем	4	6
16	все же	5	6
17	и даже	4	6
18	и не	15	5
19	не было	8	5
20	об этом	8	5
21	то же	14	5
22	в то	12	5
23	же время	11	5
24	у него	13	5
25	между тем	14	5
26	для нас	4	4
27	уже в	2	4
28	несмотря на	7	4
29	в своих	4	4
30	это не	12	4
31	все это	2	4
32	при этом	21	4
33	о том	21	4
34	в ней	6	4
35	как бы	11	4
36	так же	3	4
37	что он	14	4
38	с ним	6	4
39	может быть	12	4
40	к творчеству	2	3
41	человека в	10	3
42	т е	6	3
43	давно уже	3	3
44	и у	3	3
45	в том	24	3
46	его в	5	3
47	который был	2	3
48	что у	4	3
49	и уже	3	3
50	в своем	9	3
51	том что	31	3
52	в его	17	3
53	матери и	2	3
54	в связи	3	3
55	и о	8	3
56	раз в	5	3
57	и его	8	3
58	в русской	4	3
59	он не	8	3
60	о себе	3	3
61	речь идет	3	3
62	связи с	4	3
63	эти слова	3	3
64	но он	3	3
65	на то	4	3
66	я не	8	3
67	русской литературе	3	3
68	наряду с	4	3
69	в конце	5	3
70	по нашему	3	3
71	с его	9	3
72	тем что	6	3
73	никогда не	8	2
74	же не	3	2
75	с нею	2	2
76	и то	2	2
77	в них	3	2
78	уже не	12	2
79	в мире	10	2
80	одна из	4	2
81	и т.п	2	2
82	место в	3	2
83	в него	2	2
84	для него	15	2
85	и это	7	2
86	с точки	5	2
87	мы знаем	4	2
88	а в	11	2
89	а также	4	2
90	он сам	3	2
91	в этой	11	2
92	нашему убеждению	2	2
93	тогда как	10	2
94	столь же	6	2
95	в своей	15	2
96	как раз	7	2
97	же в	3	2
98	но как	3	2
99	и он	6	2
100	в себе	19	2
101	еще не	10	2
102	и а	7	2
103	точки зрения	7	2
104	о чем	9	2
105	же как	4	2
106	это в	4	2
107	и ее	3	2
108	что я	4	2
109	его и	2	2
110	по мнению	6	2
111	на это	2	2
112	так в	2	2
113	их в	2	2
114	о которой	3	2
115	рядом с	5	2
116	не может	10	2
117	из них	5	2
118	в это	4	2
119	не менее	9	2
120	и стал	2	2
121	там же	2	2
122	но это	2	2
123	в глазах	11	2
124	к себе	8	2
125	отнюдь не	4	2
126	а с	5	2
127	м м	4	2
128	на основе	2	2
129	этот момент	3	2
130	вместе с	2	2
131	отношение к	3	2
