N	3gram	Vygotskiy_	Vladivir
1	в том что	33	29
2	о том что	7	22
3	и то что	6	14
4	в то время	4	13
5	во всяком случае	2	12
6	в связи с	6	12
7	в конце концов	2	11
8	с точки зрения	12	10
9	не может быть	4	10
10	вместе с тем	4	10
11	то что он	3	9
12	в этом смысле	5	9
13	на то что	5	8
14	это значит что	4	7
15	на первый план	2	7
16	в свое время	2	7
17	том что он	3	6
18	как это мы	2	6
19	в данном случае	3	6
20	том что в	2	6
21	в отличие от	3	6
22	в настоящее время	2	6
23	как мы видели	4	6
24	с другой стороны	8	6
25	само по себе	2	6
26	то время как	4	5
27	можно сказать что	7	4
28	как мы уже	2	4
29	не что иное	2	4
30	в этом отношении	7	4
31	можно было бы	8	4
32	заключается в том	12	4
33	с одной стороны	10	4
34	для того чтобы	20	4
35	что иное как	2	4
36	в том чтобы	3	4
37	что он не	3	3
38	с самого начала	8	3
39	потому что в	4	3
40	в первую очередь	4	3
41	так что в	2	3
42	ничего общего с	3	3
43	то в чем	5	3
44	в том числе	2	3
45	только то что	2	3
46	в самом деле	6	3
47	только в том	2	3
48	и в частности	3	3
49	не только не	7	3
50	а с другой	3	3
51	к тому что	5	3
52	мы знаем что	2	3
53	в свою очередь	4	3
54	но вместе с	3	2
55	и что в	2	2
56	так как это	3	2
57	далеко за пределы	4	2
58	то обстоятельство что	5	2
59	и тот же	5	2
60	с тем что	3	2
61	а не на	2	2
62	в этот период	3	2
63	так же как	9	2
64	до сих пор	3	2
65	не может не	3	2
66	одной стороны и	2	2
67	но как раз	2	2
68	есть не что	2	2
69	в этой области	3	2
70	в этом случае	5	2
71	один и тот	5	2
72	не то что	4	2
73	в вопросе о	3	2
74	по одному тому	2	2
75	независимо от того	2	2
