N	3gram	Vinokur_Ku	EvropaiE
1	с точки зрения	16	16
2	в то же	4	15
3	то же время	4	14
4	с одной стороны	2	8
5	в том что	23	6
6	этой точки зрения	4	5
7	для того чтобы	21	5
8	с этой точки	3	5
9	так же как	3	5
10	не только в	4	4
11	того или иного	5	4
12	само по себе	6	4
13	во всяком случае	8	3
14	в этом отношении	8	3
15	можно сказать что	2	3
16	в этом смысле	8	3
17	хотя бы и	4	3
18	можно было бы	11	3
19	хотя бы в	4	2
20	к тому чтобы	2	2
21	рано или поздно	2	2
22	с другой стороны	12	2
23	только в том	5	2
24	с течением времени	2	2
25	того что в	2	2
26	на то что	3	2
27	в большинстве случаев	2	2
28	не говоря уже	2	2
29	так и в	2	2
30	заключается в том	2	2
31	в свою очередь	4	2
32	не может быть	5	2
