N	3gram	Propp_Isto	Psycholo
1	в том что	8	78
2	на то что	4	55
3	о том что	3	34
4	с одной стороны	2	28
5	до сих пор	7	23
6	не может быть	4	23
7	и т д	30	22
8	с другой стороны	10	20
9	мы увидим что	2	19
10	не только не	2	16
11	мы видим что	6	16
12	во всяком случае	2	14
13	так же как	7	14
14	в то время	2	14
15	можно было бы	2	13
16	то время как	2	13
17	одной и той	2	12
18	и той же	2	12
19	подобно тому как	3	11
20	по сравнению с	2	11
21	и то что	4	10
22	в данном случае	6	9
23	точно так же	8	9
24	мы знаем что	8	8
25	друг с другом	2	8
26	смысле этого слова	3	8
27	что и в	3	7
28	состоит в том	2	7
29	можно сказать что	2	7
30	как и в	2	7
31	тем не менее	6	6
32	не что иное	6	6
33	что иное как	6	6
34	не только в	3	6
35	мы видели что	6	5
36	же как и	3	5
37	мы видим в	3	5
38	показывает что в	2	5
39	таким образом мы	2	4
40	к тому же	4	4
41	таким образом и	2	4
42	это и есть	2	4
43	том что в	2	4
44	во все время	2	4
45	и здесь мы	2	3
46	после того как	3	3
47	в этом случае	8	3
48	по отношению к	2	3
49	что и здесь	2	3
50	мы имеем в	4	2
51	как мы видели	7	2
52	то что было	2	2
53	видели что в	2	2
54	другой стороны и	3	2
55	в тех случаях	2	2
56	мы увидим ниже	3	2
57	есть не что	2	2
58	но и в	2	2
59	здесь мы имеем	3	2
60	в связи с	5	2
61	в одном из	2	2
62	я не знаю	3	2
63	это еще не	2	2
64	если бы она	2	2
65	что в них	2	2
66	мы уже знаем	3	2
67	и тем что	2	2
68	как мы увидим	2	2
69	он все же	3	2
70	же как в	2	2
71	в целом не	2	2
