N	2gram	Voloshinov	formyVre
1	и в	42	148
2	в этом	10	73
3	то есть	5	70
4	в нем	6	51
5	прежде всего	22	46
6	и не	14	37
7	в его	6	36
8	и его	7	36
9	вовсе не	2	35
10	но и	16	33
11	то же	16	32
12	не только	28	32
13	но в	5	31
14	жизни и	3	31
15	так и	7	29
16	может быть	13	27
17	не в	6	26
18	как мы	10	26
19	как и	12	25
20	как бы	30	25
21	мы уже	11	24
22	точки зрения	11	24
23	в то	9	23
24	человека в	2	23
25	времени и	2	23
26	только в	7	23
27	то что	9	22
28	в том	3	22
29	все эти	3	21
30	связи с	3	21
31	во всех	6	21
32	же время	7	21
33	и для	3	19
34	и на	7	19
35	и все	4	18
36	еще не	3	18
37	таким образом	8	18
38	человека и	2	17
39	с этим	2	17
40	те же	5	17
41	при этом	9	17
42	так как	8	17
43	в пределах	2	17
44	все же	9	16
45	в связи	2	16
46	в основе	3	16
47	не может	13	16
48	и их	5	16
49	никогда не	7	15
50	в разных	3	15
51	лишь в	4	15
52	так сказать	4	15
53	в дальнейшем	2	15
54	в одном	4	15
55	с точки	5	15
56	с его	8	15
57	вместе с	5	15
58	так же	4	14
59	все это	4	14
60	и как	10	14
61	в конце	6	14
62	и с	5	14
63	а не	7	14
64	роль в	3	13
65	в их	2	13
66	в частности	3	13
67	а в	5	13
68	того чтобы	7	13
69	для того	9	13
70	как в	3	13
71	в котором	3	13
72	в самом	5	13
73	с ним	2	13
74	ничего не	8	12
75	с природой	2	12
76	отнюдь не	10	12
77	значение и	2	12
78	не было	2	12
79	конечно не	3	12
80	и наконец	5	12
81	но не	2	12
82	потому что	7	12
83	он не	2	12
84	его в	4	11
85	между ними	3	11
86	в ней	8	11
87	хотя и	3	11
88	из них	3	11
89	уже в	5	11
90	влияние на	4	10
91	здесь не	2	10
92	в ее	3	10
93	тот же	2	10
94	кроме того	2	10
95	сих пор	2	10
96	также и	2	10
97	уже не	4	10
98	всего в	4	9
99	и следовательно	5	9
100	том что	3	9
101	должно быть	2	9
102	и даже	3	9
103	та же	3	9
104	и это	8	9
105	для него	3	9
106	но все	5	9
107	их в	3	9
108	отношения к	3	9
109	до конца	2	8
110	это не	3	8
111	или иной	6	8
112	и потому	2	8
113	к тому	4	8
114	отношение к	2	8
115	в целом	4	8
116	и т.п	25	8
117	один из	4	8
118	что и	3	8
119	здесь мы	3	8
120	и то	5	8
121	если бы	4	8
122	в этих	2	8
123	отношению к	2	8
124	в жизни	2	8
125	в мире	2	8
126	связанные с	2	8
127	и к	4	8
128	в виду	3	8
129	для всех	2	7
130	в процессе	6	7
131	в себе	10	7
132	связанных с	5	7
133	том же	2	7
134	у них	3	7
135	не знает	3	7
136	того что	4	7
137	между собой	2	7
138	в той	5	7
139	место в	2	7
140	было бы	7	7
141	к этому	2	7
142	из этих	2	7
143	и он	2	7
144	этот процесс	2	7
145	в которой	7	7
146	этом отношении	2	7
147	еще более	2	7
148	нет ничего	2	7
149	в форме	6	7
150	в отношении	2	6
151	есть не	2	6
152	но эта	2	6
153	с самим	2	6
154	своей жизни	5	6
155	на развитие	2	6
156	одной из	2	6
157	с тем	8	6
158	ту же	2	6
159	между двумя	2	6
160	мы видим	4	6
161	в качестве	4	6
162	сказать что	3	6
163	в начале	3	6
164	мы не	9	6
165	мы можем	7	6
166	на первый	2	6
167	не является	5	6
168	нет и	3	6
169	о том	4	6
170	в которых	2	6
171	что было	3	6
172	слова и	5	6
173	с помощью	6	6
174	о чем	2	5
175	и вообще	2	5
176	по своей	2	5
177	был бы	2	5
178	он должен	3	5
179	только на	3	5
180	ничем не	2	5
181	в какой-то	2	5
182	и ни	2	5
183	в него	2	5
184	с другими	2	5
185	той или	4	5
186	в этой	6	5
187	одно и	6	5
188	и от	7	5
189	хотя бы	18	5
190	мы имеем	2	5
191	в своей	2	5
192	об этом	3	5
193	тем что	2	5
194	или как	6	5
195	чаще всего	3	5
196	и является	5	5
197	да и	4	5
198	общества и	3	5
199	и уже	3	5
200	точка зрения	4	5
201	или в	2	5
202	той же	7	5
203	мы будем	6	5
204	перед нами	3	4
205	мы должны	10	4
206	по отношению	2	4
207	друг друга	2	4
208	и т.д	21	4
209	и при	2	4
210	что он	2	4
211	в точках	2	4
212	за ними	2	4
213	и те	2	4
214	на его	6	4
215	для них	2	4
216	языка и	4	4
217	связаны с	4	4
218	войти в	2	4
219	не становится	3	4
220	на одном	2	4
221	находятся в	2	4
222	и вот	3	4
223	у нас	4	4
224	вследствие этого	3	4
225	себе и	2	4
226	и сознания	2	4
227	прежде чем	2	4
228	этом случае	3	4
229	в своих	2	4
230	равно как	2	4
231	несмотря на	3	4
232	природы и	2	4
233	друг другу	2	4
234	же самое	5	4
235	в нашем	5	4
236	и развития	3	3
237	еще и	2	3
238	вопрос о	2	3
239	которые в	2	3
240	но мы	2	3
241	где и	2	3
242	в тех	3	3
243	а на	2	3
244	точку зрения	6	3
245	как это	5	3
246	самого начала	4	3
247	как уже	2	3
248	тому что	5	3
249	в точном	2	3
250	но это	2	3
251	в зависимости	7	3
252	события и	2	3
253	как нечто	2	3
254	с самого	4	3
255	и так	6	3
256	миру и	2	3
257	все то	2	3
258	бы в	6	3
259	все время	5	3
260	но при	3	3
261	бы и	2	3
262	в данной	4	3
263	в значительной	2	3
264	самое время	2	3
265	и здесь	3	3
266	целый ряд	3	3
267	зависимости от	7	3
268	мы увидим	5	3
269	бы не	2	3
270	и несколько	2	3
271	тот или	2	3
272	как нет	2	3
273	совершенно не	3	3
274	его и	3	3
275	точном смысле	2	3
276	которой мы	4	3
277	ни к	2	3
278	при всем	2	3
279	по своему	3	3
280	можно сказать	4	3
281	ни один	2	3
282	они еще	2	3
283	если мы	4	3
284	в свою	6	3
285	связь с	2	3
286	выражение в	3	3
287	если не	3	3
288	главным образом	3	3
289	что мы	11	3
290	мы в	3	3
291	человек не	2	3
292	и жизнь	2	3
293	не к	4	3
294	в слове	4	3
295	мы говорили	2	3
296	не мог	3	3
297	тем же	4	3
298	в каком	2	2
299	или даже	2	2
300	и поэтому	3	2
301	каждый из	2	2
302	само собой	4	2
303	собой разумеется	2	2
304	в каждом	4	2
305	свою очередь	4	2
306	связанный с	2	2
307	в наших	2	2
308	язык в	6	2
309	должен быть	2	2
310	самом деле	5	2
