N	2gram	Losev_Dial	StatiiOP
1	и в	34	103
2	в том	17	89
3	том что	18	77
4	в этом	14	76
5	что в	12	74
6	не только	35	60
7	и т	41	51
8	о том	11	47
9	но и	14	46
10	то что	25	44
11	что он	18	42
12	в его	6	42
13	и не	50	41
14	может быть	30	38
15	т е	72	33
16	было бы	13	32
17	т д	38	32
18	в этой	3	31
19	вовсе не	18	31
20	все это	13	29
21	тем что	5	29
22	таким образом	14	28
23	а в	3	27
24	а не	39	27
25	но в	3	26
26	что это	20	25
27	так и	11	25
28	этом отношении	2	24
29	и его	8	24
30	все же	4	23
31	не в	11	23
32	так что	11	23
33	точки зрения	43	23
34	потому что	21	23
35	того что	22	22
36	прежде всего	20	22
37	для того	4	22
38	у нас	7	22
39	как в	2	22
40	и пр	16	21
41	это не	13	20
42	в то	9	19
43	в своей	4	19
44	только в	10	19
45	об этом	8	18
46	не может	29	18
47	с другой	5	18
48	в котором	2	18
49	он не	8	18
50	самом деле	7	17
51	в данном	6	17
52	как на	6	17
53	в самом	9	17
54	как бы	19	17
55	с этим	4	16
56	сказать что	7	16
57	в ней	4	16
58	если бы	10	16
59	в этих	3	16
60	с тем	4	15
61	как и	14	15
62	для него	4	15
63	например в	3	15
64	другой стороны	4	15
65	из этих	5	15
66	я не	11	15
67	также и	6	15
68	и на	6	15
69	у него	2	15
70	как раз	11	15
71	была бы	5	14
72	к тому	4	14
73	то же	9	14
74	в течение	4	14
75	я думаю	2	14
76	с точки	25	14
77	и что	21	14
78	в своем	7	13
79	в конце	2	13
80	со стороны	5	13
81	тому что	5	13
82	но это	10	13
83	в нем	7	13
84	во всяком	5	13
85	именно в	5	13
86	из них	4	13
87	всяком случае	3	13
88	жизни и	8	13
89	вместе с	3	13
90	не менее	11	12
91	что они	2	12
92	так как	12	12
93	как например	2	12
94	хотя бы	9	12
95	что у	2	12
96	ни в	20	12
97	в своих	3	12
98	никогда не	9	11
99	вопрос о	9	11
100	и с	10	11
101	в них	6	11
102	все эти	4	11
103	и по	2	11
104	того как	2	11
105	это было	5	11
106	на то	5	11
107	не было	6	11
108	ясно что	16	11
109	на самом	2	10
110	в каком	9	10
111	так же	7	10
112	в виду	12	10
113	а как	2	10
114	в частности	3	10
115	ничего не	29	10
116	что и	8	10
117	в истории	7	10
118	во всех	2	10
119	кроме того	8	10
120	но не	3	10
121	что такое	25	10
122	же время	5	10
123	но он	3	10
124	в чем	11	9
125	что же	12	9
126	несмотря на	2	9
127	место в	2	9
128	можно сказать	5	9
129	в одном	3	9
130	с этой	7	9
131	и для	5	9
132	и к	5	9
133	для нас	2	9
134	что мы	10	9
135	говорит о	5	9
136	что эта	2	9
137	и тем	3	9
138	и это	12	9
139	при помощи	6	8
140	и об	2	8
141	могут быть	5	8
142	в их	2	8
143	той же	6	8
144	связи с	3	8
145	к этому	3	8
146	мы имеем	3	8
147	дело не	2	8
148	что она	13	8
149	в результате	7	8
150	тем не	10	8
151	и даже	21	8
152	но ведь	2	8
153	совершенно не	6	8
154	и о	9	8
155	заключается в	3	8
156	не имеет	18	8
157	по его	2	8
158	очень мало	2	7
159	данном случае	3	7
160	том как	2	7
161	о чем	2	7
162	вплоть до	2	7
163	в это	4	7
164	что здесь	3	7
165	в виде	11	7
166	одной из	3	7
167	что все	16	7
168	точка зрения	5	7
169	что этот	3	7
170	уже о	7	7
171	как это	8	7
172	тем более	5	7
173	в ее	5	7
174	нет никакого	10	7
175	и то	7	7
176	то в	5	7
177	отличается от	9	7
178	мы находим	5	7
179	еще не	7	7
180	еще и	2	7
181	что для	5	7
182	по себе	31	7
183	можно назвать	3	7
184	из этого	3	7
185	то время	6	7
186	не просто	20	7
187	представление о	3	7
188	не мог	3	7
189	в себе	8	6
190	в одной	4	6
191	ни одного	2	6
192	из которых	4	6
193	говорил что	2	6
194	его не	3	6
195	по существу	2	6
196	к нему	4	6
197	и все	17	6
198	по крайней	10	6
199	что на	3	6
200	и во	3	6
201	и я	3	6
202	же как	4	6
203	и вообще	7	6
204	с его	7	6
205	крайней мере	10	6
206	одно из	8	6
207	что с	2	6
208	независимо от	3	6
209	его как	6	6
210	мы не	11	6
211	и здесь	3	6
212	при его	3	6
213	в особенности	9	6
214	же и	2	6
215	что я	3	6
216	время как	6	6
217	в жизни	4	6
218	ни на	5	6
219	но я	2	6
220	только не	10	6
221	говорить о	13	6
222	в некоторых	3	6
223	не о	6	5
224	его в	2	5
225	нас к	2	5
226	на себя	3	5
227	даже не	8	5
228	но если	11	5
229	для себя	2	5
230	это и	12	5
231	что именно	10	5
232	как он	4	5
233	и потому	6	5
234	не приходится	2	5
235	она была	3	5
236	а то	2	5
237	одной стороны	3	5
238	что не	8	5
239	можно ли	6	5
240	конечно и	2	5
241	при этом	7	5
242	думать что	3	5
243	в сущности	10	5
244	не на	7	5
245	никто не	4	5
246	должна быть	11	5
247	хотя и	9	5
248	не потому	2	5
249	или иного	3	5
250	того или	6	5
251	утверждать что	6	5
252	то это	9	5
253	всех этих	3	5
254	целый ряд	3	5
255	как будто	3	5
256	но они	3	5
257	с одной	4	5
258	нет и	5	5
259	ни с	4	5
260	вообще не	3	5
261	ее в	3	5
262	и если	5	5
263	уже не	9	5
264	оно не	7	5
265	если не	3	5
266	конечно не	6	5
267	и только	6	5
268	в слове	3	5
269	без всякого	2	5
270	не могут	6	4
271	от его	2	4
272	одна из	4	4
273	на этом	3	4
274	нисколько не	4	4
275	что оно	9	4
276	и у	3	4
277	и эти	2	4
278	же можно	2	4
279	нет ни	5	4
280	не всегда	3	4
281	не зная	2	4
282	не знает	4	4
283	всего в	2	4
284	но как	3	4
285	мере в	3	4
286	так или	2	4
287	они не	3	4
288	тех пор	3	4
289	и без	4	4
290	что его	5	4
291	вы знаете	3	4
292	в процессе	2	4
293	мы видим	4	4
294	ничего общего	2	4
295	и тогда	6	4
296	в связи	3	4
297	е в	4	4
298	что было	2	4
299	это есть	19	4
300	в первом	2	4
301	случае не	4	4
302	должны быть	7	4
303	как мы	4	4
304	говорят что	3	4
305	да и	4	4
306	показывает что	4	4
307	для этого	3	4
308	иметь в	3	4
309	за пределы	3	4
310	сами по	3	4
311	есть в	4	4
312	в чисто	2	4
313	я уже	9	4
314	и он	3	4
315	же это	4	4
316	бы и	2	4
317	тем или	3	4
318	в свете	3	4
319	только что	7	4
320	известно что	4	4
321	из двух	4	4
322	как о	6	4
323	а именно	7	4
324	тому же	2	4
325	и так	2	4
326	все что	3	4
327	свою собственную	2	4
328	но для	3	4
329	не существует	10	4
330	вопрос в	2	4
331	совпадает с	2	4
332	во внимание	5	4
333	значит что	29	4
334	в смысле	4	4
335	или в	4	4
336	в таком	15	4
337	в основе	6	4
338	быть не	3	4
339	или иначе	2	4
340	чем в	2	4
341	перед нами	5	3
342	или иной	4	3
343	е не	4	3
344	из того	2	3
345	я с	2	3
346	от него	2	3
347	и наконец	2	3
348	от того	9	3
349	как к	2	3
350	каком смысле	5	3
351	или же	3	3
352	слово в	2	3
353	вот как	2	3
354	тогда когда	9	3
355	он должен	3	3
356	что нет	5	3
357	нет никаких	3	3
358	быть в	4	3
359	на основании	3	3
360	его от	2	3
361	на котором	2	3
362	ведь и	3	3
363	эти факты	3	3
364	но разве	2	3
365	о котором	4	3
366	как я	2	3
367	лучшем случае	2	3
368	она не	10	3
369	к этой	2	3
370	это уже	2	3
371	заметить что	2	3
372	и как	13	3
373	разного рода	2	3
374	даже и	9	3
375	из нее	2	3
376	я говорил	2	3
377	так в	2	3
378	не говоря	6	3
379	не то	3	3
380	действительно не	2	3
381	на них	2	3
382	нет вообще	4	3
383	есть еще	4	3
384	здесь не	2	3
385	не будет	5	3
386	не говорю	3	3
387	то не	2	3
388	себя и	3	3
389	говоря уже	6	3
390	и ее	8	3
391	бы то	3	3
392	я бы	3	3
393	пр в	2	3
394	бы в	5	3
395	все время	4	3
396	то и	5	3
397	тут не	4	3
398	от этого	5	3
399	больше чем	2	3
400	только потому	4	3
401	при таком	2	3
402	к истории	2	3
403	который не	2	3
404	и уже	5	3
405	которая не	2	3
406	если я	2	3
407	и нужно	2	3
408	со всеми	2	3
409	не значит	5	3
410	если это	2	3
411	их в	2	3
412	я и	2	3
413	когда он	3	3
414	у меня	2	3
415	но на	2	3
416	но что	11	3
417	он и	3	3
418	в лучшем	2	3
419	так чтобы	4	3
420	может не	4	3
421	то или	4	3
422	или иное	4	3
423	от нее	3	3
424	в один	2	3
425	это же	3	3
426	то ни	4	3
427	е как	2	3
428	отношения к	4	3
429	не должно	2	2
430	тем самым	3	2
431	с полной	3	2
432	ни о	8	2
433	я могу	2	2
434	а что	6	2
435	не имеют	2	2
436	и говорить	3	2
437	есть только	13	2
438	или нет	8	2
439	именно так	2	2
440	эти два	3	2
441	что их	2	2
442	вне всякого	2	2
443	них как	2	2
444	а это	2	2
445	едва ли	2	2
446	также не	3	2
447	не надо	3	2
448	я должен	4	2
449	состоит из	2	2
450	ведь это	2	2
451	были бы	2	2
452	с тех	2	2
453	от себя	5	2
454	от своего	2	2
455	не буду	5	2
456	и при	4	2
457	зрения в	3	2
458	не больше	4	2
459	и ни	3	2
460	об истории	2	2
461	быть ни	2	2
462	отличие от	2	2
463	мы знаем	3	2
464	в кармане	2	2
465	по своему	2	2
466	и совершенно	2	2
467	и события	3	2
468	и она	4	2
469	но только	7	2
470	а только	2	2
471	жизнь в	2	2
472	на себе	4	2
473	все его	2	2
474	а если	5	2
475	что можно	2	2
