N	3gram	Trubetskoy	Vladivir
1	в том что	7	29
2	о том что	2	22
3	и то что	3	14
4	во всяком случае	6	12
5	более или менее	4	11
6	в конце концов	3	11
7	в то же	10	10
8	с точки зрения	9	10
9	не может быть	4	10
10	вместе с тем	3	10
11	то же время	10	9
12	на то что	4	8
13	точно так же	2	7
14	в данном случае	3	6
15	в настоящее время	2	6
16	бы то ни	4	5
17	и в том	2	5
18	можно было бы	3	4
19	для того чтобы	6	4
20	в себе и	2	4
21	и вместе с	2	4
22	что он не	2	3
23	в том случае	4	3
24	только в том	2	3
25	во что бы	3	3
26	к тому что	2	3
27	что бы то	3	3
28	то ни стало	3	3
29	к которой он	4	2
30	том случае если	3	2
31	жизни и деятельности	2	2
32	в том и	2	2
33	до сих пор	5	2
34	не может не	3	2
35	а следовательно и	2	2
36	при таких условиях	3	2
37	в этом случае	3	2
