N	2gram	Losev_Dial	Poddanst
1	не только	26	17
2	и в	35	14
3	и не	51	12
4	в области	2	11
5	в этом	18	10
6	в отношении	5	10
7	но в	8	9
8	то же	21	9
9	в том	20	9
10	в качестве	2	9
11	хотя бы	6	8
12	в то	10	7
13	только в	7	7
14	же время	9	7
15	быть может	5	6
16	но и	17	6
17	было бы	14	6
18	в смысле	5	6
19	в ней	4	6
20	а я	3	5
21	с другой	10	5
22	не в	12	5
23	и о	4	5
24	в которых	2	5
25	отношении к	3	5
26	и пр	7	5
27	может быть	30	5
28	по себе	39	4
29	что в	19	4
30	если бы	12	4
31	и потому	6	4
32	тех кто	2	4
33	в своем	7	4
34	том что	18	4
35	мы должны	6	4
36	в котором	5	4
37	и к	8	4
38	как бы	19	4
39	и если	5	4
40	то что	25	4
41	не может	16	4
42	а в	8	4
43	же в	2	4
44	что мы	3	3
45	и как	14	3
46	с тем	2	3
47	но не	9	3
48	это не	18	3
49	т е	49	3
50	с точки	18	3
51	сами по	4	3
52	я и	3	3
53	для того	2	3
54	в себе	23	3
55	точки зрения	25	3
56	потому что	23	3
57	одной стороны	3	3
58	в нем	25	3
59	между тем	3	3
60	вслед за	2	3
61	она есть	12	3
62	могут быть	6	3
63	прежде всего	14	3
64	и т	31	3
65	хотя и	4	3
66	с одной	4	3
67	с ними	4	3
68	заключается в	4	3
69	как факт	2	2
70	должно быть	7	2
71	не о	5	2
72	да и	11	2
73	взгляда на	2	2
74	в них	4	2
75	в жизни	3	2
76	в мире	3	2
77	если в	5	2
78	есть не	8	2
79	отношения к	3	2
80	которое в	2	2
81	не к	2	2
82	никак не	6	2
83	стороны и	4	2
84	и мы	8	2
85	и это	6	2
86	есть нечто	16	2
87	помнить что	2	2
88	точек зрения	3	2
89	и тем	2	2
90	в его	4	2
91	с этим	5	2
92	по сравнению	2	2
93	и вот	10	2
94	в общем	2	2
95	не менее	5	2
96	говорить о	9	2
97	бы ни	3	2
98	со стороны	2	2
99	именно в	4	2
100	именно как	2	2
101	в виде	2	2
102	еще более	3	2
103	тем более	2	2
104	все это	14	2
105	но к	2	2
106	в частности	4	2
107	друг другу	4	2
108	а не	24	2
109	не было	7	2
110	мысль о	2	2
111	и есть	20	2
112	например в	2	2
113	и с	10	2
114	может и	5	2
115	во всех	3	2
116	она ни	3	2
117	в ее	3	2
118	в полной	2	2
119	не нужно	2	2
120	реальность и	3	2
121	как раз	7	2
122	есть в	2	2
123	в сфере	2	2
124	того что	6	2
125	думать что	3	2
126	в силу	6	2
127	главным образом	2	2
128	из них	5	2
129	отнюдь не	13	2
