N	2gram	Tiupa_Teor	SlovoVZh
1	не может	8	16
2	точки зрения	11	14
3	может быть	22	14
4	и его	11	13
5	как бы	8	13
6	и в	24	12
7	таким образом	3	12
8	в нашем	4	11
9	отношению к	10	11
10	по отношению	10	11
11	и не	17	10
12	если бы	3	9
13	прежде всего	3	8
14	сказать что	4	7
15	художественного произведения	5	7
16	при этом	20	6
17	в том	20	6
18	в нем	7	6
19	только в	9	6
20	к содержанию	3	6
21	никогда не	4	5
22	как в	5	5
23	в жизни	3	5
24	в виду	5	5
25	можно сказать	5	5
26	но в	12	5
27	том что	11	5
28	то же	12	5
29	как и	6	5
30	героя и	6	5
31	а не	14	5
32	то что	6	5
33	и др	3	5
34	отнюдь не	3	5
35	в самом	7	4
36	в этом	12	4
37	не только	24	4
38	в литературе	4	4
39	его в	4	4
40	и является	2	4
41	не в	9	4
42	высказывания как	2	4
43	ни было	2	4
44	с другой	9	4
45	дело в	2	4
46	к нему	2	4
47	за пределы	2	4
48	и к	3	4
49	так и	14	4
50	и на	2	4
51	уже не	6	4
52	отношение к	7	4
53	как к	5	3
54	в них	2	3
55	в поэзии	2	3
56	по себе	2	3
57	в каком	2	3
58	о том	2	3
59	и для	3	3
60	имеет в	2	3
61	внутренней речи	13	3
62	он должен	3	3
63	ни в	5	3
64	все эти	3	3
65	к герою	2	3
66	бы то	2	3
67	то ни	2	3
68	так же	2	3
69	в своей	8	3
70	в себе	14	3
71	художественное произведение	3	3
72	еще не	6	3
73	здесь не	2	3
74	все это	2	3
75	только на	2	3
76	и ее	4	3
77	между тем	5	3
78	этой точки	2	3
79	не менее	6	3
80	отношении к	4	3
81	быть и	2	3
82	в пределах	5	3
83	и по	3	3
84	в художественном	5	3
85	самом деле	2	3
86	того что	5	3
87	тем не	3	3
88	художественного творчества	5	3
89	но и	14	3
90	для него	5	3
91	одно и	2	2
92	автором и	2	2
93	и то	3	2
94	мы в	2	2
95	в его	12	2
96	данном случае	5	2
97	к его	3	2
98	имеет место	3	2
99	и здесь	2	2
100	что в	10	2
101	в отношении	4	2
102	в душе	9	2
103	искусства и	3	2
104	и притом	3	2
105	как уже	2	2
106	место в	7	2
107	с его	6	2
108	что и	2	2
109	это не	4	2
110	истории литературы	2	2
111	с точки	3	2
112	от всех	2	2
113	в своем	7	2
114	в данном	9	2
115	с другими	6	2
116	высказывания и	2	2
117	мы имеем	7	2
118	и что	4	2
119	в то	9	2
120	себя и	2	2
121	с этой	3	2
122	в этих	4	2
123	одной стороны	3	2
124	и другие	2	2
125	он не	5	2
126	в какой	2	2
127	в формах	2	2
128	делает его	2	2
129	в момент	3	2
130	и потому	3	2
131	оно не	2	2
132	имеем в	3	2
133	но не	13	2
134	как это	10	2
135	автора и	2	2
136	в себя	5	2
137	до известной	2	2
138	была бы	3	2
139	могут быть	5	2
140	совпадает с	4	2
141	частной жизни	2	2
142	в чем	2	2
143	между собой	3	2
144	в форме	4	2
145	значения и	2	2
146	с одной	3	2
147	между ними	6	2
148	этих двух	2	2
149	известной степени	3	2
150	другой стороны	6	2
151	вместе с	2	2
