N	2gram	Bakhtin_KF	EvropaiE
1	и в	28	37
2	точки зрения	13	23
3	что в	4	21
4	не только	5	18
5	с точки	10	17
6	в то	3	16
7	отношении к	2	15
8	хотя бы	5	15
9	то же	5	15
10	в своем	17	14
11	но в	5	14
12	но и	9	14
13	и не	28	14
14	же время	2	14
15	в качестве	2	14
16	в этом	15	12
17	в том	6	11
18	в их	9	11
19	в области	2	11
20	так и	2	10
21	в смысле	6	9
22	не может	29	9
23	отнюдь не	7	9
24	в себе	21	9
25	прежде всего	4	9
26	только в	18	9
27	между тем	4	8
28	в ее	17	8
29	думать что	2	8
30	было бы	8	8
31	в своей	11	8
32	по своему	3	7
33	как и	5	7
34	того что	3	7
35	том что	4	6
36	во всех	11	6
37	может быть	45	6
38	и на	3	6
39	того чтобы	2	6
40	для того	3	6
41	то что	7	6
42	как бы	9	6
43	вовсе не	7	6
44	но не	12	5
45	от этого	2	5
46	тем самым	4	5
47	и потому	2	5
48	со стороны	8	5
49	не в	13	5
50	в виде	2	5
51	в каком	4	4
52	лежат в	3	4
53	вопрос о	2	4
54	не имеет	6	4
55	или иного	3	4
56	или иной	2	4
57	независимо от	3	4
58	именно в	5	4
59	в процессе	2	4
60	мы не	3	4
61	в ней	3	4
62	для нас	4	4
63	по себе	2	4
64	в некотором	3	4
65	мира в	6	4
66	ни было	4	4
67	той или	3	4
68	то ни	2	4
69	того или	3	4
70	бы то	2	4
71	никогда не	5	3
72	с тем	2	3
73	и для	10	3
74	и только	7	3
75	различия в	2	3
76	о том	3	3
77	к ним	4	3
78	ли это	2	3
79	в данном	2	3
80	не из	2	3
81	этом смысле	3	3
82	мира и	4	3
83	бы и	3	3
84	в свою	3	3
85	этот факт	2	3
86	не будет	2	3
87	можно ли	2	3
88	место в	6	3
89	что и	7	3
90	там где	5	3
91	и мы	2	3
92	и тем	3	3
93	не дает	3	3
94	тем что	3	3
95	жизни в	5	3
96	потому что	2	3
97	на своем	3	3
98	как в	2	3
99	дело в	2	3
100	в мире	8	2
101	кажется что	2	2
102	в его	42	2
103	не есть	22	2
104	и этот	3	2
105	что это	4	2
106	мира не	3	2
107	одна и	2	2
108	и то	2	2
109	к нему	12	2
110	она не	2	2
111	а в	5	2
112	в котором	24	2
113	его на	2	2
114	но как	5	2
115	как оно	2	2
116	жизни мира	2	2
117	в своих	4	2
118	поскольку он	3	2
119	стороны в	3	2
120	не нужно	2	2
121	могут быть	3	2
122	тогда когда	3	2
123	и та	3	2
124	на язык	3	2
125	в одном	5	2
126	и как	2	2
127	ко всему	5	2
128	поскольку она	2	2
129	если бы	8	2
130	ее от	2	2
131	жизни и	8	2
132	еще более	2	2
133	и того	2	2
134	а не	17	2
135	и других	2	2
136	за вычетом	6	2
137	и все	9	2
138	могут стать	2	2
139	он не	6	2
140	во всей	4	2
141	и эта	2	2
142	в этой	2	2
143	должна быть	4	2
144	мира но	5	2
145	на основе	7	2
146	будет ли	2	2
147	при условии	2	2
148	культурные ценности	3	2
149	культуры и	5	2
