N	3gram	Vinokur_Ku	slovoVRo
1	и т п	39	72
2	не может быть	5	19
3	в то же	4	18
4	то же время	4	18
5	с точки зрения	16	15
6	в узком смысле	2	14
7	в отличие от	3	14
8	в большинстве случаев	2	11
9	с одной стороны	2	11
10	и т д	21	10
11	более или менее	3	9
12	в этом случае	4	9
13	т п в	2	8
14	во всяком случае	8	8
15	в зависимости от	7	8
16	большей или меньшей	2	6
17	так и в	2	6
18	с другой стороны	12	6
19	но все же	3	6
20	в том что	23	5
21	в этом отношении	8	5
22	не только в	4	5
23	и там где	2	5
24	хотя бы и	4	5
25	по отношению к	8	5
26	в большей или	2	4
27	для того чтобы	21	4
28	или меньшей степени	2	4
29	таким образом в	2	4
30	те или иные	2	4
31	до сих пор	5	4
32	можно сказать что	2	4
33	в свою очередь	4	4
34	в широком смысле	2	3
35	к тому что	2	3
36	свое выражение в	2	3
37	может быть только	2	3
38	в связи с	4	3
39	и не в	2	3
40	несколько слов о	2	3
41	т п все	2	3
42	того или иного	5	3
43	все же и	3	2
44	а следовательно и	2	2
45	о том что	6	2
46	можно было бы	11	2
47	т п и	2	2
48	и в том	2	2
49	в том и	3	2
50	рано или поздно	2	2
51	этой точки зрения	4	2
52	с этой точки	3	2
53	то или иное	2	2
54	и в другом	2	2
55	тем не менее	9	2
