N	2gram	Berdyaev_V	Mirosoze
1	и в	16	97
2	не только	2	63
3	в этом	4	55
4	но и	5	54
5	а не	7	53
6	в нем	4	49
7	во имя	32	39
8	и не	20	39
9	никогда не	3	38
10	потому что	4	37
11	в ней	4	37
12	не было	3	36
13	не в	3	34
14	и есть	4	33
15	для него	2	31
16	великого инквизитора	36	30
17	не есть	6	30
18	прежде всего	2	29
19	как и	4	29
20	но в	3	27
21	в мире	5	27
22	человека и	6	26
23	и это	2	25
24	в своей	3	25
25	и все	4	24
26	свободы и	12	24
27	о свободе	2	24
28	что в	3	23
29	что он	4	22
30	бога и	5	20
31	в бога	2	20
32	как бы	5	19
33	ивана карамазова	2	18
34	великий инквизитор	31	18
35	в его	4	18
36	и потому	7	17
37	того что	5	17
38	в том	3	16
39	том что	2	16
40	то что	9	16
41	на земле	7	16
42	в котором	4	15
43	нет ничего	3	14
44	в конце	3	14
45	великом инквизиторе	5	14
46	так как	9	14
47	те которые	2	14
48	о великом	4	13
49	это не	2	12
50	добра и	4	12
51	и зла	2	12
52	в них	3	12
53	все это	5	12
54	от свободы	2	12
55	но не	2	12
56	во христе	3	12
57	с тем	2	11
58	любовь к	3	11
59	но это	3	11
60	хотя бы	3	11
61	только в	2	11
62	и для	3	11
63	уже не	2	11
64	жизни и	3	11
65	духа и	2	11
66	не могут	2	10
67	для человека	2	10
68	один из	2	10
69	должна быть	3	10
70	не имеет	3	10
71	свободной любви	6	9
72	бы и	3	9
73	а в	2	9
74	к тому	3	9
75	не будет	2	9
76	что и	3	9
77	и во	2	9
78	хлеба земного	6	9
79	должно быть	3	9
80	все что	4	9
81	есть уже	2	9
82	с ним	2	9
83	лишь в	3	9
84	от него	2	8
85	в человека	2	8
86	в этих	3	8
87	не так	2	8
88	что не	4	8
89	того чтобы	2	8
90	мира сего	4	8
91	христа в	3	8
92	с его	3	8
93	тем что	2	8
94	что есть	5	8
95	нет и	2	8
96	в духе	2	7
97	более чем	2	7
98	что все	4	7
99	в боге	5	7
100	в жизни	3	7
101	не хотел	2	7
102	любовь не	2	7
103	к богу	8	6
104	личности и	3	6
105	вера в	2	6
106	нет у	4	6
107	людей и	2	6
108	всего в	2	6
109	и свободы	2	6
110	имя счастья	2	6
111	его не	2	6
112	людей не	2	6
113	в образе	4	6
114	самого себя	2	6
