N	2gram	Vygotskiy_	VrazhdaK
1	не только	28	9
2	и что	18	8
3	в этом	43	8
4	и в	33	8
5	что в	33	7
6	но и	14	7
7	и все	2	7
8	то что	48	7
9	но в	9	6
10	как и	13	6
11	в котором	2	6
12	в начале	2	6
13	в нем	10	6
14	и с	7	6
15	все же	5	6
16	и даже	3	6
17	и не	18	5
18	то же	12	5
19	в то	5	5
20	у него	8	5
21	между тем	5	5
22	уже в	4	4
23	целый ряд	5	4
24	несмотря на	3	4
25	в своих	5	4
26	это не	8	4
27	в виду	4	4
28	все это	2	4
29	при этом	9	4
30	о том	13	4
31	в ней	2	4
32	как бы	11	4
33	так же	22	4
34	что он	40	4
35	в истории	3	4
36	с ним	6	4
37	может быть	15	4
38	в том	44	3
39	в чем	10	3
40	одним из	4	3
41	его в	6	3
42	что у	4	3
43	и во	2	3
44	в своем	11	3
45	том что	41	3
46	в его	15	3
47	в связи	6	3
48	раз в	4	3
49	и его	6	3
50	и как	7	3
51	в этот	4	3
52	он не	13	3
53	связи с	9	3
54	к этому	7	3
55	но он	8	3
56	на то	6	3
57	я не	6	3
58	наряду с	3	3
59	в конце	3	3
60	с его	3	3
61	тем что	12	3
62	никогда не	10	2
63	и то	9	2
64	в них	3	2
65	к ним	2	2
66	и т.п	2	2
67	место в	2	2
68	в той	8	2
69	что к	2	2
70	для него	9	2
71	и это	3	2
72	на первый	2	2
73	с точки	12	2
74	как же	2	2
75	мы знаем	5	2
76	а в	5	2
77	он сам	2	2
78	в этой	8	2
79	тогда как	3	2
80	столь же	5	2
81	в своей	5	2
82	как раз	5	2
83	же в	2	2
84	но как	6	2
85	и он	3	2
86	в себе	4	2
87	еще не	11	2
88	точки зрения	27	2
89	о чем	3	2
90	же как	9	2
91	тем более	5	2
92	это в	2	2
93	таким образом	30	2
94	и ее	2	2
95	что я	4	2
96	в момент	4	2
97	его и	4	2
98	отношения к	2	2
99	на место	2	2
100	в свою	5	2
101	по мнению	2	2
102	их в	3	2
103	не может	31	2
104	из них	6	2
105	ответ на	3	2
106	не менее	4	2
107	его на	2	2
108	но это	4	2
109	с которым	2	2
110	отнюдь не	2	2
111	а с	3	2
112	на основе	6	2
113	о влиянии	2	2
114	этот момент	2	2
115	вместе с	9	2
116	в известном	9	2
117	отношение к	12	2
