N	2gram	Bakhtin_KF	Problemy
1	и в	28	106
2	и не	28	90
3	как бы	9	70
4	может быть	45	66
5	в его	42	56
6	в этом	15	52
7	в нем	32	51
8	не может	29	49
9	что он	2	44
10	как и	5	44
11	но и	9	40
12	точки зрения	13	40
13	для него	13	39
14	и его	18	39
15	а не	17	38
16	не только	5	36
17	то же	5	36
18	то что	7	33
19	но в	5	33
20	прежде всего	4	32
21	в то	3	29
22	все это	10	29
23	он не	6	29
24	и все	9	28
25	не в	13	27
26	в одном	5	27
27	к себе	2	26
28	же время	2	26
29	к нему	12	25
30	с точки	10	25
31	самом деле	3	24
32	не как	4	24
33	вовсе не	7	24
34	рядом с	3	23
35	и на	3	23
36	в каждом	3	22
37	что я	5	22
38	по себе	2	22
39	там где	5	21
40	никогда не	5	20
41	все же	5	20
42	потому что	2	20
43	только в	18	20
44	что в	4	19
45	с его	2	19
46	отношению к	22	19
47	слова в	2	19
48	на самом	3	18
49	в себе	21	18
50	по отношению	26	18
51	о нем	4	18
52	все эти	11	18
53	уже не	7	18
54	еще не	5	18
55	но не	12	18
56	это не	10	17
57	в том	6	17
58	так и	2	17
59	а в	5	17
60	с ним	5	17
61	в другом	3	16
62	если бы	8	16
63	в своей	11	16
64	этом смысле	3	16
65	до конца	3	15
66	и для	10	15
67	в своем	17	14
68	я не	6	14
69	лишь в	8	14
70	с другим	4	14
71	он и	2	14
72	а как	2	14
73	его в	5	13
74	и это	12	13
75	в целом	10	13
76	себя и	5	13
77	в мире	8	13
78	но все	6	13
79	том что	4	12
80	ничего не	3	12
81	между тем	4	12
82	не знает	5	12
83	что и	7	12
84	при этом	4	12
85	было бы	8	12
86	но это	6	12
87	и как	2	12
88	как в	2	12
89	себе и	3	12
90	отношении к	2	12
91	в котором	24	12
92	она не	2	11
93	видения и	2	11
94	этого слова	2	11
95	бы и	3	11
96	должно быть	6	11
97	тем что	3	11
98	сознания и	3	11
99	или как	2	11
100	входит в	4	11
101	отношение к	6	10
102	для себя	7	10
103	в него	2	10
104	что не	3	10
105	слово не	3	10
106	лишь как	3	10
107	и потому	2	9
108	в единстве	8	9
109	могут быть	3	9
110	в единство	3	9
111	раз и	2	9
112	хотя бы	5	9
113	ни в	12	9
114	но как	5	8
115	его целом	10	8
116	как к	2	8
117	это и	3	8
118	того что	3	8
119	здесь не	3	8
120	с ними	4	8
121	должна быть	4	8
122	из его	3	8
123	менее всего	6	8
124	что это	4	8
125	бы он	2	8
126	знает и	2	8
127	был бы	3	8
128	ни было	4	8
129	о том	3	8
130	не о	2	7
131	вопрос о	2	7
132	были бы	2	7
133	его к	2	7
134	от него	3	7
135	но эта	6	7
136	в их	9	7
137	в виде	2	7
138	от себя	10	7
139	в виду	3	7
140	его и	2	7
141	тем как	3	7
142	в процессе	2	7
143	мира и	4	7
144	себя как	2	7
145	и другого	3	7
146	то ни	2	7
147	и ее	2	7
148	тот же	3	7
149	бы то	2	7
150	кажется что	2	7
151	ее как	2	7
152	в жизни	2	7
153	его с	2	7
154	и их	6	7
155	во всех	11	7
156	не было	8	7
157	как его	4	7
158	в себя	8	7
159	а с	2	6
160	не менее	3	6
161	и этим	3	6
162	себя в	8	6
163	и здесь	7	6
164	для этого	2	6
165	ни был	2	6
166	этого мира	3	6
167	во всем	7	6
168	но ведь	5	6
169	человек и	2	6
170	но для	3	6
171	и пр	3	6
172	и только	7	6
173	в этой	2	6
174	он может	2	6
175	в своих	4	6
176	жизни и	8	6
177	конечно не	7	6
178	в основе	5	6
179	нисколько не	4	5
180	и то	2	5
181	или иной	2	5
182	когда я	3	5
183	себе как	2	5
184	ведь это	2	5
185	со всеми	2	5
186	здесь мы	4	5
187	по своему	3	5
188	с тем	2	5
189	для другого	4	5
190	тому что	2	5
191	в чем	4	5
192	но здесь	3	5
193	один из	2	5
194	меня не	4	5
195	мы не	3	5
196	той или	3	5
197	в ее	17	5
198	в мир	2	5
199	ним и	3	5
200	автора как	2	5
201	его как	5	5
202	другого и	2	5
203	мира в	6	5
204	та же	3	5
205	он ни	2	5
206	совершенно не	7	5
207	где он	3	5
208	этот мир	2	5
209	и свой	2	5
210	с человеком	3	5
211	нет и	3	5
212	именно в	5	5
213	не могу	3	5
214	я и	5	5
215	быть и	3	5
216	в ней	3	5
217	тем не	2	4
218	конечно в	2	4
219	от того	3	4
220	мысль не	2	4
221	из которых	2	4
222	как предмет	2	4
223	сознания не	2	4
224	только с	3	4
225	не значит	6	4
226	мир в	12	4
227	войти в	3	4
228	во всей	4	4
229	даны в	2	4
230	нет в	4	4
231	него и	2	4
232	всех этих	3	4
233	это было	2	4
234	с ее	2	4
235	но этот	2	4
236	бы не	3	4
237	времени и	4	4
238	вследствие этого	2	4
239	нами в	2	4
240	жизнь и	2	4
241	в едином	10	4
242	еще более	2	4
243	оно не	2	4
244	не есть	22	4
245	а лишь	3	4
246	если не	2	4
247	и действительно	6	4
248	момент его	9	4
249	здесь нет	3	4
250	и себе	2	3
251	чтобы не	2	3
252	бытия в	5	3
253	вступает в	3	3
254	единство мира	3	3
255	человека и	3	3
256	не я	3	3
257	герой и	2	3
258	к чему	3	3
259	что этот	3	3
260	и само	2	3
261	меня и	3	3
262	и та	3	3
263	совсем не	2	3
264	того чтобы	2	3
265	и мир	2	3
266	отсюда и	3	3
267	и мы	2	3
268	того или	3	3
269	в сознании	2	3
270	в данном	2	3
271	себе а	2	3
272	говорить о	2	3
273	дело в	2	3
274	себя за	2	3
275	но конечно	3	3
276	все они	2	3
277	дан в	2	3
278	мы здесь	3	3
279	и есть	10	3
280	и единство	3	3
281	в смысле	6	3
282	места в	4	3
283	не из	2	3
284	которой он	2	3
285	сводится к	2	3
286	и делает	3	3
287	именно на	2	3
288	и эта	2	3
289	не дает	3	3
290	других для	2	2
291	ибо все	3	2
292	мира не	3	2
293	ясно и	3	2
294	его на	2	2
295	не потому	2	2
296	я его	2	2
297	одного и	2	2
298	к этому	2	2
299	не проникает	5	2
300	но есть	2	2
301	должен быть	7	2
302	и эти	2	2
303	и других	2	2
304	бы оно	2	2
305	ни одно	5	2
306	тогда когда	3	2
307	и ни	3	2
308	быть в	4	2
309	нем не	2	2
310	предмет и	2	2
311	чем не	4	2
312	от этого	2	2
313	нем и	3	2
314	в контексте	5	2
315	это уже	2	2
316	есть я	3	2
317	отнюдь не	7	2
318	и совершенно	3	2
319	действительно и	3	2
320	единство бытия	2	2
321	со всем	5	2
322	нем как	4	2
323	в корне	3	2
324	что значит	2	2
325	проникает в	5	2
326	сознания как	2	2
327	значимость и	2	2
328	к которой	2	2
329	независимо от	3	2
330	ли это	2	2
331	я уже	2	2
332	и весь	4	2
