N	3gram	Propp_Isto	StatiiOP
1	в том что	8	47
2	и т д	30	32
3	о том что	3	29
4	до сих пор	7	19
5	во всяком случае	2	13
6	с другой стороны	10	13
7	не может быть	4	11
8	на то что	4	9
9	можно было бы	2	9
10	тем не менее	6	8
11	не только в	3	8
12	в данном случае	6	7
13	в то время	2	7
14	но все же	5	7
15	по отношению к	2	6
16	так же как	7	6
17	том что в	2	6
18	не только не	2	6
19	в одном из	2	6
20	после того как	3	5
21	то время как	2	5
22	но и в	2	5
23	в связи с	5	4
24	с одной стороны	2	4
25	что и в	3	4
26	т е в	2	3
27	можно сказать что	2	3
28	совершенно так же	4	3
29	к тому же	4	3
30	в этом случае	8	3
31	состоит в том	2	3
32	мы имеем в	4	2
33	как мы видели	7	2
34	как и в	2	2
35	с того что	2	2
36	между прочим и	2	2
37	независимо от того	2	2
38	точно так же	8	2
39	и в других	3	2
40	и то что	4	2
