N	2gram	Vygotskiy_	PoTuStor
1	может быть	20	17
2	и в	47	16
3	мы можем	7	9
4	в этом	47	9
5	и только	7	9
6	таким образом	38	9
7	прежде всего	9	9
8	и с	5	8
9	точки зрения	39	8
10	совершенно не	2	8
11	не может	23	8
12	и его	14	8
13	сказать что	18	7
14	не только	36	7
15	и это	2	6
16	с точки	31	6
17	конечно не	2	6
18	самом деле	6	6
19	и к	11	6
20	для него	6	6
21	при этом	4	6
22	ни в	3	5
23	все эти	7	5
24	что такое	2	5
25	как бы	13	5
26	нуждается в	5	5
27	еще не	5	5
28	в чем	5	5
29	отношение к	8	5
30	как мы	24	4
31	и на	4	4
32	все это	5	4
33	на самом	3	4
34	его в	7	4
35	в его	7	4
36	и ее	3	4
37	но и	19	4
38	и не	27	4
39	и все	5	4
40	но в	9	4
41	с самого	13	4
42	в этой	7	4
43	но мы	5	4
44	с ее	2	4
45	и наконец	4	4
46	так как	25	4
47	и их	7	4
48	все что	7	4
49	и может	2	4
50	только в	24	4
51	в нем	6	4
52	можно сказать	9	4
53	так и	8	4
54	для всех	2	4
55	мысли и	13	4
56	самого начала	13	4
57	отнюдь не	2	4
58	и даже	3	4
59	едва ли	5	3
60	ребенка и	10	3
61	и она	2	3
62	что в	23	3
63	и притом	4	3
64	и как	7	3
65	и потому	3	3
66	на этой	7	3
67	а в	3	3
68	в том	38	3
69	их в	2	3
70	по сравнению	23	3
71	с другими	5	3
72	между ними	8	3
73	в области	5	3
74	до сих	6	3
75	в основном	4	3
76	только на	5	3
77	и есть	4	3
78	во время	2	3
79	большинстве случаев	2	3
80	в большинстве	2	3
81	сравнению с	21	3
82	в этих	2	3
83	в конечном	2	3
84	отношения к	5	3
85	с их	2	3
86	как это	7	3
87	то что	40	3
88	только как	2	3
89	во всех	9	3
90	ступенях развития	2	3
91	могут быть	7	3
92	сих пор	6	3
93	вместе с	19	3
94	учение о	3	3
95	в одном	4	3
96	этом смысле	2	3
97	на этом	4	3
98	мы знаем	5	3
99	во всяком	2	3
100	и значение	5	3
101	том что	28	3
102	в основе	5	3
103	один из	3	2
104	никогда не	7	2
105	для нас	4	2
106	что мы	14	2
107	по своему	11	2
108	мы видим	10	2
109	в них	3	2
110	не можем	4	2
111	в каком	2	2
112	понятия и	5	2
113	для этого	4	2
114	и вообще	3	2
115	же как	14	2
116	и для	5	2
117	совсем не	2	2
118	что не	2	2
119	что это	7	2
120	и по	6	2
121	вообще не	6	2
122	что и	4	2
123	не менее	6	2
124	ее в	11	2
125	было бы	12	2
126	не могут	9	2
127	возникает в	3	2
128	и других	5	2
129	на друга	2	2
130	о том	5	2
131	то же	16	2
132	они не	2	2
133	с этим	5	2
134	как и	19	2
135	что он	13	2
136	так же	26	2
137	того же	7	2
138	в своей	4	2
139	мы не	10	2
140	себя и	2	2
141	из этих	6	2
142	но как	3	2
143	в самом	15	2
144	находится в	3	2
145	знаем что	3	2
146	в начале	6	2
147	с этой	5	2
148	в частности	4	2
149	что можно	2	2
150	связанные с	3	2
151	он не	5	2
152	у него	2	2
153	ту же	4	2
154	за счет	4	2
155	во всей	3	2
156	если мы	6	2
157	со всеми	2	2
158	и о	4	2
159	оно не	3	2
160	не есть	4	2
161	к другим	11	2
162	за пределы	2	2
163	к этому	2	2
164	на этих	2	2
165	что на	5	2
166	конечном счете	2	2
167	из тех	2	2
168	в развитии	27	2
169	нет и	4	2
170	только и	5	2
171	с помощью	18	2
172	связанных с	2	2
173	не знает	3	2
174	в пределах	3	2
175	что оно	9	2
176	момент в	3	2
177	есть в	5	2
178	друг на	2	2
179	в этот	3	2
180	мы уже	5	2
181	на основе	5	2
182	с ним	5	2
183	между собой	15	2
184	но это	4	2
