N	2gram	Ircho_Kome	VrazhdaK
1	не только	13	9
2	и что	8	8
3	в этом	18	8
4	и в	37	8
5	что в	11	7
6	но и	18	7
7	и все	6	7
8	то что	5	7
9	но в	7	6
10	как и	10	6
11	в котором	6	6
12	в начале	5	6
13	в нем	8	6
14	и с	5	6
15	все же	9	6
16	и даже	6	6
17	и не	28	5
18	не было	6	5
19	об этом	12	5
20	то же	14	5
21	в то	14	5
22	же время	12	5
23	у него	10	5
24	между тем	6	5
25	для нас	7	4
26	уже в	3	4
27	целый ряд	5	4
28	несмотря на	7	4
29	в своих	4	4
30	это не	3	4
31	в виду	3	4
32	все это	7	4
33	при этом	11	4
34	о том	21	4
35	в ней	7	4
36	как бы	7	4
37	х годов	2	4
38	так же	8	4
39	что он	15	4
40	в истории	2	4
41	с ним	10	4
42	может быть	14	4
43	человека в	4	3
44	т е	18	3
45	и у	4	3
46	в том	24	3
47	в чем	7	3
48	одним из	2	3
49	его в	9	3
50	далеко не	3	3
51	что у	2	3
52	и во	3	3
53	в своем	9	3
54	том что	22	3
55	в его	12	3
56	в связи	4	3
57	и о	3	3
58	раз в	3	3
59	и его	10	3
60	и как	3	3
61	он был	6	3
62	он не	11	3
63	речь идет	5	3
64	связи с	5	3
65	к этому	11	3
66	но он	3	3
67	на то	3	3
68	я не	4	3
69	наряду с	4	3
70	в конце	14	3
71	с его	6	3
72	тем что	12	3
73	никогда не	5	2
74	в честь	2	2
75	же не	3	2
76	в них	6	2
77	в мире	2	2
78	к ним	5	2
79	в той	2	2
80	что к	4	2
81	и это	4	2
82	с точки	6	2
83	как же	2	2
84	мы знаем	2	2
85	а в	12	2
86	человека с	2	2
87	а также	3	2
88	в этой	7	2
89	столь же	5	2
90	том же	2	2
91	в своей	6	2
92	как раз	9	2
93	же в	3	2
94	и он	5	2
95	в себе	4	2
96	еще не	10	2
97	точки зрения	8	2
98	о чем	11	2
99	тем более	9	2
100	это в	2	2
101	после этого	2	2
102	таким образом	16	2
103	и ее	3	2
104	во время	8	2
105	что я	5	2
106	его и	3	2
107	отношения к	2	2
108	в свою	12	2
109	по мнению	2	2
110	на это	3	2
111	их в	3	2
112	о которой	2	2
113	не может	9	2
114	из них	11	2
115	ответ на	7	2
116	в это	2	2
117	этот человек	2	2
118	не менее	9	2
119	его на	5	2
120	ко мне	2	2
121	в глазах	10	2
122	к себе	9	2
123	с которым	3	2
124	отнюдь не	5	2
125	а с	2	2
126	не мог	2	2
127	вместе с	16	2
128	отношение к	7	2
