N	2gram	Vinokur_Ku	Marksizm
1	точки зрения	25	69
2	может быть	25	64
3	и в	44	63
4	и не	23	55
5	как бы	11	53
6	не может	13	47
7	с точки	16	46
8	и пр	23	42
9	и его	8	41
10	в этом	31	39
11	таким образом	17	38
12	как мы	2	32
13	языка и	16	31
14	в пределах	8	31
15	лишь в	6	30
16	не только	29	29
17	речи в	7	29
18	в нем	7	28
19	то же	12	28
20	языка как	7	27
21	но и	13	27
22	в языке	16	26
23	самом деле	17	25
24	речи и	8	25
25	связи с	8	25
26	прежде всего	14	24
27	как и	3	24
28	в самом	20	24
29	так и	10	23
30	только в	15	23
31	в том	47	22
32	то что	14	22
33	а не	17	22
34	при этом	6	20
35	так сказать	5	20
36	для него	2	20
37	если мы	5	20
38	том что	30	19
39	не в	18	19
40	в его	16	19
41	если бы	21	19
42	на почве	2	19
43	но в	11	18
44	в ее	2	18
45	и для	3	18
46	языка в	14	18
47	в слове	3	18
48	вовсе не	18	18
49	все же	17	17
50	в сущности	11	17
51	в то	4	16
52	по отношению	9	16
53	социального общения	3	16
54	и как	3	16
55	слова и	8	16
56	речь в	7	16
57	что он	7	15
58	в связи	4	15
59	русском языке	14	15
60	отношению к	9	15
61	отнюдь не	5	15
62	в русском	14	15
63	же время	4	15
64	с помощью	12	15
65	в контексте	2	14
66	в данном	8	14
67	хотя бы	19	14
68	язык как	9	14
69	в смысле	2	14
70	ничего не	6	13
71	так же	8	13
72	того чтобы	25	13
73	было бы	28	13
74	в своей	4	13
75	не является	2	13
76	и здесь	8	13
77	слова в	7	13
78	то ни	2	13
79	что в	25	13
80	выражение в	4	12
81	в результате	8	12
82	а в	7	12
83	того же	6	12
84	для того	23	12
85	он не	4	12
86	между тем	11	12
87	на самом	3	11
88	слова как	5	11
89	как в	6	11
90	и все	4	11
91	и на	8	11
92	в ней	6	11
93	сих пор	5	11
94	не столько	2	11
95	все эти	17	11
96	и от	2	11
97	так как	16	11
98	еще не	10	11
99	и того	2	11
100	и что	11	11
101	до сих	5	11
102	никогда не	2	10
103	и потому	6	10
104	в каждом	3	10
105	отличие от	3	10
106	здесь мы	2	10
107	более того	2	10
108	во всяком	8	10
109	с его	4	10
110	сказать что	5	10
111	к этому	4	10
112	в своем	4	10
113	совершенно не	4	10
114	в отличие	3	10
115	с другой	14	10
116	именно в	7	10
117	конечно не	3	10
118	в таком	3	10
119	в большинстве	3	10
120	и следовательно	2	9
121	в себе	4	9
122	общения и	2	9
123	одного и	2	9
124	о языке	8	9
125	это не	13	9
126	мы видели	3	9
127	и это	3	9
128	к тому	8	9
129	большинстве случаев	3	9
130	в истории	3	9
131	в нашем	8	9
132	рядом с	7	9
133	что это	11	9
134	не имеет	6	9
135	и более	3	9
136	ни в	3	9
137	в каком	6	8
138	в отношении	2	8
139	перед нами	4	8
140	или иной	3	8
141	в науке	4	8
142	не как	2	8
143	в форме	3	8
144	или же	3	8
145	в их	3	8
146	смысле этого	5	8
147	мы знаем	3	8
148	с этим	6	8
149	тому что	3	8
150	на этой	4	8
