N	3gram	Losev_Vlad	Mirosoze
1	не может быть	4	28
2	в том что	13	9
3	для того чтобы	3	7
4	о том что	9	6
5	вместе с тем	2	6
6	после того как	2	5
7	что и в	2	5
8	потому что в	2	4
9	в конце концов	6	4
10	что он не	3	4
11	на то что	6	4
12	не что иное	2	4
13	то время как	2	4
14	в то время	6	4
15	что иное как	2	4
16	во всяком случае	8	3
17	он уже не	2	3
18	том что он	4	3
19	но это не	2	3
20	он никогда не	2	3
21	также и в	2	3
22	и он был	2	3
23	так как он	2	3
24	и в конце	2	2
25	уже не только	2	2
26	как бы его	2	2
27	в этом отношении	2	2
28	не только в	3	2
29	так и не	3	2
30	том что в	3	2
31	был для него	2	2
32	было для него	2	2
33	он не только	2	2
