N	2gram	Berdyaev_V	Otkroven
1	и в	16	19
2	но и	5	13
3	и не	20	13
4	в этом	4	12
5	не только	2	11
6	не в	3	11
7	а не	7	11
8	и все	4	10
9	человека и	6	10
10	в нем	4	10
11	никогда не	3	9
12	потому что	4	9
13	не было	3	9
14	прежде всего	2	9
15	великий инквизитор	31	8
16	ивана карамазова	2	7
17	лишь в	3	7
18	в его	4	7
19	нет ничего	3	7
20	от него	2	7
21	как и	4	6
22	о великом	4	6
23	великом инквизиторе	5	6
24	все это	5	6
25	для него	2	5
26	а в	2	5
27	в том	3	5
28	то что	9	5
29	что в	3	4
30	того чтобы	2	4
31	все эти	3	4
32	на земле	7	4
33	что не	4	4
34	с его	3	4
35	сделать людей	4	3
36	это не	2	3
37	не могут	2	3
38	что он	4	3
39	свободной любви	6	3
40	жизни все	2	3
41	во имя	32	3
42	еще не	8	3
43	и есть	4	3
44	все что	4	3
45	в этих	3	3
46	как бы	5	3
47	хотя бы	3	3
48	нем нет	2	3
49	могут быть	2	3
50	с ним	2	3
51	того что	5	3
52	они испугались	2	2
53	и то	2	2
54	с тем	2	2
55	ничего и	2	2
56	и для	3	2
57	что все	4	2
58	не имеет	3	2
59	не могли	2	2
60	инквизитор говорит	3	2
61	человеческого благополучия	3	2
62	любовь к	3	2
63	что и	3	2
64	и никогда	2	2
65	этого мира	3	2
66	ее в	2	2
67	поступил как	2	2
68	и потому	7	2
69	вместо того	2	2
70	тем что	2	2
71	но в	3	2
72	том что	2	2
73	для человека	2	2
74	в своей	3	2
75	так как	9	2
76	что они	7	2
77	в истории	8	2
78	те которые	2	2
79	легенда о	2	2
80	должно быть	3	2
81	не есть	6	2
82	свободы и	12	2
83	так и	4	2
84	жаждал свободной	2	2
85	личности и	3	2
86	хотя и	5	2
87	его не	2	2
88	всего в	2	2
89	выше всего	2	2
90	что есть	5	2
91	тогда уже	2	2
92	с богом	4	2
93	и против	3	2
94	людей счастливыми	2	2
