N	2gram	Bakhtin_fo	OGranits
1	и в	84	13
2	и его	26	12
3	прежде всего	28	9
4	и не	19	8
5	не может	8	8
6	может быть	18	8
7	в его	19	7
8	и пр	2	7
9	и их	11	7
10	точки зрения	14	7
11	и т.п	6	7
12	не только	16	6
13	мы должны	2	6
14	как бы	11	6
15	таким образом	14	6
16	только в	12	6
17	то что	13	6
18	в поэзии	2	5
19	и т.д	2	5
20	все же	12	5
21	с точки	9	5
22	и эта	2	5
23	и наконец	6	5
24	хотя бы	2	5
25	в процессе	4	5
26	мы можем	2	4
27	еще и	3	4
28	но в	16	4
29	только и	5	4
30	лишь в	8	4
31	то же	18	4
32	не является	4	4
33	в своей	2	4
34	все это	10	4
35	было бы	2	4
36	мы не	4	4
37	в каждом	2	4
38	на фоне	3	4
39	вполне понятно	4	4
40	никогда не	8	3
41	да и	4	3
42	одно и	4	3
43	и для	12	3
44	и то	5	3
45	и все	10	3
46	в ее	6	3
47	с этим	11	3
48	отношению к	5	3
49	и уже	4	3
50	как и	15	3
51	в пределах	8	3
52	не в	10	3
53	в их	9	3
54	ни один	2	3
55	так как	12	3
56	понятно что	4	3
57	в себе	7	3
58	что в	9	3
59	по отношению	3	3
60	точку зрения	3	3
61	но для	2	3
62	самом деле	2	3
63	так и	17	3
64	в которой	3	3
65	не как	2	3
66	в одном	10	3
67	тела и	4	3
68	здесь мы	4	3
69	но и	14	3
70	не столько	2	3
71	в самом	9	2
72	могут быть	7	2
73	мы видим	4	2
74	в этом	41	2
75	смысле слова	4	2
76	в них	11	2
77	для себя	8	2
78	и должно	2	2
79	данном случае	2	2
80	уже в	5	2
81	в том	16	2
82	тем что	4	2
83	в отношении	5	2
84	есть не	4	2
85	в целом	2	2
86	если бы	6	2
87	от этого	4	2
88	с одной	5	2
89	не имеет	5	2
90	явлений и	3	2
91	роль в	12	2
92	и др	13	2
93	громадную роль	2	2
94	ее в	2	2
95	более того	4	2
96	во времени	6	2
97	с другой	4	2
98	там где	4	2
99	слова и	4	2
100	от всех	2	2
101	разумеется что	2	2
102	а в	6	2
103	том что	7	2
104	а как	3	2
105	а также	5	2
106	и к	4	2
107	в связи	13	2
108	этой проблемы	2	2
109	в данном	4	2
110	и следовательно	5	2
111	все эти	12	2
112	связанные с	5	2
113	так же	7	2
114	что они	3	2
115	мы уже	17	2
116	те же	5	2
117	не касаемся	2	2
118	героя и	7	2
119	с этой	3	2
120	и может	2	2
121	его на	3	2
122	в полном	2	2
123	в нем	28	2
124	он только	2	2
125	не на	4	2
126	при этом	8	2
127	и ее	4	2
128	нет ничего	4	2
129	а не	7	2
130	во всей	3	2
131	в ней	4	2
132	с телом	2	2
133	входит в	3	2
134	в течение	2	2
135	как в	10	2
136	во всем	3	2
137	и является	2	2
138	одной стороны	3	2
139	в чем	3	2
140	связанных с	3	2
141	имеет место	6	2
142	соответствии с	2	2
143	тот же	4	2
144	в другом	2	2
145	самого начала	3	2
146	вовсе не	20	2
147	в ряд	8	2
148	в этот	5	2
149	с самого	3	2
150	к тому	6	2
151	с помощью	5	2
152	наконец в	2	2
153	для него	5	2
