N	3gram	Bakhtin_Pr	Narrotol
1	в том что	3	18
2	в данном случае	4	17
3	не только в	2	13
4	по отношению к	19	11
5	в отличие от	5	11
6	в то же	3	8
7	той или иной	2	8
8	тем не менее	3	8
9	в этом отношении	2	8
10	то же время	3	8
11	не может быть	11	8
12	можно сказать что	2	6
13	и тем самым	2	6
14	с одной стороны	3	6
15	мы имеем дело	2	6
16	на самом деле	3	5
17	для того чтобы	2	5
18	но и в	2	5
19	начало и конец	2	4
20	в конечном счете	4	4
21	то же самое	2	3
22	и не может	2	3
23	того или иного	2	3
24	с точки зрения	6	3
25	в самом деле	3	3
26	все то что	3	2
27	не входит в	4	2
28	далеко не всегда	3	2
29	можно было бы	3	2
30	и т п	13	2
31	и в то	2	2
