N	3gram	Tiupa_Lite	VeschiIm
1	не может быть	5	24
2	тем не менее	4	11
3	по крайней мере	2	10
4	в том что	15	9
5	с точки зрения	4	6
6	так или иначе	8	6
7	в то же	12	5
8	подобно тому как	4	5
9	не только в	4	5
10	в свою очередь	2	5
11	и то что	2	5
12	с этой точки	3	4
13	этой точки зрения	3	4
14	о том что	3	4
15	дело в том	2	4
16	то же время	12	4
17	из того что	2	3
18	можно было бы	2	3
19	ту или иную	2	3
20	с одной стороны	8	3
21	только то что	2	3
22	с другой стороны	5	3
23	во всяком случае	2	2
24	в этом отношении	5	2
25	в связи с	4	2
26	в данном случае	6	2
27	мы имеем дело	2	2
28	тех или иных	2	2
