N	2gram	Tiupa_Lite	SlovoVZh
1	не может	10	16
2	точки зрения	8	14
3	может быть	24	14
4	и его	7	13
5	как бы	8	13
6	и в	26	12
7	таким образом	4	12
8	в нашем	2	11
9	отношению к	4	11
10	по отношению	6	11
11	и не	19	10
12	так как	2	9
13	прежде всего	14	8
14	для нас	3	7
15	слова и	6	6
16	при этом	23	6
17	в том	22	6
18	в нем	4	6
19	только в	8	6
20	в ней	4	6
21	никогда не	5	5
22	как в	5	5
23	в жизни	7	5
24	в виду	4	5
25	но в	5	5
26	том что	19	5
27	то же	13	5
28	как и	13	5
29	героя и	2	5
30	должна быть	3	5
31	хотя бы	3	5
32	а не	28	5
33	то что	14	5
34	и др	4	5
35	отнюдь не	4	5
36	в самом	4	4
37	в этом	19	4
38	не только	29	4
39	в литературе	2	4
40	что не	3	4
41	его в	4	4
42	и является	2	4
43	жизни и	6	4
44	не в	11	4
45	ни было	2	4
46	с другой	11	4
47	все же	6	4
48	дело в	3	4
49	за пределы	3	4
50	так и	7	4
51	и на	5	4
52	уже не	9	4
53	как к	4	3
54	в поэзии	4	3
55	о том	3	3
56	да и	3	3
57	не к	3	3
58	из этого	2	3
59	все эти	2	3
60	и наконец	2	3
61	в своей	5	3
62	мы не	5	3
63	в себе	8	3
64	художественное произведение	2	3
65	нуждается в	3	3
66	еще не	4	3
67	это как	3	3
68	только на	3	3
69	между тем	2	3
70	и с	4	3
71	этой точки	3	3
72	в творчестве	2	3
73	не менее	11	3
74	с ним	2	3
75	отношении к	2	3
76	в пределах	4	3
77	в художественном	6	3
78	самом деле	2	3
79	того что	7	3
80	тем не	4	3
81	художественного творчества	3	3
82	но и	25	3
83	для него	6	3
84	едва ли	5	2
85	в особенности	2	2
86	и то	3	2
87	мы в	3	2
88	в его	9	2
89	данном случае	6	2
90	общей для	2	2
91	до конца	3	2
92	что в	7	2
93	а к	2	2
94	в отношении	2	2
95	в душе	3	2
96	но тем	4	2
97	не есть	2	2
98	искусства и	6	2
99	как уже	3	2
100	ничего не	3	2
101	общего с	3	2
102	с его	5	2
103	что и	3	2
104	это не	4	2
105	с точки	4	2
106	от всех	2	2
107	тому же	2	2
108	в своем	12	2
109	бы не	3	2
110	и вполне	3	2
111	все они	2	2
112	эти и	2	2
113	в данном	7	2
114	не остается	2	2
115	мы имеем	2	2
116	и что	2	2
117	в то	12	2
118	себя и	3	2
119	перестает быть	5	2
120	уже в	7	2
121	с этой	6	2
122	в этих	2	2
123	одной стороны	8	2
124	но это	2	2
125	он не	4	2
126	в какой	2	2
127	в формах	4	2
128	такой же	3	2
129	как на	3	2
130	подобные им	2	2
131	но не	8	2
132	как это	9	2
133	на это	2	2
134	в себя	5	2
135	на один	2	2
136	могут быть	4	2
137	в чем	2	2
138	и подобные	2	2
139	нет ничего	2	2
140	с одной	9	2
141	относится к	3	2
142	к этому	2	2
143	другой стороны	5	2
144	вместе с	5	2
145	но зато	2	2
