N	2gram	Vygotskiy_	DiskursI
1	в качестве	2	72
2	а не	11	60
3	может быть	33	56
4	не только	16	49
5	и в	65	49
6	как и	12	47
7	при этом	10	46
8	в том	46	44
9	и не	20	44
10	то есть	30	41
11	представляет собой	3	41
12	том что	28	40
13	в этом	37	38
14	в себе	9	37
15	состоит в	4	37
16	в частности	3	36
17	но и	6	35
18	но не	3	31
19	со стороны	4	28
20	так и	3	28
21	но в	5	28
22	не может	17	27
23	как в	8	25
24	еще не	3	23
25	отнюдь не	2	23
26	все же	10	19
27	прежде всего	2	19
28	в нем	8	19
29	в своей	6	19
30	в основе	5	18
31	далеко не	3	18
32	в данном	5	17
33	то же	17	17
34	с другой	8	17
35	в мире	3	17
36	точки зрения	19	16
37	только в	9	16
38	роль в	2	15
39	в его	11	15
40	то что	61	15
41	о том	17	15
42	это не	7	14
43	не в	12	14
44	одной стороны	6	14
45	можно сказать	2	14
46	не является	2	14
47	с одной	7	14
48	в целом	8	13
49	для него	4	13
50	как бы	29	13
51	данном случае	5	12
52	в своем	8	12
53	и все	14	12
54	того же	4	12
55	в своих	6	12
56	и на	7	12
57	что в	36	11
58	с его	2	11
59	и как	10	11
60	столь же	5	11
61	не было	4	11
62	а в	9	10
63	а с	4	10
64	тем самым	4	9
65	в то	5	9
66	в силу	2	9
67	между тем	10	9
68	в них	4	9
69	уже не	2	9
70	внимание на	4	9
71	и о	6	8
72	к тому	18	8
73	потому что	26	8
74	если в	2	8
75	и даже	4	8
76	в басне	47	8
77	в этих	3	8
78	не с	2	8
79	в котором	7	8
80	в одном	9	8
81	из них	10	8
82	совпадает с	2	8
83	он не	11	8
84	не следует	3	8
85	перед нами	12	7
86	его в	5	7
87	и ее	4	7
88	и для	4	7
89	но это	6	7
90	что и	7	7
91	например в	5	7
92	в этой	20	7
93	другой стороны	5	7
94	к этому	5	7
95	иначе говоря	10	7
96	в рассказе	9	7
97	ни в	6	7
98	в русской	4	7
99	той же	6	7
100	и его	8	7
101	таким образом	21	7
102	тому же	2	7
103	никогда не	9	6
104	к его	2	6
105	в одной	2	6
106	отношение к	2	6
107	что он	23	6
108	в трагедии	5	6
109	одно из	4	6
110	одновременно и	3	6
111	именно в	3	6
112	одного из	2	6
113	что же	3	6
114	здесь не	3	6
115	и может	5	6
116	в сущности	16	6
117	в истории	3	6
118	в ее	9	6
119	имеет место	2	6
120	и то	10	6
121	одна из	6	6
122	во всех	4	6
123	и одновременно	2	6
124	в конечном	2	6
125	в которых	9	6
126	с точки	11	6
127	ничего не	4	5
128	к себе	2	5
129	в другом	6	5
130	по словам	2	5
131	в виду	6	5
132	в их	3	5
133	свою очередь	3	5
134	того что	9	5
135	о нем	2	5
136	к ним	3	5
137	к своим	2	5
138	жанра и	2	5
139	несмотря на	7	5
140	один из	7	5
141	здесь в	4	5
142	представляют собой	3	5
143	принадлежит к	3	5
144	того как	4	5
145	как будто	13	5
146	сказать что	14	5
147	но при	2	5
148	из этих	6	5
149	так сказать	6	5
150	с ее	5	5
151	несет в	3	5
152	из двух	4	5
153	одного и	2	5
154	но они	2	5
155	что касается	2	5
156	в свою	6	5
157	может служить	8	5
158	на этом	6	5
159	в сторону	2	5
160	в той	8	5
161	как раз	14	5
162	говорить о	3	5
163	же самое	14	5
164	не к	5	5
165	по своим	2	5
166	в ней	23	5
167	тем что	7	5
168	до конца	5	4
169	не могут	2	4
170	мире в	2	4
171	а на	2	4
172	более чем	2	4
173	с той	8	4
174	и прежде	2	4
175	события в	3	4
176	и тем	4	4
177	у них	2	4
178	действующее лицо	2	4
179	того или	2	4
180	по своему	6	4
181	как это	13	4
182	и это	13	4
183	только на	3	4
184	на его	2	4
185	что не	5	4
186	аналогии с	2	4
187	между двумя	3	4
188	можно назвать	2	4
189	и до	4	4
190	и во	3	4
191	по выражению	2	4
192	что они	9	4
193	указать на	3	4
194	в первом	3	4
195	во всяком	6	4
196	следует отнести	2	4
197	рассказа как	4	4
198	или иного	2	4
199	в наше	2	4
200	мы имеем	2	4
201	а к	2	4
202	это в	3	4
203	однако и	3	4
204	в результате	3	4
205	по преимуществу	2	4
206	отличается от	2	4
207	я не	9	4
208	наше время	2	4
209	связи с	2	4
210	одним из	2	4
211	в какой	8	4
212	есть в	3	4
213	в жизни	6	4
214	в самом	41	4
215	будто бы	3	4
216	и к	5	4
217	зависит от	2	4
218	по себе	5	4
219	говорит о	6	4
220	на примере	3	4
221	не более	3	4
222	или в	6	4
223	и есть	3	4
224	с ним	6	4
225	еще и	2	3
226	идет о	8	3
227	указывает на	8	3
228	в полном	4	3
229	в тех	5	3
230	к которому	3	3
231	фабулы и	4	3
232	как показывает	2	3
233	и столь	2	3
234	это и	4	3
235	это понятие	2	3
236	в действительности	3	3
237	на основании	2	3
238	как на	9	3
239	что ни	3	3
240	характер и	2	3
241	рассказ о	2	3
242	но как	3	3
243	о котором	5	3
244	но так	2	3
245	она не	10	3
246	они не	2	3
247	он говорит	9	3
248	об этом	4	3
249	заметить что	2	3
250	и было	2	3
251	в романе	2	3
252	что на	4	3
253	рассказ в	4	3
254	между собой	2	3
255	и он	5	3
256	для этого	9	3
257	о его	2	3
258	все эти	7	3
259	было бы	22	3
260	мы не	7	3
261	дело не	3	3
262	должна быть	5	3
263	как мы	12	3
264	одно и	4	3
265	событий и	3	3
266	рассказа в	4	3
267	или не	3	3
268	с этим	11	3
269	басни и	15	3
270	по аналогии	2	3
271	бы быть	2	3
272	хотя бы	3	3
273	в которой	8	3
274	к ней	3	3
275	который не	7	3
276	и по	2	3
277	бы это	5	3
278	не просто	7	3
279	как не	3	3
280	и наконец	2	3
281	как у	2	3
282	автора и	2	3
283	заключается в	13	3
284	дело с	5	3
285	и более	4	3
286	но все	2	3
287	отношения к	3	3
288	не имеет	8	3
289	их в	4	3
290	когда он	8	3
291	к чему	6	3
292	всяком случае	6	3
293	жизни и	6	3
294	том случае	4	3
295	имеет дело	2	3
296	место в	6	3
297	слова и	3	3
298	и что	29	3
299	однако не	3	3
300	и без	2	3
301	вместе с	10	3
302	или во	2	2
303	чтобы не	2	2
304	очевидно что	4	2
305	трагедии и	4	2
306	его к	2	2
307	мы должны	3	2
308	для всех	2	2
309	не совпадает	2	2
310	однако уже	3	2
311	не имеют	4	2
312	за этим	3	2
313	вслед за	4	2
314	рассказа является	2	2
315	каждый из	3	2
316	все то	15	2
317	как к	6	2
318	едва ли	4	2
319	есть не	2	2
320	сами по	3	2
321	кто из	2	2
322	он как	2	2
323	для художественного	3	2
324	бы его	2	2
325	начала и	2	2
326	от своего	2	2
327	ни одно	2	2
328	и вся	2	2
329	о которых	10	2
330	к своему	2	2
331	самом деле	33	2
332	с таким	4	2
333	одной и	4	2
334	в чем	3	2
335	что даже	2	2
336	по существу	4	2
337	мы видели	7	2
338	так например	5	2
339	действующих лиц	6	2
340	со всей	3	2
341	к нему	2	2
342	о мире	2	2
343	с самого	10	2
344	уже как	2	2
345	рассказ не	2	2
346	те же	2	2
347	на ее	2	2
348	не то	7	2
349	речь идет	7	2
350	самого начала	10	2
351	что с	4	2
352	содержание рассказа	4	2
353	следует понимать	3	2
354	все это	12	2
355	этого слова	5	2
356	же как	3	2
357	вовсе не	11	2
358	не могли	5	2
359	в стихах	3	2
360	не от	2	2
361	могла бы	6	2
362	том чтобы	2	2
363	утверждать что	2	2
364	в круг	2	2
365	время в	5	2
366	только то	3	2
367	что так	2	2
368	события а	2	2
369	тем более	2	2
370	в первой	2	2
371	что она	34	2
372	это было	4	2
373	мысли и	2	2
374	к концу	4	2
375	мы можем	12	2
376	на него	3	2
377	перед собой	2	2
378	то чтобы	2	2
379	переходит к	2	2
380	целый ряд	6	2
381	на деле	4	2
382	если бы	22	2
383	автора в	2	2
384	у этих	3	2
385	в первый	2	2
386	и той	4	2
387	что как	4	2
388	это делает	2	2
389	в драме	2	2
390	для того	18	2
391	и их	2	2
392	с этой	5	2
393	такой же	2	2
394	отказаться от	2	2
395	не по	3	2
396	для трагедии	2	2
397	человеком и	3	2
398	сюжета и	2	2
399	том и	3	2
400	на этот	2	2
401	у него	6	2
402	событие в	2	2
403	ее в	7	2
404	действие и	2	2
405	на то	25	2
406	в самой	9	2
407	еще более	2	2
408	событий в	3	2
409	и с	4	2
410	собой все	2	2
411	как все	4	2
412	из которых	6	2
413	всякий раз	6	2
414	со своей	3	2
415	не знаем	2	2
416	мы все	6	2
417	для рассказа	3	2
418	в некоторых	2	2
419	случае если	4	2
420	по его	3	2
421	и только	8	2
422	нельзя не	2	2
423	из ее	2	2
424	во всем	2	2
425	на их	3	2
426	как с	2	2
