N	2gram	Tiupa_Hudo	StatiiOP
1	и в	23	103
2	в том	20	89
3	том что	9	77
4	в этом	12	76
5	что в	7	74
6	не только	20	60
7	о том	2	47
8	но и	14	46
9	то что	5	44
10	что он	5	42
11	в его	11	42
12	и не	16	41
13	может быть	19	38
14	в этой	2	31
15	вовсе не	2	31
16	все это	2	29
17	таким образом	3	28
18	а в	13	27
19	а не	13	27
20	но в	10	26
21	так и	12	25
22	и его	12	24
23	не в	9	23
24	точки зрения	11	23
25	потому что	3	23
26	того что	5	22
27	в области	8	22
28	прежде всего	5	22
29	для того	5	22
30	в которой	3	22
31	как в	2	22
32	того чтобы	5	21
33	это не	4	20
34	в то	8	19
35	в своей	7	19
36	только в	7	19
37	об этом	2	18
38	не может	9	18
39	с другой	9	18
40	он не	4	18
41	в году	2	17
42	самом деле	2	17
43	в данном	4	17
44	в самом	7	17
45	как бы	11	17
46	в русской	3	17
47	сказать что	4	16
48	если бы	3	16
49	в этих	4	16
50	в отношении	4	15
51	как и	3	15
52	для него	5	15
53	например в	4	15
54	другой стороны	6	15
55	из этих	3	15
56	я не	2	15
57	и на	3	15
58	у него	2	15
59	как раз	3	15
60	была бы	3	14
61	к тому	4	14
62	между тем	4	14
63	то же	12	14
64	я думаю	2	14
65	с точки	3	14
66	и что	4	14
67	в своем	4	13
68	со стороны	5	13
69	а с	2	13
70	тому что	2	13
71	в качестве	31	13
72	в нем	6	13
73	именно в	2	13
74	в той	3	13
75	не менее	5	12
76	в тексте	13	12
77	ни в	5	12
78	никогда не	2	11
79	в другом	4	11
80	своего рода	9	11
81	в них	2	11
82	все эти	2	11
83	и по	2	11
84	в каком	2	10
85	так же	2	10
86	в виду	5	10
87	в частности	18	10
88	xix века	2	10
89	не столько	7	10
90	речь идет	2	10
91	в целом	3	10
92	что и	2	10
93	во всех	3	10
94	но не	13	10
95	что такое	2	10
96	же время	7	10
97	но он	3	10
98	в чем	2	9
99	такого рода	12	9
100	несмотря на	2	9
101	место в	5	9
102	можно сказать	6	9
103	в одном	3	9
104	говорит что	2	9
105	не является	5	9
106	с этой	3	9
107	времени и	2	9
108	и для	3	9
109	и к	3	9
110	и тем	4	9
111	и это	2	9
112	могут быть	5	8
113	отношение к	7	8
114	к которому	4	8
115	в их	5	8
116	и др	2	8
117	в какой	2	8
118	связи с	3	8
119	а также	6	8
120	мы имеем	6	8
121	дело не	2	8
122	что она	2	8
123	тем не	3	8
124	одним из	2	8
125	и о	4	8
126	заключается в	2	8
127	и более	2	8
128	о чем	3	7
129	в словаре	2	7
130	одной из	2	7
131	того же	3	7
132	во втором	4	7
133	как это	7	7
134	тем более	2	7
135	в ее	6	7
136	не все	2	7
137	и то	4	7
138	то в	2	7
139	пушкина что	2	7
140	отличается от	2	7
141	лишь в	7	7
142	еще не	4	7
143	отношению к	10	7
144	еще и	2	7
145	по себе	2	7
146	из этого	2	7
147	не просто	2	7
148	на почве	4	7
149	даже в	3	6
150	идет о	2	6
151	в себе	13	6
152	по отношению	10	6
153	должен быть	2	6
154	из которых	2	6
155	к нему	3	6
156	в известном	2	6
157	с его	6	6
158	одно из	2	6
159	и сам	3	6
160	в жизни	3	6
161	этом смысле	3	6
162	этих двух	2	6
163	говорить о	4	6
164	его в	4	5
165	для себя	4	5
166	это и	2	5
167	и потому	2	5
168	в сторону	2	5
169	одной стороны	3	5
170	отношении к	3	5
171	один из	2	5
172	при этом	19	5
173	не на	5	5
174	никто не	3	5
175	хотя и	4	5
176	или иного	4	5
177	того или	4	5
178	по пути	4	5
179	не как	2	5
180	текста в	3	5
181	как говорит	3	5
182	не могло	2	5
183	с одной	3	5
184	ее в	2	5
185	столь же	2	5
186	уже не	6	5
187	оно не	2	5
188	и который	2	5
189	в слове	4	5
190	начиная с	2	4
191	одна из	2	4
192	в форме	4	4
193	на этом	2	4
194	то есть	26	4
195	по своей	7	4
196	не всегда	2	4
197	в романе	3	4
198	не знает	4	4
199	но как	2	4
200	так или	4	4
201	состоит в	20	4
202	культуры в	3	4
203	в связи	3	4
204	этого термина	2	4
205	случае не	2	4
206	этого слова	2	4
207	который в	2	4
208	не могли	2	4
209	за пределы	2	4
210	значительной степени	2	4
211	есть в	3	4
212	в значительной	2	4
213	тем или	2	4
214	и другие	2	4
215	а именно	3	4
216	каждая из	2	4
217	или иным	4	4
218	совпадает с	2	4
219	а на	5	4
220	языка в	4	4
221	или в	2	4
222	в таком	3	4
223	в основе	7	4
224	или иначе	5	4
225	или иной	9	3
226	я с	5	3
227	говорит в	2	3
228	при всей	2	3
229	как к	5	3
230	в стихотворении	3	3
231	оказывается в	3	3
232	он должен	3	3
233	в одно	2	3
234	к своему	2	3
235	или менее	6	3
236	на котором	2	3
237	могло быть	2	3
238	может служить	2	3
239	и как	4	3
240	так в	4	3
241	о жизни	2	3
242	здесь не	2	3
243	не будет	3	3
244	и некоторые	2	3
245	а затем	2	3
246	себя и	3	3
247	и ее	3	3
248	том числе	3	3
249	бы то	2	3
250	к его	3	3
251	известном смысле	2	3
252	искусства и	3	3
253	бы не	2	3
254	которая не	2	3
255	в рассказе	3	3
256	во всей	3	3
257	русской литературе	2	3
258	вытекает из	2	3
259	ни для	2	3
260	для которого	2	3
261	их в	3	3
262	я и	7	3
263	слова в	3	3
264	в свою	3	3
265	но на	2	3
266	представляет собой	11	3
267	он и	2	3
268	то ни	2	3
269	более или	6	3
270	отношения к	4	3
271	на основе	2	3
272	в системе	3	3
273	наших глазах	2	2
274	тем самым	5	2
275	в литературе	2	2
276	в рамках	13	2
277	которого он	2	2
278	от себя	3	2
279	истории литературы	2	2
280	от своего	2	2
281	свою очередь	2	2
282	текст в	3	2
283	в момент	3	2
284	в европейской	2	2
285	отличие от	7	2
286	всякий раз	2	2
287	по своему	3	2
288	для понимания	2	2
289	классицизма в	2	2
290	но только	2	2
291	а только	4	2
292	со временем	2	2
293	что можно	3	2
294	времени в	2	2
295	говорит и	3	2
296	однако с	2	2
297	во мне	2	2
298	в комедии	2	2
299	между собой	2	2
300	из которого	4	2
301	с языком	3	2
302	большей части	2	2
303	тогда как	15	2
304	числе и	2	2
305	той или	5	2
306	и может	2	2
307	в контексте	3	2
308	произведения как	3	2
309	речи а	2	2
310	рассказ о	2	2
311	в равной	2	2
312	по преимуществу	3	2
313	с ее	6	2
314	как правило	3	2
315	втором случае	2	2
316	языка на	2	2
317	превращается в	2	2
318	жизни в	2	2
319	ни было	2	2
320	слова как	5	2
321	никем не	2	2
322	было и	2	2
