N	2gram	Bakhtin_sl	Otkroven
1	у него	5	22
2	и в	69	19
3	но и	37	13
4	и не	32	13
5	в этом	21	12
6	не только	37	11
7	человека в	5	11
8	не в	14	11
9	а не	29	11
10	может быть	40	11
11	и все	9	10
12	человека и	3	10
13	в нем	44	10
14	никогда не	9	9
15	потому что	2	9
16	не было	4	9
17	прежде всего	14	9
18	лишь в	6	7
19	в его	19	7
20	до конца	25	7
21	от него	5	7
22	он не	5	7
23	но он	4	7
24	как и	8	6
25	все это	14	6
26	для него	8	5
27	а в	10	5
28	в том	7	5
29	в самом	6	5
30	то что	2	5
31	человеке и	3	5
32	отношение к	8	5
33	и его	45	4
34	что в	3	4
35	в романах	3	4
36	только и	3	4
37	все эти	15	4
38	человек и	13	4
39	не может	27	4
40	с его	8	4
41	в себе	3	3
42	и от	5	3
43	о том	5	3
44	это не	8	3
45	к нему	7	3
46	не могут	7	3
47	что он	2	3
48	было бы	3	3
49	для того	2	3
50	еще не	9	3
51	и есть	2	3
52	в этих	8	3
53	и ее	3	3
54	как бы	16	3
55	хотя бы	6	3
56	могут быть	25	3
57	это было	2	3
58	с ним	12	3
59	того что	4	3
60	как к	5	2
61	и то	2	2
62	сказать что	4	2
63	и на	17	2
64	уже в	2	2
65	и для	7	2
66	и там	6	2
67	что все	2	2
68	ничего не	5	2
69	он весь	2	2
70	и с	10	2
71	что и	2	2
72	и потому	9	2
73	в ее	2	2
74	в других	4	2
75	в своем	9	2
76	и этим	3	2
77	но в	13	2
78	том что	6	2
79	все же	10	2
80	жизни в	2	2
81	в своей	8	2
82	он в	6	2
83	так как	7	2
84	по себе	4	2
85	что они	2	2
86	в истории	6	2
87	так что	2	2
88	даже и	4	2
89	не все	2	2
90	должно быть	3	2
91	и о	3	2
92	не есть	2	2
93	и нет	3	2
94	к этому	3	2
95	и к	9	2
96	так и	22	2
97	в которой	4	2
98	к ней	2	2
99	хотя и	4	2
100	его не	4	2
101	момент в	2	2
102	в другом	4	2
103	чем в	3	2
104	его в	7	2
