N	2gram	Tiupa_Vved	Vvedenie
1	в том	21	38
2	в этом	27	35
3	и в	23	35
4	том что	16	30
5	может быть	25	30
6	не только	32	26
7	того чтобы	2	22
8	таким образом	6	21
9	также и	6	20
10	не может	14	19
11	то что	9	19
12	потому что	7	18
13	но также	2	16
14	со стороны	15	16
15	о том	7	16
16	только в	9	16
17	представляет собой	18	14
18	и не	24	13
19	что в	6	13
20	в самом	6	13
21	в нем	9	13
22	в их	2	12
23	того что	7	12
24	что такое	23	12
25	в его	9	12
26	в данном	22	11
27	то же	8	11
28	по себе	2	11
29	как мы	5	11
30	ясно что	2	11
31	не в	12	10
32	прежде всего	11	10
33	но в	14	10
34	в той	5	10
35	между тем	3	10
36	из этих	5	9
37	тем не	3	9
38	и как	2	9
39	все же	10	9
40	представляют собой	3	9
41	но не	9	9
42	не менее	4	9
43	дело с	4	9
44	это не	7	8
45	можно было	2	8
46	о котором	5	8
47	с другой	10	8
48	а только	3	8
49	в качестве	18	8
50	самом деле	6	7
51	как и	21	7
52	как бы	8	7
53	представить себе	2	7
54	но и	31	7
55	в разных	2	7
56	было бы	4	7
57	том чтобы	2	6
58	хотя бы	2	6
59	об этом	5	6
60	и даже	3	6
61	тем что	2	6
62	как он	2	6
63	а именно	3	6
64	мере в	2	6
65	в какой	4	6
66	так например	2	6
67	на этот	2	6
68	и это	2	6
69	а в	15	6
70	уже не	7	6
71	в которых	2	6
72	той мере	2	6
73	могут быть	5	6
74	в то	5	6
75	один из	3	6
76	и что	2	6
77	и его	9	6
78	все это	3	6
79	же время	4	6
80	вместе с	2	6
81	данном случае	15	5
82	с их	2	5
83	дело не	2	5
84	и т.д	6	5
85	в виду	3	5
86	и тем	3	5
87	одним из	5	5
88	что он	2	5
89	в течение	2	5
90	что не	2	5
91	по своему	3	5
92	как это	2	5
93	не есть	2	5
94	язык как	2	5
95	другой стороны	3	5
96	в них	4	5
97	уже в	2	5
98	в целом	4	5
99	всяком случае	3	5
100	внимание на	4	5
101	что и	6	5
102	говорить о	5	5
103	не просто	2	5
104	а не	31	5
105	в первом	3	5
106	хотя и	10	5
107	во всяком	3	5
108	да и	3	4
109	еще и	2	4
110	должен был	2	4
111	в результате	5	4
112	мы имеем	8	4
113	о чем	4	4
114	одной стороны	9	4
115	и ее	2	4
116	в области	5	4
117	по отношению	11	4
118	должен быть	3	4
119	в особенности	3	4
120	этом отношении	7	4
121	это только	3	4
122	как о	2	4
123	еще не	8	4
124	времени и	7	4
125	по мере	2	4
126	отношению к	11	4
127	в чем	2	4
128	отличие от	11	4
129	в отличие	11	4
130	с одной	9	4
131	заключается в	2	4
132	к тому	9	4
133	и для	8	4
134	не имеет	3	4
135	в котором	11	4
136	в тексте	11	4
137	в центре	4	4
138	не вполне	4	4
139	ответ на	2	4
140	в одном	5	4
141	или иначе	2	4
