N	2gram	Berdyaev_N	Russkaja
1	не может	16	22
2	и не	11	19
3	в том	8	17
4	в этом	7	17
5	и в	16	14
6	то что	4	13
7	в то	2	10
8	но и	3	10
9	не только	5	9
10	том что	2	9
11	может быть	7	9
12	в себе	2	9
13	того чтобы	2	8
14	прежде всего	4	8
15	к богу	2	7
16	и с	2	7
17	к тому	3	7
18	о том	4	7
19	стремление к	2	7
20	не будет	7	7
21	ни к	2	7
22	с тем	3	6
23	и для	4	6
24	в россии	3	6
25	и к	5	6
26	все это	5	6
27	вопрос о	3	5
28	а в	2	5
29	хотя бы	2	5
30	и на	2	5
31	потому что	4	5
32	в нем	5	5
33	жизни в	3	5
34	церкви не	2	5
35	в своей	3	5
36	конечно не	3	5
37	во имя	15	5
38	никогда не	6	5
39	он не	8	5
40	во всех	3	5
41	по существу	2	5
42	что в	9	4
43	но не	2	4
44	себя в	2	4
45	не в	6	4
46	как и	7	4
47	ли это	2	4
48	в мире	3	4
49	можно было	2	4
50	жизни и	8	4
51	вместе с	2	4
52	все они	2	3
53	одна из	2	3
54	том чтобы	2	3
55	для этого	2	3
56	что все	2	3
57	культуры в	5	3
58	ни одна	2	3
59	должно быть	4	3
60	не есть	3	3
61	в будущем	2	3
62	и потому	4	3
63	лишь в	6	3
64	еще не	3	3
65	не было	4	3
66	и должно	2	2
67	и от	2	2
68	не к	2	2
69	но она	2	2
70	с этим	2	2
71	помнить что	2	2
72	она не	3	2
73	но в	2	2
74	ни в	6	2
75	что такое	3	2
76	так же	2	2
77	в ней	5	2
78	центр тяжести	2	2
79	уже не	2	2
80	но для	2	2
81	стремиться к	2	2
82	и даже	2	2
83	а не	17	2
84	место в	2	2
85	зависит от	2	2
86	и что	2	2
87	но это	6	2
88	будут не	3	2
89	все эти	2	2
90	общественной жизни	6	2
91	и есть	10	2
92	как будто	2	2
93	должна быть	3	2
94	это есть	7	2
95	у него	2	2
96	том и	2	2
97	культуры и	7	2
