N	2gram	Bakhtin_Fr	KFilosof
1	может быть	10	45
2	в его	21	42
3	в нем	12	32
4	не может	5	29
5	и не	25	28
6	и в	68	28
7	по отношению	3	26
8	в котором	3	24
9	отношению к	2	22
10	в себе	5	21
11	и его	26	18
12	только в	9	18
13	в своем	11	17
14	в ее	5	17
15	а не	6	17
16	в этом	28	15
17	не в	2	13
18	для него	7	13
19	точки зрения	8	13
20	но не	4	12
21	и это	5	12
22	к нему	4	12
23	ни в	6	12
24	в своей	11	11
25	во всех	8	11
26	все эти	16	11
27	это не	5	10
28	его целом	3	10
29	в целом	3	10
30	и для	6	10
31	все это	6	10
32	с точки	4	10
33	и есть	5	10
34	в их	6	9
35	но и	17	9
36	как бы	7	9
37	и все	16	9
38	себя в	2	8
39	если бы	3	8
40	не было	7	8
41	лишь в	3	8
42	со стороны	2	8
43	в мире	6	8
44	жизни и	6	8
45	было бы	4	8
46	в себя	2	8
47	и здесь	5	7
48	то что	11	7
49	уже не	2	7
50	конечно не	4	7
51	что и	3	7
52	во всем	4	7
53	момент в	2	7
54	вовсе не	18	7
55	на основе	3	7
56	этот момент	2	7
57	менее всего	2	6
58	отношение к	11	6
59	мира в	2	6
60	в том	12	6
61	смысл и	2	6
62	но все	5	6
63	и их	5	6
64	но это	5	6
65	он не	11	6
66	никогда не	2	5
67	его в	7	5
68	все же	6	5
69	не только	21	5
70	мы имеем	2	5
71	но как	5	5
72	хотя бы	2	5
73	то же	14	5
74	но ведь	3	5
75	еще не	3	5
76	а в	3	5
77	но в	20	5
78	культуры и	7	5
79	как и	17	5
80	ко всему	2	5
81	именно в	5	5
82	что я	2	5
83	жизни как	2	5
84	в одном	7	5
85	там где	6	5
86	со всем	2	5
87	с ним	3	5
88	в основе	7	5
89	что это	4	4
90	том что	6	4
91	что в	14	4
92	и весь	2	4
93	времени и	5	4
94	о нем	3	4
95	быть в	2	4
96	прежде всего	23	4
97	в чем	3	4
98	здесь мы	3	4
99	в своих	7	4
100	мира и	4	4
101	входит в	2	4
102	места в	2	4
103	с ними	4	4
104	при этом	5	4
105	всех своих	2	4
106	во всей	3	4
107	как его	2	4
108	между тем	3	4
109	до конца	10	3
110	ничего не	4	3
111	в то	14	3
112	на самом	7	3
113	здесь не	5	3
114	всех этих	5	3
115	для которого	2	3
116	в другом	3	3
117	это и	4	3
118	тем что	6	3
119	для того	5	3
120	где он	2	3
121	эти моменты	4	3
122	самом деле	5	3
123	в виду	8	3
124	и тот	4	3
125	в корне	3	3
126	по своему	3	3
127	и этот	2	3
128	смысл в	2	3
129	для этой	3	3
130	не менее	2	3
131	о том	5	3
132	мы здесь	2	3
133	в ней	6	3
134	в свою	3	3
135	здесь нет	2	3
136	но здесь	3	3
137	и на	16	3
138	того что	3	3
139	мы не	3	3
140	той или	2	3
141	один и	3	3
142	из его	2	3
143	рядом с	5	3
144	но конечно	5	3
145	тот же	4	3
146	не дает	4	3
147	быть и	2	3
148	и то	2	2
149	все остальные	3	2
150	для этого	3	2
151	и мы	2	2
152	или иной	2	2
153	и потому	6	2
154	в данном	5	2
155	его к	3	2
156	его на	2	2
157	и ее	3	2
158	дело в	4	2
159	к этому	6	2
160	дело не	3	2
161	включает в	2	2
162	это было	2	2
163	в это	2	2
164	и как	5	2
165	в виде	2	2
166	весь мир	4	2
167	и других	7	2
168	все они	5	2
169	в области	5	2
170	даны в	2	2
171	что он	7	2
172	вследствие этого	2	2
173	и за	3	2
174	со всеми	5	2
175	этот мир	2	2
176	так и	8	2
177	жизнь и	2	2
178	на волю	2	2
179	это уже	2	2
180	как в	4	2
181	от этого	2	2
182	думать что	2	2
183	дело с	2	2
184	в ту	8	2
185	еще более	5	2
186	истины и	4	2
187	имеем в	2	2
188	он и	10	2
189	один из	9	2
190	него и	3	2
191	потому что	3	2
192	и под	4	2
193	раз и	2	2
194	того чтобы	6	2
195	что эта	2	2
196	слова в	3	2
197	ведь это	3	2
198	и смерти	3	2
199	в качестве	2	2
200	же время	13	2
201	это есть	2	2
202	этого слова	3	2
203	в этой	15	2
204	что значит	2	2
205	основе своей	2	2
206	с его	6	2
