N	2gram	Vygotskiy_	PoTuStor
1	может быть	15	17
2	и в	33	16
3	мы можем	15	9
4	в этом	43	9
5	и только	4	9
6	таким образом	30	9
7	прежде всего	5	9
8	и с	7	8
9	точки зрения	27	8
10	совершенно не	5	8
11	не может	31	8
12	и его	6	8
13	сказать что	18	7
14	не только	28	7
15	с его	3	7
16	и это	3	6
17	с точки	12	6
18	самом деле	9	6
19	и к	7	6
20	для него	9	6
21	при этом	9	6
22	все эти	9	5
23	что такое	6	5
24	как бы	11	5
25	только для	2	5
26	нуждается в	3	5
27	еще не	11	5
28	в чем	10	5
29	сознание и	2	5
30	отношение к	12	5
31	как мы	20	4
32	и на	11	4
33	все это	2	4
34	на самом	3	4
35	его в	6	4
36	в его	15	4
37	и ее	2	4
38	но и	14	4
39	и не	18	4
40	и все	2	4
41	но в	9	4
42	с самого	8	4
43	в этой	8	4
44	но мы	7	4
45	и наконец	3	4
46	так как	20	4
47	и их	4	4
48	все что	2	4
49	и может	4	4
50	только в	21	4
51	в нем	10	4
52	а потому	3	4
53	хотя бы	5	4
54	с ними	4	4
55	можно сказать	7	4
56	так и	8	4
57	для всех	2	4
58	мысли и	7	4
59	самого начала	8	4
60	отнюдь не	2	4
61	и даже	3	4
62	едва ли	2	3
63	ребенка и	11	3
64	что в	33	3
65	и притом	2	3
66	представлений и	3	3
67	жизни и	2	3
68	и как	7	3
69	и потому	3	3
70	а в	5	3
71	в том	44	3
72	их в	3	3
73	никаких оснований	2	3
74	по сравнению	9	3
75	между ними	5	3
76	в области	19	3
77	те же	6	3
78	до сих	3	3
79	в основном	2	3
80	только на	3	3
81	и есть	8	3
82	сравнению с	9	3
83	в этих	7	3
84	отношения к	2	3
85	с их	4	3
86	как это	11	3
87	то что	48	3
88	во всех	3	3
89	могут быть	7	3
90	сих пор	3	3
91	всяком случае	2	3
92	вместе с	9	3
93	учение о	3	3
94	в одном	3	3
95	этом смысле	5	3
96	на этом	8	3
97	мы знаем	5	3
98	во всяком	4	3
99	том что	41	3
100	в основе	12	3
101	один из	4	2
102	никогда не	10	2
103	что мы	11	2
104	может иметь	3	2
105	по своему	4	2
106	мы видим	6	2
107	в них	3	2
108	не можем	2	2
109	в жизни	2	2
110	в каком	2	2
111	понятия и	11	2
112	к ним	2	2
113	для этого	3	2
114	же как	9	2
115	и для	3	2
116	что не	2	2
117	нам кажется	2	2
118	в область	2	2
119	из сказанного	2	2
120	этой теории	9	2
121	аналогии с	2	2
122	и по	5	2
123	вообще не	5	2
124	что и	11	2
125	не менее	4	2
126	ее в	3	2
127	на первый	2	2
128	нет никаких	2	2
129	существует только	2	2
130	было бы	18	2
131	не могут	7	2
132	в систему	2	2
133	возникает в	3	2
134	и других	7	2
135	на друга	2	2
136	о том	13	2
137	то же	12	2
138	они не	7	2
139	с этим	9	2
140	как и	13	2
141	что он	40	2
142	сделать это	2	2
143	так же	22	2
144	говорить о	3	2
145	потому и	4	2
146	того же	13	2
147	в своей	5	2
148	мы не	6	2
149	себя и	2	2
150	из этих	2	2
151	но как	6	2
152	в самом	10	2
153	находится в	2	2
154	знаем что	2	2
155	в начале	2	2
156	с этой	8	2
157	эти понятия	2	2
158	в детской	2	2
159	по аналогии	2	2
160	в свое	2	2
161	не на	5	2
162	в частности	9	2
163	сознания и	3	2
164	связанные с	6	2
165	он не	13	2
166	у него	8	2
167	ту же	5	2
168	во всей	3	2
169	если мы	9	2
170	со всеми	2	2
171	как с	5	2
172	момента в	3	2
173	оно не	2	2
174	не есть	4	2
175	к другим	2	2
176	за пределы	4	2
177	к этому	7	2
178	что на	2	2
179	в развитии	45	2
180	с помощью	32	2
181	не знает	6	2
182	в пределах	6	2
183	что оно	9	2
184	и т.п	2	2
185	является по	2	2
186	есть в	2	2
187	друг на	2	2
188	в этот	4	2
189	мы уже	4	2
190	только то	4	2
191	на основе	6	2
192	с ним	6	2
193	на протяжении	2	2
194	между собой	17	2
195	но это	4	2
