N	2gram	Medvedev_V	EvropaiC
1	таким образом	32	34
2	в том	15	31
3	и в	26	24
4	том что	8	20
5	все эти	8	19
6	не может	17	18
7	то что	7	18
8	может быть	23	17
9	до сих	2	15
10	все же	6	15
11	сих пор	2	15
12	точки зрения	3	14
13	в этом	29	13
14	все это	13	13
15	в своем	8	12
16	с этим	3	12
17	между тем	6	12
18	по отношению	7	11
19	но и	10	11
20	отношению к	7	11
21	не только	26	10
22	так и	6	10
23	во всех	7	10
24	мы знаем	3	10
25	как и	7	10
26	как бы	5	10
27	из себя	2	10
28	в результате	5	9
29	и не	20	9
30	не в	6	9
31	что в	11	9
32	на то	2	9
33	так же	3	8
34	из этих	7	8
35	или менее	6	8
36	если бы	3	8
37	для того	3	8
38	к тому	5	8
39	более или	6	8
40	в самом	4	8
41	знаем что	2	8
42	того чтобы	3	8
43	в сознании	4	7
44	в силу	14	7
45	что он	4	7
46	того что	3	7
47	не менее	2	7
48	о том	10	7
49	что и	3	7
50	из элементов	3	7
51	в этой	4	7
52	по существу	4	7
53	что при	2	7
54	вместе с	8	7
55	отличается от	2	6
56	только в	8	6
57	все они	2	6
58	у них	2	6
59	еще не	2	6
60	и при	5	6
61	в то	6	6
62	должна быть	2	6
63	и для	2	6
64	с другой	11	6
65	в общем	2	6
66	как на	3	6
67	и от	3	5
68	его в	3	5
69	в себе	6	5
70	должно быть	2	5
71	к этому	9	5
72	в которой	2	5
73	лишь в	2	5
74	и их	3	5
75	между собою	2	5
76	многие из	2	5
77	из них	11	5
78	у него	6	5
79	что все	4	5
80	далеко не	3	5
81	но в	2	5
82	именно в	3	5
83	и к	3	5
84	другой стороны	8	5
85	в целом	5	5
86	в его	15	5
87	в пользу	2	5
88	никогда не	5	4
89	самого себя	2	4
90	не могут	10	4
91	всех этих	3	4
92	хотя бы	20	4
93	в конце	3	4
94	и у	2	4
95	конце концов	2	4
96	то же	10	4
97	в их	5	4
98	том же	6	4
99	в области	2	4
100	одним из	5	4
101	что его	2	4
102	в течение	2	4
103	что для	4	4
104	с тем	4	4
105	ни один	8	4
106	на вопрос	2	4
107	из которых	2	4
108	что мы	2	4
109	связи с	5	4
110	этой области	3	4
111	он не	2	4
112	хотя и	2	4
113	даже в	5	3
114	при помощи	3	3
115	это не	7	3
116	и потому	2	3
117	не подлежит	2	3
118	бы в	3	3
119	но даже	3	3
120	от того	2	3
121	только что	4	3
122	очевидно что	7	3
123	в связи	4	3
124	и наконец	2	3
125	как у	2	3
126	у нас	3	3
127	они должны	2	3
128	прежде всего	13	3
129	с одной	2	3
130	образом в	3	3
131	как известно	2	3
132	в жизни	2	3
133	но не	2	3
134	а в	3	3
135	не вполне	2	3
136	в нем	7	3
137	в ней	2	3
138	с более	2	3
139	что оно	3	3
140	тогда когда	2	3
141	может не	2	3
142	должны быть	2	3
143	по одному	2	3
144	было бы	8	3
145	и по	3	3
146	и может	2	3
147	же как	2	3
148	заключается в	2	3
149	одна из	4	2
150	представляет собою	11	2
151	только то	2	2
152	в процессе	17	2
153	но как	3	2
154	а к	2	2
155	к ним	2	2
156	и ее	4	2
157	этот процесс	3	2
158	что она	2	2
159	в другом	2	2
160	на него	2	2
161	должен быть	4	2
162	зависимости от	5	2
163	в виду	4	2
164	не было	7	2
165	сил и	3	2
166	в частности	12	2
167	по его	2	2
168	него в	3	2
169	что они	3	2
170	а для	2	2
171	разобраться в	2	2
172	всех других	3	2
173	показывают что	5	2
174	для него	9	2
175	мы видели	3	2
176	от них	2	2
177	том чтобы	2	2
178	представления об	2	2
179	также и	2	2
180	что у	3	2
181	тому что	7	2
182	она не	3	2
183	следует что	2	2
184	они не	2	2
185	в котором	3	2
186	эти примеры	2	2
187	их в	7	2
188	все его	2	2
189	ту же	2	2
190	в своих	2	2
191	этот вопрос	3	2
192	и социальной	2	2
193	в которых	3	2
194	одной стороны	2	2
195	но для	2	2
196	между прочим	2	2
197	на этом	2	2
198	между ними	3	2
199	отнюдь не	4	2
200	по этому	10	2
201	в них	5	2
202	только не	2	2
203	представить себе	2	2
204	можно ли	2	2
205	всяком случае	2	2
206	жизни и	3	2
207	и некоторые	2	2
208	а затем	2	2
209	сводится к	3	2
210	с ними	4	2
211	во всяком	2	2
212	что многие	2	2
213	и дальше	2	2
214	говорить о	2	2
215	и его	6	2
216	же время	5	2
217	и сам	2	2
218	не следует	8	2
219	во всей	2	2
220	и весь	2	2
221	но с	2	2
222	вовсе не	3	2
