N	2gram	Vinokur_St	VelikijI
1	и не	23	20
2	и в	61	16
3	так как	7	9
4	то что	27	9
5	еще не	4	8
6	в истории	5	8
7	и потому	3	7
8	что они	9	7
9	а не	19	7
10	как бы	8	5
11	на себя	3	5
12	но и	28	5
13	все это	13	5
14	хотя и	4	5
15	того что	14	5
16	что все	3	4
17	и все	3	4
18	как и	11	4
19	в котором	11	4
20	потому что	13	4
21	в нем	9	4
22	в образе	3	4
23	в ней	9	4
24	что не	3	4
25	что мы	5	4
26	и я	5	4
27	в его	19	4
28	говорить о	3	4
29	в этом	37	4
30	что он	23	4
31	так и	15	4
32	никогда не	7	3
33	превращается в	2	3
34	что в	41	3
35	в том	56	3
36	и для	4	3
37	от этого	2	3
38	не имеет	5	3
39	тому что	8	3
40	за то	5	3
41	но в	16	3
42	к тому	9	3
43	ни в	5	3
44	не верит	2	3
45	их в	2	3
46	то это	3	3
47	но это	9	3
48	бы и	4	3
49	оно не	3	3
50	хотя бы	8	3
51	в своей	12	3
52	во всех	8	3
53	от которого	2	3
54	отвращение к	2	3
55	в конце	5	3
56	по этому	5	3
57	в них	2	3
58	жизни и	6	3
59	что и	8	3
60	не было	7	3
61	лишь в	3	3
62	если не	4	3
63	и что	8	3
64	не в	15	3
65	все эти	7	3
66	что во	3	3
67	в этих	5	3
68	что я	3	3
69	должна быть	3	3
70	в чем	4	3
71	тот же	2	3
72	с его	3	3
73	и то	6	2
74	с тем	3	2
75	да и	4	2
76	не так	2	2
77	но не	5	2
78	не хотел	2	2
79	и это	4	2
80	это не	8	2
81	ее в	2	2
82	не только	36	2
83	не могут	2	2
84	а в	18	2
85	том что	49	2
86	истории и	2	2
87	что от	2	2
88	и во	3	2
89	а между	2	2
90	а к	2	2
91	во всяком	8	2
92	и тогда	2	2
93	могут быть	5	2
94	я думаю	11	2
95	не к	2	2
96	в духе	2	2
97	которые не	3	2
98	т д	25	2
99	давно уже	3	2
100	для них	2	2
101	того чтобы	15	2
102	и теперь	2	2
103	более чем	3	2
104	тем что	6	2
105	чтобы сделать	2	2
106	мы не	3	2
107	конечно не	2	2
108	что было	3	2
109	можно было	14	2
110	только в	11	2
111	до того	4	2
112	и сам	4	2
113	те которые	2	2
114	и за	3	2
115	в форме	2	2
116	это дело	3	2
117	для нас	7	2
118	прежде всего	11	2
119	и т	36	2
120	его не	3	2
121	между тем	7	2
122	а с	6	2
123	для него	10	2
