N	2gram	Propp_Isto	Sovremen
1	не может	19	17
2	точки зрения	4	12
3	может быть	19	12
4	таким образом	15	11
5	мы не	10	9
6	не можем	3	7
7	и в	41	7
8	в этом	19	7
9	и не	12	6
10	ничего не	7	6
11	как и	8	6
12	только одна	2	6
13	мы можем	11	6
14	что же	2	5
15	все эти	8	5
16	и наконец	6	5
17	прежде всего	6	5
18	вопрос о	6	4
19	мы видели	17	4
20	зависимости от	4	4
21	это не	14	4
22	не только	30	4
23	в том	14	4
24	в зависимости	3	4
25	мы должны	7	4
26	как бы	8	4
27	их в	3	4
28	так как	21	4
29	в дальнейшем	3	4
30	в целом	2	4
31	жизни и	3	4
32	вместе с	17	4
33	а в	12	4
34	из них	2	4
35	для нас	8	3
36	следующим образом	4	3
37	он может	4	3
38	видели что	4	3
39	когда мы	2	3
40	но в	7	3
41	при этом	7	3
42	но мы	3	3
43	не в	12	3
44	все же	14	3
45	он в	4	3
46	как он	11	3
47	было бы	4	3
48	в области	3	3
49	уже в	4	3
50	в себе	3	3
51	еще не	13	3
52	одна из	7	3
53	у нас	4	3
54	и все	6	3
55	все это	9	3
56	в нем	12	3
57	а не	9	3
58	что она	6	3
59	в этой	2	3
60	то же	12	3
61	в одном	2	3
62	отличается от	4	3
63	в конце	4	3
64	ясно что	2	3
65	но все	5	2
66	на его	6	2
67	на этот	4	2
68	и по	7	2
69	всяком случае	3	2
70	которой он	3	2
71	а на	2	2
72	не менее	5	2
73	дает нам	3	2
74	не могут	3	2
75	мы видим	14	2
76	в его	4	2
77	с этим	3	2
78	и пр	2	2
79	и что	15	2
80	то и	6	2
81	во всяком	3	2
82	что такое	2	2
83	что при	3	2
84	из этих	6	2
85	ее на	5	2
86	в самом	2	2
87	и есть	2	2
88	в виде	5	2
89	знаем что	5	2
90	что в	21	2
91	в которой	2	2
92	у него	16	2
93	из одного	3	2
94	такой же	3	2
95	в некоторых	2	2
96	уже не	8	2
97	не будем	2	2
98	и они	2	2
99	могут быть	3	2
100	в один	2	2
101	же мы	6	2
102	тот же	2	2
103	с одной	12	2
104	как мы	6	2
105	мы знаем	4	2
106	что это	6	2
107	тем не	4	2
108	на котором	3	2
109	из которых	3	2
110	и даже	3	2
111	некоторое время	2	2
