N	2gram	Savitsky_P	Istorich
1	и в	14	181
2	и т	3	160
3	т е	3	133
4	может быть	5	115
5	не только	17	114
6	что в	4	90
7	но и	6	85
8	в этом	10	81
9	то что	4	73
10	и не	12	67
11	не может	4	61
12	то же	9	56
13	в том	9	53
14	том что	4	53
15	с другой	5	52
16	а в	4	52
17	потому что	3	52
18	а не	2	48
19	не в	5	47
20	мы должны	4	44
21	но в	9	44
22	и пр	5	44
23	это не	3	43
24	в нем	3	42
25	только в	7	42
26	в его	2	38
27	для нас	2	38
28	с тем	3	35
29	мы не	3	35
30	но не	3	34
31	в качестве	9	32
32	прежде всего	3	31
33	с этим	2	30
34	в русской	4	30
35	с одной	3	30
36	одной стороны	3	29
37	например в	2	28
38	и с	2	28
39	того что	2	27
40	могут быть	3	27
41	в ней	6	26
42	было бы	6	24
43	если бы	4	24
44	в виде	2	24
45	что мы	3	24
46	не менее	2	24
47	не будем	2	23
48	все это	2	23
49	в частности	2	23
50	и это	2	23
51	как бы	4	23
52	одна из	2	20
53	из них	2	20
54	в силу	2	20
55	наряду с	3	20
56	и как	3	19
57	в то	7	18
58	в них	2	17
59	со стороны	2	16
60	в котором	4	16
61	во всех	2	16
62	в пределах	8	15
63	в которых	5	15
64	и тем	2	15
65	а также	4	14
66	и есть	2	14
67	в своем	4	13
68	в северной	2	13
69	и если	4	13
70	в себе	3	13
71	с ними	3	13
72	по себе	4	13
73	между прочим	2	12
74	хотя бы	8	12
75	и вот	2	11
76	главным образом	2	11
77	точки зрения	3	11
78	хотя и	3	11
79	же в	4	11
80	в ее	2	10
81	вслед за	3	10
82	и других	2	10
83	не было	2	10
84	и к	4	10
85	тот же	3	9
86	стороны и	2	9
87	тем самым	3	8
88	именно в	2	8
89	в жизни	2	8
90	и потому	4	8
91	северной америке	3	8
92	и о	5	7
93	если в	2	7
94	в европе	2	7
95	есть не	2	7
96	в начале	2	7
97	как на	2	7
98	между тем	3	7
99	в эту	2	7
100	и и	2	7
101	думать что	2	7
102	в области	11	7
103	не столько	2	7
104	для того	3	6
105	в русском	2	6
106	ей в	3	6
107	а я	5	6
108	сводится к	3	6
109	к чему	2	6
110	отношения к	2	6
111	никак не	2	5
112	пути в	2	5
113	друг другу	2	5
114	что из	2	5
115	xix века	6	5
116	том числе	2	5
117	для них	2	5
118	в которую	2	5
119	еще более	2	5
120	да и	2	5
121	и мы	2	5
122	на пути	4	4
123	время в	2	4
124	тем более	2	4
125	в тот	2	4
126	столь же	3	4
127	во всей	2	4
128	е с	6	4
129	сами по	3	4
130	как раз	2	4
131	по сравнению	2	4
132	мысль о	2	4
133	отнюдь не	2	4
134	с точки	3	4
135	есть в	2	4
136	переход от	2	3
137	духа и	2	3
138	является в	2	3
139	и пусть	2	3
140	именно как	2	3
141	должно быть	2	3
142	сомнения что	2	3
143	которую мы	2	3
144	подошел к	2	3
145	образом на	2	3
146	сколько бы	2	3
147	не о	2	2
148	в полной	2	2
149	современной европейской	2	2
150	помнить что	2	2
151	для тех	2	2
152	в мире	2	2
153	более чем	2	2
154	не к	2	2
155	может и	2	2
156	по-видимому не	2	2
157	есть нечто	2	2
158	сказывается в	2	2
159	нужно было	2	2
160	каждый в	2	2
161	в обстановке	7	2
162	не нужно	2	2
163	только это	2	2
164	говорить о	2	2
165	бы ни	2	2
