N	2gram	Ircho_Kome	SlovoVZh
1	не может	9	16
2	точки зрения	8	14
3	может быть	14	14
4	и его	10	13
5	как бы	7	13
6	и в	37	12
7	таким образом	16	12
8	отношению к	4	11
9	по отношению	6	11
10	и не	28	10
11	так как	16	9
12	если бы	18	9
13	прежде всего	7	8
14	для нас	7	7
15	сказать что	4	7
16	все время	3	6
17	при этом	11	6
18	в том	24	6
19	в нем	8	6
20	только в	3	6
21	с помощью	4	6
22	в ней	7	6
23	никогда не	5	5
24	как в	4	5
25	что мы	4	5
26	в виду	3	5
27	но в	7	5
28	том что	22	5
29	то же	14	5
30	как и	10	5
31	должна быть	2	5
32	хотя бы	5	5
33	а не	5	5
34	то что	5	5
35	отнюдь не	5	5
36	в самом	17	4
37	в этом	18	4
38	не только	13	4
39	что не	5	4
40	его в	9	4
41	не в	7	4
42	ни было	3	4
43	с другой	5	4
44	все же	9	4
45	к нему	8	4
46	за пределы	3	4
47	и к	4	4
48	так и	4	4
49	и на	6	4
50	от того	2	4
51	отношение к	7	4
52	как к	3	3
53	в них	6	3
54	о том	21	3
55	и для	7	3
56	да и	3	3
57	из этого	2	3
58	ни в	14	3
59	в котором	6	3
60	бы то	3	3
61	то ни	4	3
62	так же	8	3
63	в своей	6	3
64	мы не	6	3
65	конечно не	4	3
66	в себе	4	3
67	нуждается в	2	3
68	еще не	10	3
69	здесь не	2	3
70	все это	7	3
71	когда он	5	3
72	и ее	3	3
73	между тем	6	3
74	и с	5	3
75	не менее	9	3
76	сих пор	12	3
77	с ним	10	3
78	до сих	12	3
79	в пределах	3	3
80	и по	3	3
81	самом деле	13	3
82	тем не	3	3
83	но и	18	3
84	ясно что	12	3
85	едва ли	16	2
86	конечно в	2	2
87	мы в	3	2
88	тем как	2	2
89	в его	12	2
90	к его	4	2
91	до конца	4	2
92	и здесь	11	2
93	что в	11	2
94	к ним	5	2
95	не так	4	2
96	стороны и	4	2
97	в отношении	4	2
98	выходят за	2	2
99	ничего не	6	2
100	общего с	2	2
101	с его	6	2
102	как не	2	2
103	что и	12	2
104	это не	3	2
105	и все	6	2
106	с точки	6	2
107	она не	3	2
108	но все	5	2
109	тому же	11	2
110	в своем	9	2
111	дело с	4	2
112	бы не	3	2
113	ней как	2	2
114	с другими	2	2
115	независимо от	4	2
116	действия и	2	2
117	не остается	3	2
118	мы имеем	4	2
119	и что	8	2
120	на примере	2	2
121	в то	14	2
122	себя и	2	2
123	уже в	3	2
124	с этой	5	2
125	в этих	2	2
126	одной стороны	4	2
127	он не	11	2
128	в какой	4	2
129	как же	2	2
130	такой же	2	2
131	как только	2	2
132	и потому	2	2
133	имеем в	2	2
134	но не	9	2
135	как это	5	2
136	на это	3	2
137	если же	2	2
138	мы можем	7	2
139	была бы	2	2
140	могут быть	3	2
141	в чем	7	2
142	между собой	5	2
143	нет ничего	4	2
144	с одной	5	2
145	выражение в	3	2
146	к этому	11	2
147	же самое	3	2
148	между ними	4	2
149	этих двух	2	2
150	известной степени	2	2
151	другой стороны	2	2
152	вместе с	16	2
153	на него	6	2
