N	2gram	Propp_Isto	Poddanst
1	не только	28	17
2	и в	43	14
3	и не	16	12
4	в этом	25	10
5	но в	15	9
6	то же	11	9
7	в том	13	9
8	в качестве	4	9
9	хотя бы	3	8
10	в пределах	5	8
11	в то	2	7
12	только в	8	7
13	но и	24	6
14	было бы	5	6
15	в ней	3	6
16	а я	3	5
17	с другой	10	5
18	не в	9	5
19	и о	2	5
20	в которых	7	5
21	и пр	19	5
22	может быть	22	5
23	по себе	3	4
24	что в	29	4
25	если бы	7	4
26	и потому	2	4
27	в своем	2	4
28	том что	12	4
29	а также	5	4
30	мы должны	9	4
31	в котором	5	4
32	в русской	5	4
33	и к	4	4
34	как бы	5	4
35	и если	3	4
36	то что	20	4
37	не может	8	4
38	а в	13	4
39	же в	6	4
40	что мы	5	3
41	и как	6	3
42	с тем	3	3
43	но не	10	3
44	это не	10	3
45	т е	36	3
46	мы не	3	3
47	в себе	2	3
48	точки зрения	3	3
49	потому что	8	3
50	одной стороны	2	3
51	в нем	11	3
52	между тем	2	3
53	могут быть	9	3
54	прежде всего	3	3
55	и т	33	3
56	хотя и	4	3
57	тот же	2	3
58	с одной	2	3
59	с ними	5	3
60	наряду с	4	3
61	для нас	6	2
62	да и	2	2
63	и и	6	2
64	в них	6	2
65	является в	2	2
66	в жизни	3	2
67	одна из	2	2
68	есть не	2	2
69	для них	3	2
70	в русском	3	2
71	стороны и	3	2
72	и это	5	2
73	и тем	2	2
74	в его	7	2
75	с этим	13	2
76	по сравнению	2	2
77	и вот	3	2
78	не менее	6	2
79	со стороны	3	2
80	в начале	2	2
81	в виде	2	2
82	еще более	3	2
83	все это	4	2
84	в частности	6	2
85	сомнения что	2	2
86	друг другу	2	2
87	а не	13	2
88	не было	2	2
89	и есть	3	2
90	например в	3	2
91	и с	10	2
92	не будем	6	2
93	в северной	3	2
94	между прочим	4	2
95	к чему	2	2
96	того что	8	2
97	в силу	2	2
98	главным образом	3	2
99	из них	7	2
100	образом на	2	2
