N	3gram	Medvedev_F	formyVre
1	и т п	11	32
2	то же время	13	21
3	в то же	13	18
4	в связи с	9	15
5	с точки зрения	17	15
6	для того чтобы	3	12
7	но и в	4	12
8	до сих пор	7	10
9	и в то	4	10
10	и прежде всего	2	8
11	в большинстве случаев	5	8
12	прежде всего в	5	7
13	в этом отношении	7	7
14	и т д	11	7
15	в отличие от	2	7
16	не может быть	11	7
17	с одной стороны	5	6
18	друг от друга	2	6
19	и в этом	6	6
20	в том что	3	5
21	в широком смысле	2	5
22	одной стороны и	4	5
23	как если бы	2	4
24	в последнем счете	2	4
25	бы ни были	2	4
26	может быть и	4	4
27	связи с этим	4	4
28	с другой стороны	4	4
29	но все же	2	4
30	во всяком случае	6	4
31	по отношению к	4	4
32	в его целом	8	4
33	и в частности	2	3
34	до известной степени	3	3
35	в зависимости от	4	3
36	так и в	6	3
37	как раз и	4	3
38	но все эти	2	3
39	но в то	3	3
40	вместе с тем	5	3
41	между этими двумя	2	3
42	как бы ни	3	3
43	с самого начала	2	3
44	в этом процессе	2	3
45	сами по себе	4	3
46	как мы увидим	3	3
47	бы она ни	3	2
48	в строгом смысле	2	2
49	к тому что	3	2
50	все более и	3	2
51	с тем что	3	2
52	она ни была	3	2
53	не может войти	2	2
54	т п в	2	2
55	может войти в	2	2
56	только на почве	2	2
57	во всех своих	2	2
58	и до сих	2	2
59	что и в	2	2
60	в данном случае	2	2
61	а вовсе не	2	2
62	роль в истории	2	2
63	какова бы она	3	2
64	и других идеологий	2	2
65	но в этом	2	2
66	как и все	2	2
67	и до конца	3	2
68	в ее целом	3	2
69	более и более	3	2
70	и в их	2	2
71	так сказать в	2	2
72	в свою очередь	6	2
