N	2gram	Vinokur_St	OGranits
1	и в	61	13
2	и его	11	12
3	прежде всего	11	9
4	и не	23	8
5	не может	10	8
6	может быть	16	8
7	в его	19	7
8	и пр	4	7
9	и их	3	7
10	точки зрения	16	7
11	не только	36	6
12	как бы	8	6
13	таким образом	16	6
14	только в	11	6
15	то что	27	6
16	языка и	4	5
17	все же	12	5
18	с точки	10	5
19	но ведь	8	5
20	хотя бы	8	5
21	в процессе	3	5
22	еще и	5	4
23	но в	16	4
24	лишь в	3	4
25	то же	7	4
26	в сознании	2	4
27	не является	5	4
28	в своей	12	4
29	все это	13	4
30	в выборе	2	4
31	было бы	21	4
32	в двух	4	4
33	вопроса о	3	4
34	мы не	3	4
35	в каждом	3	4
36	никогда не	7	3
37	да и	4	3
38	и для	4	3
39	общего с	3	3
40	и то	6	3
41	и все	3	3
42	материала и	2	3
43	в ее	6	3
44	превращается в	2	3
45	вряд ли	8	3
46	с этим	6	3
47	отношению к	3	3
48	и уже	3	3
49	как и	11	3
50	не в	15	3
51	в их	3	3
52	говорить о	3	3
53	ни один	2	3
54	ничего общего	3	3
55	так как	7	3
56	в себе	3	3
57	что в	41	3
58	по отношению	3	3
59	точку зрения	3	3
60	г в	10	3
61	но для	3	3
62	самом деле	14	3
63	за пределы	2	3
64	так и	15	3
65	что же	6	3
66	в которой	13	3
67	не как	2	3
68	в одном	7	3
69	но и	28	3
70	не столько	6	3
71	в самом	14	2
72	могут быть	5	2
73	своего рода	7	2
74	в этом	37	2
75	в них	2	2
76	для себя	3	2
77	данном случае	7	2
78	в руках	2	2
79	кажется что	5	2
80	уже в	3	2
81	отношений между	3	2
82	в том	56	2
83	тем что	6	2
84	в отношении	11	2
85	несмотря на	4	2
86	которой является	3	2
87	в целом	5	2
88	если бы	11	2
89	от этого	2	2
90	думать что	2	2
91	о языке	2	2
92	с одной	3	2
93	не имеет	5	2
94	или иного	4	2
95	зависимости от	2	2
96	случае и	2	2
97	ее в	2	2
98	с другой	11	2
99	там где	6	2
100	разумеется что	5	2
101	а в	18	2
102	и тем	3	2
103	том что	49	2
104	того или	4	2
105	а как	5	2
106	а также	4	2
107	в г	10	2
108	и к	5	2
109	нужно отметить	2	2
110	с историей	2	2
111	в зависимости	2	2
112	в данном	16	2
113	в общем	2	2
114	не менее	8	2
115	все эти	7	2
116	в области	16	2
117	что эта	5	2
118	связанные с	3	2
119	так же	7	2
120	от своего	2	2
121	что они	9	2
122	нуждается в	2	2
123	с этой	5	2
124	в своих	2	2
125	в нем	9	2
126	не на	3	2
127	истории литературы	2	2
128	в тех	5	2
129	при этом	4	2
130	а не	19	2
131	в ней	9	2
132	еще в	3	2
133	в течение	7	2
134	как в	15	2
135	другой стороны	9	2
136	вопросы связанные	2	2
137	одной стороны	2	2
138	бы в	2	2
139	между тем	7	2
140	в чем	4	2
141	тот же	2	2
142	в другом	5	2
143	самого начала	3	2
144	вовсе не	24	2
145	к сожалению	4	2
146	с самого	4	2
147	к тому	9	2
148	не мог	3	2
149	в которую	2	2
150	наконец в	2	2
151	для него	10	2
152	поэтического языка	2	2
