N	2gram	Bakhtin_sl	EvropaiC
1	таким образом	16	34
2	в том	7	31
3	и в	69	24
4	том что	6	20
5	все эти	15	19
6	не может	27	18
7	то что	2	18
8	может быть	40	17
9	до сих	4	15
10	все же	10	15
11	сих пор	4	15
12	точки зрения	24	14
13	в этом	21	13
14	все это	14	13
15	в своем	9	12
16	с этим	5	12
17	между тем	5	12
18	по отношению	2	11
19	но и	37	11
20	отношению к	2	11
21	культуры и	2	11
22	не только	37	10
23	так и	22	10
24	во всех	25	10
25	как и	8	10
26	как бы	16	10
27	из себя	3	10
28	в результате	4	9
29	друг с	2	9
30	и не	32	9
31	не в	14	9
32	что в	3	9
33	и все	9	9
34	на то	2	9
35	с другом	2	9
36	того же	7	9
37	потому что	2	9
38	при этом	12	9
39	и что	2	9
40	так же	2	8
41	из этих	3	8
42	или менее	5	8
43	для того	2	8
44	к тому	3	8
45	более или	5	8
46	в самом	6	8
47	а между	2	8
48	с точки	11	8
49	мы говорили	2	8
50	на самом	2	7
51	для этого	4	7
52	о которых	2	7
53	в сознании	3	7
54	так как	7	7
55	по своей	2	7
56	что он	2	7
57	того что	4	7
58	не менее	4	7
59	о том	5	7
60	из этого	3	7
61	что и	2	7
62	по существу	3	7
63	вместе с	3	7
64	отличается от	3	6
65	только в	9	6
66	все они	9	6
67	у них	2	6
68	еще не	9	6
69	и при	2	6
70	так что	2	6
71	в каждый	5	6
72	в то	17	6
73	должна быть	3	6
74	и для	7	6
75	с другой	8	6
76	и на	17	6
77	несмотря на	2	6
78	лишь при	2	6
79	с ним	12	6
80	и от	5	5
81	его в	7	5
82	но все	2	5
83	в себе	3	5
84	должно быть	3	5
85	к этому	3	5
86	в которой	4	5
87	как к	5	5
88	лишь в	6	5
89	на все	3	5
90	и их	6	5
91	из них	3	5
92	по своему	2	5
93	у него	5	5
94	что все	2	5
95	далеко не	7	5
96	но в	13	5
97	столь же	2	5
98	именно в	5	5
99	или иначе	2	5
100	и с	10	5
101	и к	9	5
102	другой стороны	5	5
103	пор не	2	5
104	в целом	3	5
105	в его	19	5
106	быть и	6	5
107	никогда не	9	4
108	и то	2	4
109	как сказано	4	4
110	не могут	7	4
111	всех этих	8	4
112	хотя бы	6	4
113	тем не	2	4
114	которых мы	3	4
115	отношение к	8	4
116	и у	2	4
117	целый ряд	2	4
118	то же	17	4
119	в их	6	4
120	том же	4	4
121	а с	2	4
122	одним из	5	4
123	в виде	4	4
124	совершенно не	2	4
125	и проч	4	4
126	между собой	3	4
127	этом случае	4	4
128	каждый данный	5	4
129	не есть	2	4
130	данный момент	4	4
131	связи с	4	4
132	что как	2	4
133	в таком	5	4
134	он не	5	4
135	мы сказали	6	4
136	если мы	2	4
137	хотя и	4	4
138	мы уже	4	4
139	даже в	4	3
140	данном случае	3	3
141	и вообще	2	3
142	это не	8	3
143	и потому	9	3
144	и до	2	3
145	от него	5	3
146	ни было	2	3
147	а лишь	2	3
148	с этой	3	3
149	в этих	8	3
150	конечно не	7	3
151	и других	5	3
152	в связи	2	3
153	и наконец	9	3
154	как у	2	3
155	у нас	2	3
156	но по	2	3
157	прежде всего	14	3
158	отличие от	13	3
159	с одной	7	3
160	в разных	3	3
161	образом в	4	3
162	но не	7	3
163	в данном	5	3
164	а в	10	3
165	на почве	6	3
166	в нем	44	3
167	в ней	7	3
168	что оно	4	3
169	тогда когда	2	3
170	для нас	7	3
171	может не	9	3
172	эти элементы	2	3
173	различия между	3	3
174	было бы	3	3
175	и по	3	3
176	и может	4	3
177	в истории	6	3
178	во всем	3	3
179	же как	2	3
180	как мы	15	3
181	чем в	3	3
182	конечно в	2	2
183	одна из	6	2
184	все то	2	2
185	мы все	2	2
186	с которыми	2	2
187	меньше чем	2	2
188	то в	2	2
189	они могут	7	2
190	в процессе	14	2
191	но как	2	2
192	между этими	3	2
193	к ним	2	2
194	и ее	3	2
195	или поздно	2	2
196	то время	2	2
197	то есть	46	2
198	в другом	4	2
199	лишь тогда	2	2
200	свою очередь	3	2
201	борьбы с	3	2
202	на каждом	2	2
203	друг друга	3	2
204	должен быть	3	2
205	зависимости от	4	2
206	в виду	2	2
207	не было	4	2
208	следовательно и	4	2
209	в частности	3	2
210	что они	2	2
211	точку зрения	6	2
212	это может	2	2
213	или вовсе	2	2
214	в один	2	2
215	работы и	2	2
216	не знает	3	2
217	в одно	2	2
218	том и	2	2
219	для него	8	2
220	мы видели	3	2
221	дальнейшего развития	2	2
222	рано или	2	2
223	в эту	3	2
224	также и	5	2
225	тому что	2	2
226	к нему	7	2
227	она не	8	2
228	на том	2	2
229	они не	3	2
230	в котором	2	2
231	на себе	2	2
232	все его	4	2
233	те же	3	2
234	и там	6	2
235	ту же	5	2
236	в свою	4	2
237	и социальной	2	2
238	одной стороны	7	2
239	к такому	2	2
240	на этом	4	2
241	и те	3	2
242	исторического развития	2	2
243	между ними	2	2
244	в них	11	2
245	только не	2	2
246	всяком случае	7	2
247	жизни и	5	2
248	с ними	8	2
249	во всяком	9	2
250	из него	4	2
251	говорить о	2	2
252	себя и	2	2
253	и особенно	2	2
254	и его	45	2
255	в сущности	18	2
256	же время	15	2
257	и только	2	2
258	а следовательно	2	2
259	с ее	6	2
260	и сам	4	2
261	из одного	2	2
262	и более	3	2
263	этого слова	2	2
264	в себя	3	2
265	широком смысле	3	2
266	той же	3	2
267	вовсе не	16	2
268	мы и	2	2
269	в основе	8	2
