N	2gram	Ircho_Kome	Literetu
1	и не	19	47
2	не только	12	46
3	и в	40	44
4	может быть	16	43
5	при этом	5	41
6	но и	14	41
7	в том	19	39
8	в этом	9	38
9	том что	19	32
10	в частности	7	30
11	такого рода	6	30
12	то что	8	29
13	в мире	3	28
14	в качестве	8	27
15	в году	3	26
16	то же	7	26
17	как и	12	23
18	в то	14	23
19	не в	8	22
20	так и	17	22
21	себя в	2	22
22	не может	3	22
23	х годов	5	21
24	же время	5	21
25	в себе	3	20
26	прежде всего	8	19
27	как бы	3	18
28	точки зрения	7	17
29	в его	8	17
30	с другой	7	17
31	в этой	9	16
32	со стороны	3	15
33	не менее	6	15
34	в целом	6	15
35	только в	6	15
36	по отношению	5	14
37	что он	11	14
38	однако в	4	14
39	в рамках	3	14
40	и даже	5	14
41	в своем	6	13
42	как это	7	13
43	с одной	5	13
44	но не	3	13
45	и его	17	13
46	художественного мышления	4	12
47	в своей	3	12
48	а также	5	12
49	еще не	7	12
50	одним из	3	12
51	отношению к	5	12
52	о том	12	12
53	одной стороны	5	12
54	это не	2	11
55	в другом	5	11
56	еще в	9	11
57	отличие от	4	11
58	с его	4	11
59	и сам	5	11
60	как в	8	11
61	в отличие	3	11
62	а в	9	11
63	или иначе	4	11
64	столь же	9	11
65	вместе с	8	11
66	даже в	3	10
67	этом отношении	3	10
68	для себя	2	10
69	в принципе	3	10
70	в области	3	10
71	что в	12	10
72	так или	4	10
73	отнюдь не	2	10
74	в ее	2	10
75	из них	16	10
76	и на	9	10
77	потому что	8	10
78	жизни и	4	10
79	к тому	15	9
80	один из	9	9
81	же в	7	9
82	связи с	3	9
83	в начале	7	9
84	с этой	3	9
85	одна из	4	8
86	в конце	7	8
87	едва ли	16	8
88	ли не	8	8
89	все же	7	8
90	но в	6	8
91	того же	4	8
92	уже в	9	8
93	на себя	5	8
94	не говоря	4	8
95	говоря уже	4	8
96	и я	2	8
97	и как	3	8
98	мира в	5	8
99	тем что	5	8
100	в своих	2	8
101	соответствии с	2	8
102	той же	3	8
103	как раз	4	8
104	до конца	3	7
105	из того	2	7
106	для всех	5	7
107	в их	6	7
108	по своей	2	7
109	наконец в	3	7
110	друг друга	2	7
111	и тем	2	7
112	и других	7	7
113	так в	6	7
114	для этого	2	7
115	другой стороны	6	7
116	в противоположность	2	7
117	и для	4	7
118	как правило	5	7
