N	2gram	Trubetskoy	DiskursI
1	может быть	17	56
2	не только	10	49
3	и в	24	49
4	как и	10	47
5	тогда как	6	47
6	при этом	9	46
7	в том	31	44
8	и не	9	44
9	то есть	2	41
10	том что	20	40
11	в этом	13	38
12	в себе	5	37
13	в частности	2	36
14	но и	11	35
15	но не	3	31
16	так и	10	28
17	отличие от	3	28
18	но в	5	28
19	не может	18	27
20	по своей	7	26
21	еще не	6	23
22	отнюдь не	2	23
23	все же	15	19
24	прежде всего	3	19
25	в нем	3	19
26	в основе	2	18
27	далеко не	5	18
28	по отношению	11	17
29	в данном	3	17
30	то же	4	17
31	с другой	6	17
32	отношению к	11	17
33	в мире	6	17
34	точки зрения	14	16
35	только в	6	16
36	в его	5	15
37	то что	18	15
38	о том	7	15
39	это не	3	14
40	не в	9	14
41	не менее	7	14
42	одной стороны	2	14
43	с одной	3	14
44	в целом	5	13
45	для него	2	13
46	как бы	10	13
47	данном случае	3	12
48	в своем	12	12
49	и все	9	12
50	того же	9	12
51	в своих	2	12
52	и на	6	12
53	что в	9	11
54	столь же	5	11
55	не было	2	11
56	для себя	2	10
57	а в	3	10
58	а с	4	10
59	вследствие этого	3	10
60	также и	2	10
61	и т.д	4	10
62	же время	2	10
63	тем самым	3	9
64	в то	6	9
65	в силу	7	9
66	между тем	12	9
67	в них	2	9
68	сводится к	2	9
69	к тому	8	8
70	потому что	9	8
71	хотя и	4	8
72	в этих	3	8
73	в себя	2	8
74	в котором	2	8
75	из них	5	8
76	он не	4	8
77	не следует	2	8
78	его в	5	7
79	и ее	2	7
80	и для	6	7
81	в процессе	2	7
82	что и	7	7
83	в этой	7	7
84	другой стороны	5	7
85	к этому	5	7
86	иначе говоря	4	7
87	лишь в	5	7
88	ни для	2	7
89	я в	2	7
90	той же	2	7
91	и его	2	7
92	таким образом	34	7
93	тому же	6	7
94	никогда не	4	6
95	отношение к	4	6
96	что он	7	6
97	не знает	2	6
98	одно из	3	6
99	именно в	5	6
100	что же	2	6
101	и может	3	6
102	в сущности	2	6
103	в истории	3	6
104	имеет место	2	6
105	и то	4	6
106	одна из	2	6
107	то в	2	6
108	во всех	10	6
109	однако при	2	6
110	в которых	2	6
111	с точки	8	6
112	и того	3	6
113	в другом	2	5
114	в виду	2	5
115	в их	4	5
116	свою очередь	2	5
117	и потому	3	5
118	того что	7	5
119	к ним	2	5
120	во втором	2	5
121	к своим	2	5
122	несмотря на	6	5
123	же касается	2	5
124	как будто	5	5
125	из этих	8	5
126	с ее	2	5
127	из двух	2	5
128	одного и	3	5
129	что касается	6	5
130	к той	2	5
131	в свою	2	5
132	и состоит	2	5
133	может служить	3	5
134	на этом	2	5
135	в сторону	3	5
136	не вполне	3	5
137	говорить о	2	5
138	в ней	3	5
139	не могут	4	4
140	из того	4	4
141	для меня	4	4
142	одну из	2	4
143	однако это	2	4
144	у них	6	4
145	по своему	5	4
146	и это	3	4
147	между двумя	5	4
148	можно назвать	3	4
149	и до	3	4
150	что они	2	4
151	должны быть	3	4
152	во всяком	2	4
