N	2gram	Savitsky_E	Komedia
1	и в	37	77
2	и не	14	47
3	в том	11	44
4	том что	6	42
5	т е	9	33
6	о том	3	33
7	но и	14	32
8	может быть	6	30
9	таким образом	2	29
10	из них	3	29
11	в то	16	28
12	в этом	12	27
13	потому что	3	27
14	к тому	8	26
15	не только	18	25
16	вместе с	2	25
17	так как	7	24
18	как и	7	23
19	что в	21	23
20	что и	3	22
21	если бы	2	22
22	в самом	4	22
23	так и	10	21
24	а в	2	21
25	то же	15	21
26	в его	2	20
27	со стороны	5	19
28	в этой	2	18
29	тем что	3	17
30	же время	14	17
31	он не	2	16
32	в своем	14	15
33	не в	5	15
34	точки зрения	23	15
35	между тем	8	15
36	прежде всего	9	15
37	на себя	3	15
38	было бы	8	15
39	и на	6	15
40	к нему	2	14
41	в свою	3	14
42	и с	2	14
43	столь же	5	14
44	то что	6	13
45	но в	14	13
46	того же	3	13
47	в них	3	13
48	того чтобы	6	13
49	мы можем	3	13
50	в одном	2	13
51	так же	9	12
52	с другой	7	12
53	для того	6	12
54	как это	4	12
55	несмотря на	4	12
56	в качестве	14	12
57	в истории	2	12
58	хотя и	2	12
59	не может	9	12
60	как в	3	12
61	но не	5	12
62	в котором	2	12
63	наряду с	2	11
64	в их	11	11
65	в частности	5	11
66	с тем	3	11
67	как мы	5	11
68	к ней	4	11
69	и даже	6	11
70	на этот	2	11
71	и для	3	11
72	в отношении	32	10
73	на основании	2	10
74	одной из	5	10
75	и все	2	10
76	мы не	4	10
77	же в	2	10
78	свою очередь	2	10
79	с этим	2	10
80	тем более	4	10
81	с одной	8	10
82	как бы	6	10
83	более чем	2	10
84	и что	2	10
85	одной стороны	8	9
86	и по	5	9
87	в своей	8	9
88	а также	7	9
89	независимо от	4	9
90	и еще	2	9
91	вовсе не	6	9
92	только в	9	9
93	в ней	4	9
94	идет о	3	8
95	и других	2	8
96	то ни	4	8
97	по своему	7	8
98	место в	3	8
99	войны и	2	8
100	другой стороны	2	8
101	можно было	3	8
102	бы в	2	8
103	с этой	6	8
104	в течение	5	8
105	в которых	3	8
106	во всех	6	8
107	вопрос о	4	7
108	в себе	9	7
109	и поэтому	2	7
110	и к	3	7
111	себе в	3	7
112	в других	2	7
113	но если	5	7
114	и во	2	7
115	во всяком	3	7
116	бы то	4	7
117	если в	2	7
118	хотя бы	15	7
119	в результате	3	7
120	целый ряд	2	7
121	не является	3	7
122	ни было	4	7
123	в этих	2	7
124	не имеет	4	7
125	отнюдь не	9	7
126	для нас	4	7
127	всяком случае	3	7
128	даже в	4	6
129	из числа	4	6
130	в силу	2	6
131	и тем	3	6
132	в области	11	6
133	всего в	2	6
134	не говоря	2	6
135	могут быть	2	6
136	говоря уже	2	6
137	и как	2	6
138	что к	2	6
139	во второй	3	6
140	как будто	2	6
141	с и	10	6
142	в какой	2	6
143	на то	6	6
144	в своих	2	6
145	еще более	2	6
146	когда он	3	6
147	в другой	2	6
148	представляет собой	3	6
149	главным образом	2	6
150	с точки	17	6
151	или в	2	6
152	а не	2	6
153	не дает	3	6
154	никогда не	3	5
155	и если	2	5
156	этом отношении	3	5
157	из всех	3	5
158	из того	2	5
159	его на	2	5
160	вслед за	6	5
161	и мы	3	5
162	на долю	3	5
163	в развитии	2	5
164	одном из	2	5
165	от них	3	5
166	к ним	3	5
167	участие в	2	5
168	что на	2	5
169	между собой	2	5
170	в ее	8	5
171	сказать что	4	5
172	представление о	2	5
173	и от	3	5
174	что это	2	5
175	в мире	2	5
176	также в	2	5
177	мира в	4	5
178	именно в	4	5
179	жизни и	2	5
180	и теперь	2	5
181	чем в	4	5
182	все более	9	4
183	в остальном	3	4
184	по своей	2	4
185	по сравнению	2	4
186	между ними	2	4
187	сравнению с	2	4
188	что же	2	4
189	же как	5	4
190	обстоит дело	3	4
191	не на	4	4
192	меньше чем	2	4
193	в свои	2	4
194	стороны и	6	4
195	второй половине	2	4
196	такой же	2	4
197	в пределах	25	4
198	именно потому	2	4
199	далеко не	2	4
200	в последние	6	4
201	мог бы	2	4
202	в той	5	4
203	и потому	5	3
204	не могут	2	3
205	всего лишь	3	3
206	и притом	4	3
207	и таким	2	3
208	друг от	2	3
209	для понимания	2	3
210	на месте	2	3
211	от этого	5	3
212	в эту	2	3
213	она не	2	3
214	или по	2	3
215	с другом	3	3
216	в известной	3	3
217	на них	2	3
218	для них	2	3
219	в виде	5	3
220	мы видели	3	3
221	иначе обстоит	2	3
222	ли это	3	3
223	и эта	2	3
224	друг с	3	3
225	является ли	3	3
226	чем на	2	3
227	и более	2	3
228	в большинстве	2	3
229	по себе	4	3
230	ко всему	2	3
231	не более	3	3
232	в таком	3	3
233	как на	3	3
234	не к	2	3
235	от друга	2	3
236	в каком	4	2
237	тем самым	5	2
238	очевидно что	3	2
239	как же	2	2
240	помнить что	2	2
241	даже при	2	2
242	именно к	2	2
243	того что	7	2
244	вопрос не	2	2
245	что все	2	2
246	но еще	2	2
247	случаях когда	2	2
248	европейской культуры	3	2
249	в общем	3	2
250	во втором	2	2
251	этой точки	5	2
252	которые они	2	2
253	и та	2	2
254	большинстве случаев	3	2
255	в известном	3	2
256	за тем	2	2
257	мы видим	2	2
258	должна быть	2	2
259	известной степени	3	2
260	следовало бы	2	2
261	что эти	2	2
262	и можно	2	2
263	бы и	3	2
264	более поздние	2	2
265	имеет в	2	2
266	то в	4	2
267	с другими	2	2
268	между прочим	7	2
269	в порядке	2	2
270	как не	2	2
271	жизни в	3	2
272	себе не	3	2
273	и со	3	2
274	и наиболее	2	2
275	не означает	2	2
276	отношении к	15	2
277	чем больше	2	2
278	можно считать	3	2
279	этот вопрос	2	2
280	ее в	3	2
281	частности в	2	2
282	не будет	3	2
283	в смысле	9	2
284	поскольку он	2	2
285	в аттику	3	2
286	этом смысле	3	2
287	в случае	2	2
288	в стороне	3	2
289	говорит о	3	2
290	бы ни	3	2
291	и только	3	2
