N	2gram	Ircho_Kome	Marksizm
1	точки зрения	8	69
2	может быть	14	64
3	и в	37	63
4	и не	28	55
5	как бы	7	53
6	не может	9	47
7	с точки	6	46
8	и его	10	41
9	в этом	18	39
10	таким образом	16	38
11	как мы	6	32
12	в пределах	3	31
13	не только	13	29
14	в нем	8	28
15	то же	14	28
16	но и	18	27
17	самом деле	13	25
18	связи с	5	25
19	прежде всего	7	24
20	как и	10	24
21	в самом	17	24
22	так и	4	23
23	только в	3	23
24	в том	24	22
25	то что	5	22
26	а не	5	22
27	при этом	11	20
28	если мы	2	20
29	том что	22	19
30	не в	7	19
31	в его	12	19
32	если бы	18	19
33	но в	7	18
34	в ее	3	18
35	и для	7	18
36	вовсе не	6	18
37	все же	9	17
38	в сущности	3	17
39	в то	14	16
40	по отношению	6	16
41	и как	3	16
42	ни было	3	16
43	что он	15	15
44	в связи	4	15
45	во всех	4	15
46	отношению к	4	15
47	отнюдь не	5	15
48	же время	12	15
49	с помощью	4	15
50	хотя бы	5	14
51	в смысле	2	14
52	ничего не	6	13
53	так же	8	13
54	мы не	6	13
55	того чтобы	9	13
56	было бы	7	13
57	в своей	6	13
58	не является	5	13
59	и здесь	11	13
60	то ни	4	13
61	что в	11	13
62	выражение в	3	12
63	в результате	2	12
64	а в	12	12
65	того же	9	12
66	в основе	3	12
67	бы то	3	12
68	в высшей	2	12
69	для того	9	12
70	высшей степени	2	12
71	он не	11	12
72	между тем	6	12
73	друг друга	7	11
74	как в	4	11
75	и все	6	11
76	к нему	8	11
77	и на	6	11
78	в ней	7	11
79	сих пор	12	11
80	не столько	3	11
81	и от	3	11
82	так как	16	11
83	еще не	10	11
84	и что	8	11
85	до сих	12	11
86	никогда не	5	10
87	его в	9	10
88	и потому	2	10
89	в каждом	3	10
90	отличие от	5	10
91	самого начала	5	10
92	с самого	5	10
93	здесь в	2	10
94	во всяком	3	10
95	с его	6	10
96	сказать что	4	10
97	к этому	11	10
98	в своем	9	10
99	совершенно не	2	10
100	в отличие	3	10
101	с другой	5	10
102	конечно не	4	10
103	в таком	2	10
104	в себе	4	9
105	а как	2	9
106	это не	3	9
107	одной из	4	9
108	и это	4	9
109	к тому	11	9
110	в истории	2	9
111	и эта	2	9
112	не имеет	6	9
113	ни в	14	9
114	же самое	3	9
115	в отношении	4	8
116	и ее	3	8
117	не как	2	8
118	в их	5	8
119	мы знаем	2	8
120	с этим	5	8
121	тому что	5	8
122	что не	5	8
123	не будет	2	8
124	что и	12	8
125	другой стороны	2	8
126	за пределы	3	8
127	и даже	6	8
128	мы можем	7	8
129	на то	3	8
130	в свою	12	8
131	и с	5	8
132	столь же	5	8
133	не было	6	8
134	к другому	2	8
135	у него	10	8
136	чем же	2	8
137	ясно что	12	8
138	до конца	4	7
139	от него	2	7
140	свою очередь	10	7
141	бы он	3	7
142	могут быть	3	7
143	в качестве	4	7
144	в этой	7	7
145	конечно в	2	7
146	в начале	5	7
147	бы в	5	7
148	в этих	2	7
149	следует что	3	7
150	далеко не	3	7
151	о том	21	7
152	в котором	6	7
153	той же	2	7
154	как раз	9	7
155	как ее	2	6
156	вопрос о	2	6
157	для понимания	3	6
158	в другом	2	6
159	от своего	2	6
160	он и	5	6
161	одной стороны	4	6
162	что же	2	6
163	в какой	4	6
164	все это	7	6
165	должна быть	2	6
166	тот же	11	6
167	с другими	2	6
168	из этих	2	6
169	же в	3	6
170	с одной	5	6
171	между ними	4	6
172	этот вопрос	2	6
173	всяком случае	3	6
174	в той	2	6
175	тем же	3	6
176	этом отношении	2	5
177	как же	2	5
178	о чем	11	5
179	в конце	14	5
180	от того	2	5
181	и у	4	5
182	то мы	2	5
183	в виду	3	5
184	и тем	4	5
185	и вот	3	5
186	не менее	9	5
187	внутренний мир	2	5
188	был бы	4	5
189	в первом	2	5
190	в двух	7	5
191	этом случае	2	5
192	хотя и	6	5
193	да и	3	5
194	себя в	3	5
195	все время	3	5
196	тем более	9	5
197	она не	3	5
198	но не	9	5
199	еще более	4	5
200	в одном	3	5
201	вместе с	16	5
202	не могут	2	4
203	нуждается в	2	4
204	в одной	2	4
205	как он	5	4
206	в тех	4	4
207	что здесь	2	4
208	едва ли	16	4
209	в области	3	4
210	к своему	4	4
211	так что	7	4
212	и к	4	4
213	этой связи	3	4
214	одного из	4	4
215	и он	5	4
216	в них	6	4
217	между двумя	2	4
218	и до	2	4
219	он был	6	4
220	войти в	2	4
221	что они	3	4
222	нет и	4	4
223	к его	4	4
224	но при	2	4
225	независимо от	4	4
226	стороны и	4	4
227	нет ничего	4	4
228	в которой	6	4
229	что она	10	4
230	и тот	6	4
231	целый ряд	5	4
232	только что	11	4
233	одним из	2	4
234	же и	2	4
235	со всеми	2	4
236	не знает	7	4
237	она и	2	4
238	но все	5	4
239	в устах	2	4
240	из них	11	4
241	как она	2	4
242	уже в	3	4
243	несмотря на	7	4
244	перед ним	4	4
245	в других	4	4
246	от нее	5	4
247	из этого	2	4
248	и особенно	2	4
249	если же	2	4
250	и речи	4	4
251	не дает	5	4
252	тем что	12	4
253	даже в	3	3
254	не о	3	3
255	само собой	5	3
256	к себе	9	3
257	в достаточной	3	3
258	по своей	2	3
259	но если	3	3
260	как к	3	3
261	должен быть	2	3
262	роль в	3	3
263	на пути	2	3
264	конце концов	3	3
265	в целом	4	3
266	главным образом	2	3
267	или менее	2	3
268	в руках	3	3
269	с тем	6	3
270	не так	4	3
271	бы на	2	3
272	как это	5	3
273	общего с	2	3
274	в ту	2	3
275	они не	2	3
276	более или	2	3
277	все его	2	3
278	потому что	19	3
279	том числе	2	3
280	во втором	2	3
281	ответ на	7	3
282	между собой	5	3
283	на них	3	3
284	себя от	2	3
285	мы видим	2	3
286	речи о	4	3
287	и по	3	3
288	обстоит дело	3	3
289	не на	3	3
290	все остальные	2	3
291	числе и	2	3
292	там и	3	3
293	здесь не	2	3
294	можно было	3	3
295	тем не	3	3
296	друг с	3	3
297	выходят за	2	3
298	человека в	4	3
299	должен был	6	3
300	отрывок из	2	3
301	не приходится	5	3
302	его и	3	3
303	и о	3	3
304	не с	2	3
305	на этот	6	3
306	в дальнейшем	5	3
307	прежде чем	4	3
308	с другом	3	3
309	со стороны	16	3
310	в своих	4	3
311	когда он	5	3
312	или иначе	3	3
313	в другой	5	3
314	в которых	7	3
315	в диалоге	2	3
316	а по	5	3
317	приводит к	4	3
318	из которых	7	3
319	здесь нет	4	3
320	если он	3	3
321	в объяснении	2	3
322	что эта	2	3
323	говорить о	6	3
324	и есть	3	3
325	не следует	2	3
326	не найдем	2	3
327	один и	3	3
328	с ним	10	3
329	этих двух	2	3
330	того как	5	3
331	из всех	3	2
332	идет о	3	2
333	или к	2	2
334	остается в	3	2
335	его на	5	2
336	образом в	2	2
337	ни одной	2	2
338	после этого	2	2
339	такая же	2	2
340	и поэтому	5	2
341	должно было	3	2
342	ли не	6	2
343	ему и	3	2
344	того в	3	2
345	не делает	2	2
346	не без	2	2
347	от себя	2	2
348	не остается	3	2
349	в частности	4	2
350	тем как	2	2
351	была бы	2	2
352	а с	2	2
353	от них	2	2
354	к ним	5	2
355	не находит	2	2
356	же не	3	2
357	к этой	2	2
358	так или	3	2
359	тех пор	5	2
360	в лучшем	2	2
361	к своим	2	2
362	пока не	2	2
363	не могла	3	2
364	которую он	3	2
365	на сцене	7	2
366	на его	5	2
367	мы понимаем	3	2
368	его не	3	2
369	что с	4	2
370	и во	3	2
371	себя и	2	2
372	чувствует себя	3	2
373	которой мы	2	2
374	никто не	2	2
375	известной степени	2	2
376	как из	3	2
377	например в	3	2
378	на которые	3	2
379	в эпоху	2	2
380	является конечно	2	2
381	в первой	3	2
382	ее из	2	2
383	бы к	2	2
384	даже не	5	2
385	также в	2	2
386	его за	3	2
387	до тех	5	2
388	было в	2	2
389	сам же	2	2
390	не он	3	2
391	во второй	2	2
392	бы не	3	2
393	это делает	2	2
394	как о	3	2
395	с этой	5	2
396	во время	8	2
397	в чем	7	2
398	не по	7	2
399	что его	10	2
400	начнем с	2	2
401	на него	6	2
402	дело с	4	2
403	в г	3	2
404	чуть ли	2	2
405	его жизни	2	2
406	достаточной степени	3	2
407	во всем	2	2
408	за пределами	3	2
409	их в	3	2
410	г в	2	2
411	к одной	2	2
412	и если	3	2
413	найти в	2	2
414	времени не	2	2
415	что мы	4	2
416	разумеется что	3	2
417	не совсем	3	2
418	нет ни	2	2
419	по его	2	2
420	нового времени	5	2
421	друг другу	3	2
422	себе отчет	2	2
423	тому же	11	2
424	отношения к	2	2
425	впрочем и	2	2
426	к лицу	2	2
427	но он	3	2
