N	2gram	Bakhtin_Fr	Otkroven
1	у него	4	22
2	и в	67	19
3	но и	23	13
4	и не	23	13
5	в этом	27	12
6	не только	23	11
7	не в	8	11
8	а не	6	11
9	может быть	4	11
10	и все	18	10
11	в нем	20	10
12	никогда не	6	9
13	в самой	8	9
14	потому что	8	9
15	не было	3	9
16	прежде всего	19	9
17	и он	4	8
18	он был	8	8
19	ни с	2	7
20	лишь в	3	7
21	в его	17	7
22	до конца	2	7
23	от него	2	7
24	он не	9	7
25	но он	5	7
26	как и	19	6
27	все это	15	6
28	для него	4	5
29	а в	4	5
30	в том	16	5
31	в самом	7	5
32	то что	9	5
33	в этой	13	5
34	нужно искать	2	5
35	и его	19	4
36	что в	14	4
37	того чтобы	9	4
38	и мысли	2	4
39	все эти	12	4
40	на земле	2	4
41	не может	9	4
42	что не	4	4
43	с его	11	4
44	в себе	3	3
45	и от	6	3
46	о том	8	3
47	это не	5	3
48	к нему	5	3
49	не могут	3	3
50	что он	7	3
51	о природе	2	3
52	и вот	4	3
53	было бы	5	3
54	для того	8	3
55	еще не	5	3
56	и есть	5	3
57	все что	3	3
58	когда он	2	3
59	и ее	2	3
60	чем на	2	3
61	как бы	18	3
62	хотя бы	2	3
63	это было	4	3
64	с ним	6	3
65	мысли и	6	3
66	того что	4	3
67	что человек	2	3
68	как к	2	2
69	одно из	2	2
70	и то	2	2
71	сказать что	12	2
72	и на	12	2
73	этом он	2	2
74	с тем	3	2
75	и для	4	2
76	в уста	2	2
77	и там	4	2
78	что все	4	2
79	не имеет	4	2
80	ничего не	5	2
81	и с	18	2
82	что и	8	2
83	и ни	3	2
84	в ее	2	2
85	в других	2	2
86	в своем	13	2
87	и этим	2	2
88	тем что	3	2
89	но в	20	2
90	том что	13	2
91	за все	2	2
92	все же	7	2
93	него не	2	2
94	жизни в	3	2
95	в своей	6	2
96	он в	4	2
97	ведь это	3	2
98	так как	16	2
99	сложнее и	2	2
100	что у	2	2
101	свобода и	3	2
102	что они	3	2
103	в истории	2	2
104	своей жизни	2	2
105	не все	2	2
106	и о	8	2
107	с которой	2	2
108	свободы и	2	2
109	к этому	4	2
110	и к	7	2
111	так и	14	2
112	которую он	3	2
113	к ней	2	2
114	хотя и	6	2
115	его не	5	2
116	момент в	2	2
117	в другом	4	2
118	в этот	3	2
119	его в	10	2
