N	2gram	Berdyaev_V	EvropaiE
1	и в	16	37
2	что в	3	21
3	не только	2	18
4	хотя бы	3	15
5	но в	3	14
6	но и	5	14
7	и не	20	14
8	в этом	4	12
9	в том	3	11
10	так и	4	10
11	прежде всего	2	9
12	только в	2	9
13	между тем	2	8
14	в своей	3	8
15	к тому	3	8
16	как и	4	7
17	так как	9	7
18	того что	5	7
19	том что	2	6
20	вслед за	2	6
21	во всех	3	6
22	того чтобы	2	6
23	то что	9	6
24	как бы	5	6
25	но не	2	5
26	от этого	3	5
27	и потому	7	5
28	не в	3	5
29	не имеет	3	4
30	мы не	2	4
31	в ней	4	4
32	для нас	2	4
33	мира в	2	4
34	никогда не	3	3
35	с тем	2	3
36	и для	3	3
37	можно было	2	3
38	бы и	3	3
39	не будет	2	3
40	в них	3	3
41	на себя	5	3
42	что и	3	3
43	и мы	3	3
44	тем что	2	3
45	потому что	4	3
46	в прошлом	2	3
47	ее в	2	3
48	во всяком	2	3
49	в мире	5	2
50	в его	4	2
51	не есть	6	2
52	и то	2	2
53	не могут	2	2
54	а в	2	2
55	в котором	4	2
56	могут быть	2	2
57	что все	4	2
58	для них	2	2
59	в этих	3	2
60	жизни и	3	2
61	и теперь	2	2
62	более чем	2	2
63	как не	3	2
64	а не	7	2
65	в существе	2	2
66	и что	3	2
67	и во	2	2
68	и все	4	2
69	в истории	8	2
70	не к	2	2
71	всего в	2	2
72	хотя и	5	2
73	должна быть	3	2
