N	2gram	Losev_Prob	Sovremen
1	не может	18	17
2	точки зрения	5	12
3	может быть	29	12
4	таким образом	9	11
5	мы не	6	9
6	не можем	2	7
7	и в	64	7
8	в этом	30	7
9	и не	63	6
10	ничего не	20	6
11	как и	7	6
12	в результате	6	6
13	каждый раз	3	6
14	мы можем	8	6
15	что же	18	5
16	с точки	3	5
17	все эти	15	5
18	и наконец	3	5
19	в условиях	2	5
20	прежде всего	17	5
21	нет и	5	4
22	вопрос о	4	4
23	зависимости от	2	4
24	это не	7	4
25	не только	37	4
26	в том	19	4
27	в зависимости	2	4
28	мы должны	5	4
29	как бы	18	4
30	их в	6	4
31	так как	16	4
32	же это	3	4
33	если мы	16	4
34	в дальнейшем	5	4
35	вместе с	4	4
36	а в	7	4
37	из них	3	4
38	для нас	11	3
39	этим мы	2	3
40	ведь это	4	3
41	когда мы	10	3
42	и потому	3	3
43	на этой	4	3
44	но в	19	3
45	с самого	3	3
46	при этом	8	3
47	но мы	3	3
48	не в	6	3
49	все же	7	3
50	мы получаем	3	3
51	он в	2	3
52	как он	4	3
53	было бы	16	3
54	в области	8	3
55	уже в	6	3
56	в себе	16	3
57	еще не	18	3
58	одна из	4	3
59	у нас	31	3
60	и все	9	3
61	все это	11	3
62	в нем	14	3
63	в наших	2	3
64	между собой	5	3
65	а не	21	3
66	в первом	2	3
67	и к	2	3
68	что она	8	3
69	в этой	14	3
70	при таком	2	3
71	то же	10	3
72	мы называем	2	3
73	отличается от	2	3
74	самого начала	2	3
75	отнюдь не	15	3
76	в конце	13	3
77	в системе	3	3
78	ясно что	7	3
79	может иметь	3	2
80	но все	5	2
81	на его	2	2
82	на этот	3	2
83	о значении	4	2
84	и по	3	2
85	не знаем	3	2
86	всего только	2	2
87	же самое	9	2
88	всяком случае	11	2
89	что все	9	2
90	конечно в	2	2
91	значение в	4	2
92	которой он	4	2
93	быть и	5	2
94	роль в	2	2
95	не менее	26	2
96	той же	2	2
97	дает нам	2	2
98	не могут	6	2
99	мы видим	2	2
100	в его	12	2
101	он должен	2	2
102	с этим	7	2
103	и пр	4	2
104	говорить об	2	2
105	и что	21	2
106	то и	7	2
107	во всяком	18	2
108	в и	2	2
109	и во	4	2
110	что такое	23	2
111	в науке	4	2
112	такого рода	20	2
113	что при	2	2
114	из этих	5	2
115	тот или	4	2
116	в самом	10	2
117	и есть	7	2
118	в виде	20	2
119	знаем что	2	2
120	что в	21	2
121	в настоящее	17	2
122	совершенно не	7	2
123	ни одна	2	2
124	в таком	18	2
125	в которой	2	2
126	самом деле	10	2
127	со всеми	2	2
128	уже не	9	2
129	то ни	3	2
130	если же	4	2
131	в нашем	3	2
132	не будем	5	2
133	говорим о	3	2
134	могут быть	2	2
135	только один	3	2
136	же мы	4	2
137	как угодно	3	2
138	это за	2	2
139	настоящее время	17	2
140	тот же	4	2
141	с одной	4	2
142	как мы	10	2
143	говорить о	14	2
144	что это	4	2
145	и будет	2	2
146	этих двух	2	2
147	или иной	8	2
148	тем не	25	2
149	из которых	2	2
150	и даже	19	2
151	тем же	2	2
