N	3gram	Propp_Morf	KulturaY
1	и т д	60	42
2	для того чтобы	3	38
3	с точки зрения	6	36
4	в том что	4	33
5	можно было бы	2	25
6	во всяком случае	2	19
7	тем не менее	6	19
8	с другой стороны	5	17
9	по отношению к	7	13
10	в связи с	9	12
11	в этом отношении	2	11
12	не может быть	9	11
13	о том что	3	10
14	на самом деле	4	8
15	в этом случае	10	8
16	в том случае	3	7
17	с одной стороны	2	7
18	и тем не	2	7
19	но все же	4	5
20	более или менее	2	5
21	дело не в	2	5
22	в данном случае	2	5
23	и пр и	3	5
24	точно так же	2	4
25	в первом случае	3	4
26	к тому что	4	4
27	на то что	3	4
28	состоит в том	3	4
29	к вопросу о	2	4
30	в иных случаях	2	4
31	в тех случаях	2	3
32	в таких случаях	2	3
33	в настоящее время	3	3
34	не могут быть	4	3
35	в то время	3	3
36	тех случаях когда	2	3
37	о том как	2	3
38	том случае если	2	3
39	мы увидим что	2	3
40	мы приходим к	3	3
41	прежде всего следует	3	3
42	бы то ни	3	2
43	мы имеем в	2	2
44	не что иное	2	2
45	в большинстве случаев	3	2
46	может быть и	2	2
47	хотя и не	2	2
48	в собственном смысле	3	2
49	собственном смысле слова	3	2
50	это не значит	2	2
51	что иное как	2	2
52	которые хотя и	2	2
53	и в других	2	2
54	но если это	2	2
55	это еще не	2	2
56	в тех же	4	2
57	здесь прежде всего	3	2
58	а вовсе не	2	2
59	в научной литературе	2	2
