N	2gram	Propp_Isto	Tragedij
1	и в	43	18
2	в этом	25	9
3	не только	28	8
4	и не	16	7
5	он сам	2	7
6	и на	7	7
7	как бы	5	7
8	и с	10	7
9	может быть	22	7
10	что он	17	6
11	но в	15	6
12	и его	10	6
13	в образе	2	6
14	у него	4	6
15	что это	4	5
16	к жизни	2	5
17	все же	13	5
18	это не	10	5
19	то же	11	5
20	как и	9	5
21	в дальнейшем	8	5
22	так и	6	5
23	не может	8	5
24	а я	3	5
25	в то	2	5
26	что в	29	4
27	еще не	15	4
28	в целом	4	4
29	но и	24	4
30	прежде всего	3	4
31	об этом	8	4
32	том что	12	4
33	в этой	7	4
34	и что	6	4
35	так же	16	4
36	и все	4	4
37	все это	4	4
38	в нем	11	4
39	что я	2	4
40	то что	20	4
41	но это	5	4
42	я не	3	4
43	и даже	4	4
44	в себе	2	4
45	один из	7	3
46	что за	3	3
47	и как	6	3
48	к нему	12	3
49	в своем	2	3
50	при этом	4	3
51	в его	7	3
52	все эти	8	3
53	и он	2	3
54	с ее	2	3
55	как будто	2	3
56	никто не	2	3
57	как в	6	3
58	как это	5	3
59	своего отца	2	3
60	никогда не	9	2
61	и то	4	2
62	но все	5	2
63	данном случае	6	2
64	с тем	3	2
65	одна из	2	2
66	точно так	8	2
67	друг друга	6	2
68	тем что	8	2
69	перед нами	4	2
70	вопрос о	4	2
71	в одном	9	2
72	его в	7	2
73	в русском	3	2
74	не имеет	3	2
75	в виде	2	2
76	ничего не	12	2
77	то и	7	2
78	я тебе	6	2
79	в данном	7	2
80	но эта	2	2
81	к тому	9	2
82	а как	2	2
83	о том	4	2
84	о его	2	2
85	что и	17	2
86	ни в	2	2
87	тут же	4	2
88	не в	9	2
89	и здесь	8	2
90	это уже	3	2
91	потому что	8	2
92	ребенка в	3	2
93	одном из	3	2
94	что этот	4	2
95	не просто	4	2
96	в частности	6	2
97	как у	2	2
98	так что	8	2
99	он не	11	2
100	и ее	3	2
101	ничем не	2	2
102	под влиянием	2	2
103	и за	3	2
104	уже не	11	2
105	что она	8	2
106	и это	5	2
107	говорит что	4	2
108	но они	2	2
109	этим объясняется	4	2
110	в том	13	2
111	в глаза	2	2
112	дома и	4	2
113	не случайно	2	2
114	я буду	2	2
115	не мог	2	2
116	он и	4	2
117	отношение к	4	2
