N	2gram	Propp_Russ	Otkroven
1	у него	2	22
2	и в	59	19
3	но и	20	13
4	и не	6	13
5	в этом	18	12
6	не только	28	11
7	не в	2	11
8	а не	3	11
9	может быть	14	11
10	и все	4	10
11	в нем	3	10
12	вопрос о	4	10
13	потому что	15	9
14	не было	3	9
15	прежде всего	2	9
16	он был	2	8
17	в его	3	7
18	до конца	5	7
19	но он	3	7
20	как и	19	6
21	все это	12	6
22	а в	16	5
23	в россии	4	5
24	в том	33	5
25	то что	10	5
26	в этой	4	5
27	и его	2	4
28	что в	35	4
29	того чтобы	6	4
30	все эти	5	4
31	на земле	3	4
32	т е	41	4
33	не может	6	4
34	все в	2	4
35	и от	2	3
36	о том	14	3
37	это не	14	3
38	к нему	3	3
39	что он	2	3
40	было бы	3	3
41	для того	6	3
42	еще не	7	3
43	все что	2	3
44	в этих	3	3
45	в своих	3	3
46	когда он	3	3
47	и ее	3	3
48	только одно	2	3
49	как бы	18	3
50	могут быть	3	3
51	с ним	2	3
52	того что	6	3
53	одно из	6	2
54	и то	2	2
55	и на	14	2
56	с тем	14	2
57	уже в	2	2
58	и для	3	2
59	и там	2	2
60	что все	2	2
61	не имеет	9	2
62	ничего не	4	2
63	русского народа	3	2
64	и с	12	2
65	что и	8	2
66	ее в	7	2
67	и потому	3	2
68	в других	24	2
69	в своем	3	2
70	тем что	7	2
71	но в	5	2
72	том что	33	2
73	за все	2	2
74	что для	4	2
75	природы и	3	2
76	все же	7	2
77	так как	25	2
78	что у	3	2
79	должен был	3	2
80	что они	8	2
81	так что	4	2
82	не все	4	2
83	должно быть	2	2
84	и о	4	2
85	к этому	7	2
86	и к	3	2
87	так и	8	2
88	в которой	3	2
89	к ней	4	2
90	хотя и	3	2
91	и из	3	2
92	что есть	2	2
93	в этот	19	2
94	на западе	2	2
95	подойти к	2	2
96	их не	2	2
97	сразу же	2	2
98	чем в	4	2
99	его в	9	2
