N	3gram	Bakhtin_Pr	RusskieA
1	в том что	6	49
2	и т д	4	21
3	тем не менее	2	14
4	о том что	2	10
5	и в других	2	9
6	но это не	2	8
7	в данном случае	2	8
8	подобно тому как	3	8
9	в настоящее время	3	7
10	т е в	3	7
11	как мы увидим	3	7
12	о том же	2	7
13	не может быть	8	6
14	во всяком случае	4	4
15	в то время	2	4
16	можно было бы	3	4
17	как мы уже	2	4
18	в этих случаях	2	4
19	в отличие от	4	4
20	как можно больше	2	3
21	же как и	2	3
22	более или менее	4	3
23	по отношению к	12	3
24	может быть и	2	3
25	с точки зрения	21	3
26	до сих пор	9	3
27	все же не	3	3
28	на то что	2	3
29	на самом деле	4	2
30	можно сказать что	2	2
31	в этом отношении	3	2
32	в большинстве случаев	10	2
33	как и в	3	2
34	это не значит	3	2
35	не только в	2	2
36	друг с другом	3	2
37	и в этом	5	2
38	но и на	2	2
39	и т п	10	2
40	с другой стороны	6	2
41	но все же	3	2
