N	3gram	Losev_Dial	Problemy
1	то же время	8	26
2	в то же	7	26
3	с точки зрения	18	25
4	и т п	3	18
5	в этом смысле	4	16
6	на самом деле	3	15
7	не может быть	4	14
8	в конце концов	4	11
9	до сих пор	4	10
10	с самого начала	2	9
11	в самом деле	3	9
12	во всяком случае	3	9
13	с другой стороны	7	9
14	друг с другом	2	8
15	в том что	12	8
16	и в то	3	7
17	сама по себе	12	7
18	и в этом	4	7
19	и т д	28	7
20	по крайней мере	11	5
21	той или иной	4	5
22	сам по себе	8	5
23	к тому же	2	5
24	и в нем	3	5
25	в зависимости от	2	5
26	можно было бы	4	5
27	но все же	2	5
28	в той или	3	5
29	тем не менее	3	4
30	более или менее	5	4
31	друг к другу	2	4
32	может быть и	6	4
33	о том что	6	4
34	само по себе	7	4
35	сами по себе	4	4
36	в этом отношении	2	4
37	что в нем	4	4
38	и то же	8	3
39	в то время	2	3
40	того и другого	2	3
41	то что я	2	3
42	на то что	4	3
43	одно и то	8	3
44	т е в	3	3
45	то время как	2	3
46	потому что она	3	3
47	что он есть	2	3
48	это не значит	3	3
49	это вовсе не	2	3
50	можно сказать что	6	3
51	но потому что	2	2
52	то же самое	3	2
53	друг другу как	2	2
54	по себе и	3	2
55	никогда не может	2	2
56	одна и та	5	2
57	но это не	2	2
58	можем сказать что	3	2
59	только то что	6	2
60	и та же	5	2
61	что он не	2	2
62	но все это	2	2
63	как один из	2	2
64	не только в	2	2
65	к тому что	3	2
66	я не могу	2	2
67	в нем и	2	2
68	по себе но	2	2
69	ни в чем	2	2
70	как бы ни	2	2
71	внутреннего и внешнего	8	2
72	мы можем сказать	3	2
73	как будто бы	3	2
