N	3gram	Vinokur_Ku	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	2	7
3	с точки зрения	16	6
4	во всяком случае	8	6
5	для того чтобы	21	5
6	по крайней мере	11	5
7	до сих пор	5	5
8	а с другой	3	5
9	более или менее	3	5
10	но все же	3	4
11	о том что	6	4
12	с течением времени	2	3
13	в конце концов	3	3
14	так же как	3	3
15	точно так же	4	3
16	так или иначе	3	3
17	тем не менее	9	3
18	в том что	23	3
19	в связи с	4	3
20	можно сказать что	2	2
21	ничего общего с	2	2
22	на то что	3	2
23	то или иное	2	2
24	таким образом в	2	2
25	в то же	4	2
26	и потому что	4	2
27	то же время	4	2
28	этой точки зрения	4	2
29	с этой точки	3	2
30	в этом отношении	8	2
