N	2gram	Bakhtin_Pr	StatiiOP
1	и в	59	103
2	в том	17	89
3	том что	15	77
4	в этом	40	76
5	что в	14	74
6	не только	26	60
7	о том	5	47
8	но и	22	46
9	то что	21	44
10	что он	16	42
11	в его	44	42
12	и не	66	41
13	может быть	38	38
14	было бы	10	32
15	в этой	5	31
16	вовсе не	13	31
17	все это	12	29
18	тем что	5	29
19	таким образом	22	28
20	а в	9	27
21	а не	30	27
22	но в	7	26
23	так и	13	25
24	этом отношении	7	24
25	и его	21	24
26	все же	9	23
27	не в	10	23
28	так что	3	23
29	точки зрения	36	23
30	потому что	20	23
31	того что	4	22
32	в области	3	22
33	прежде всего	17	22
34	для того	3	22
35	у нас	2	22
36	в которой	6	22
37	как в	10	22
38	того чтобы	5	21
39	и пр	3	21
40	это не	13	20
41	до сих	3	20
42	в то	15	19
43	сих пор	3	19
44	в своей	17	19
45	только в	15	19
46	об этом	4	18
47	не может	31	18
48	с другой	3	18
49	в котором	6	18
50	он не	11	18
51	самом деле	9	17
52	в данном	3	17
53	как на	4	17
54	в самом	19	17
55	как бы	40	17
56	в русской	3	17
57	с этим	2	16
58	сказать что	9	16
59	в ней	8	16
60	можно было	5	16
61	если бы	12	16
62	в этих	5	16
63	в отношении	3	15
64	как и	21	15
65	для него	23	15
66	например в	5	15
67	по поводу	2	15
68	другой стороны	3	15
69	из этих	2	15
70	я не	7	15
71	и на	15	15
72	у него	9	15
73	как раз	9	15
74	была бы	5	14
75	между тем	5	14
76	то же	15	14
77	но все	8	14
78	с точки	21	14
79	и что	2	14
80	в своем	12	13
81	в конце	9	13
82	со стороны	6	13
83	а с	4	13
84	тому что	3	13
85	но это	7	13
86	в нем	38	13
87	во всяком	5	13
88	именно в	8	13
89	из них	8	13
90	всяком случае	3	13
91	в той	9	13
92	жизни и	21	13
93	вместе с	2	13
94	не менее	3	12
95	что они	3	12
96	так как	11	12
97	как например	2	12
98	в первой	3	12
99	хотя бы	5	12
100	что у	5	12
101	ни в	5	12
102	в своих	5	12
103	никогда не	19	11
104	вопрос о	4	11
105	и с	10	11
106	у шекспира	2	11
107	должна была	4	11
108	в них	5	11
109	все эти	12	11
110	и по	4	11
111	из его	4	11
112	это было	3	11
113	не было	5	11
114	на самом	5	10
115	в каком	2	10
116	так же	10	10
117	ответ на	2	10
118	в виду	2	10
119	а как	8	10
120	в частности	2	10
121	на вопрос	2	10
122	ничего не	8	10
123	не столько	3	10
124	в целом	8	10
125	что и	10	10
126	отметить что	2	10
127	в истории	3	10
128	в начале	3	10
129	во всех	8	10
130	кроме того	3	10
131	но не	13	10
132	же время	10	10
133	но он	3	10
134	в каждом	11	9
135	в чем	2	9
136	что же	5	9
137	несмотря на	7	9
138	место в	2	9
139	по этому	2	9
140	там где	12	9
141	можно сказать	3	9
142	мне кажется	2	9
143	в одном	14	9
144	не является	2	9
145	его жизни	2	9
146	и для	5	9
147	и к	5	9
148	для нас	3	9
149	что мы	2	9
150	и тем	2	9
151	и это	5	9
152	до конца	11	8
153	могут быть	5	8
154	отношение к	4	8
155	в их	5	8
156	той же	7	8
157	в какой	2	8
158	к этому	6	8
159	мы имеем	2	8
160	это в	3	8
161	что она	6	8
162	в результате	6	8
163	и даже	4	8
164	статьи в	2	8
165	но ведь	4	8
166	одним из	11	8
167	совершенно не	2	8
168	и о	5	8
169	заключается в	3	8
170	и более	2	8
171	не имеет	2	8
172	в которых	2	8
173	нужно сказать	2	8
174	подчеркнуть что	4	8
175	данном случае	3	7
176	это очень	4	7
177	уже в	9	7
178	конце концов	7	7
179	что все	5	7
180	точка зрения	14	7
181	говорит об	2	7
182	как это	2	7
183	тем более	2	7
184	в ее	4	7
185	с самого	3	7
186	не все	2	7
187	кажется что	4	7
188	с которыми	2	7
189	отличается от	3	7
190	лишь в	4	7
191	еще не	11	7
192	отношению к	17	7
193	на этот	2	7
194	что для	4	7
195	по себе	13	7
196	то время	3	7
197	но с	4	7
198	на почве	5	7
199	даже в	7	6
200	идет о	5	6
201	в себе	9	6
202	в одной	9	6
203	вот что	2	6
204	по отношению	17	6
205	одном из	3	6
206	ни одного	4	6
207	из которых	3	6
208	своего времени	3	6
209	его не	2	6
210	по существу	5	6
211	к нему	13	6
212	и все	4	6
213	по крайней	3	6
214	на его	7	6
215	и во	2	6
216	же как	5	6
217	с его	14	6
218	крайней мере	3	6
219	одно из	2	6
220	его как	6	6
221	мы не	3	6
222	и здесь	5	6
223	он писал	3	6
224	в особенности	2	6
225	отношения между	3	6
226	же и	2	6
227	что я	2	6
228	и сам	5	6
229	время как	2	6
230	в жизни	7	6
231	ни на	2	6
232	этот вопрос	3	6
233	этом смысле	12	6
234	в устах	2	6
235	говорить о	3	6
236	не о	3	5
237	его в	6	5
238	на себя	3	5
239	для себя	5	5
240	это и	10	5
