N	3gram	Propp_Isto	slovoVRo
1	не может быть	4	19
2	в большинстве случаев	2	11
3	с одной стороны	2	11
4	и т д	30	10
5	в этом случае	8	9
6	во всяком случае	2	8
7	с другой стороны	10	6
8	но все же	5	6
9	в том что	8	5
10	не только в	3	5
11	по отношению к	2	5
12	друг с другом	2	4
13	до сих пор	7	4
14	можно сказать что	2	4
15	в другом случае	3	3
16	как мы видели	7	3
17	как и в	2	3
18	в данном случае	6	3
19	в связи с	5	3
20	не только не	2	2
21	же как и	3	2
22	о том что	3	2
23	можно было бы	2	2
24	в средние века	2	2
25	в то время	2	2
26	но и в	2	2
27	в других случаях	2	2
28	то время как	2	2
29	между человеком и	2	2
30	тем не менее	6	2
31	можно утверждать что	2	2
