N	2gram	Tiupa_Hudo	NovoeSre
1	а не	13	17
2	и в	23	16
3	не может	9	16
4	нового времени	2	12
5	и не	16	11
6	что в	7	9
7	в том	20	8
8	он не	4	8
9	не будет	3	7
10	может быть	19	7
11	как и	3	7
12	в этом	12	7
13	никогда не	2	6
14	лишь в	7	6
15	ни в	5	6
16	не в	9	6
17	не знает	4	6
18	с его	6	6
19	не только	20	5
20	в жизни	3	5
21	должен быть	2	5
22	все это	2	5
23	в нем	6	5
24	с ее	6	5
25	и к	3	5
26	культуры в	3	5
27	xix века	2	5
28	по своему	3	4
29	в них	2	4
30	и для	3	4
31	прежде всего	5	4
32	не менее	5	4
33	и потому	2	4
34	то что	5	4
35	о том	2	4
36	это не	4	4
37	потому что	3	4
38	в мире	24	3
39	тому как	3	3
40	но и	14	3
41	к жизни	2	3
42	подобно тому	3	3
43	с другой	9	3
44	в ее	6	3
45	к тому	4	3
46	что такое	2	3
47	жизни в	2	3
48	в своей	7	3
49	еще не	4	3
50	человека и	2	3
51	как в	2	3
52	за пределы	2	3
53	сказать что	4	3
54	во всех	3	3
55	в основе	7	3
56	в себе	13	2
57	что она	2	2
58	к более	2	2
59	одна из	2	2
60	себя в	8	2
61	но не	13	2
62	и т.п	7	2
63	не могли	2	2
64	роль в	2	2
65	того чтобы	5	2
66	и это	2	2
67	а в	13	2
68	но в	10	2
69	том что	9	2
70	и на	3	2
71	есть в	3	2
72	и что	4	2
73	все эти	2	2
74	это и	2	2
75	времени в	2	2
76	мира и	2	2
77	у него	2	2
78	времени и	2	2
79	уже не	6	2
80	с их	2	2
81	как это	7	2
82	другой стороны	6	2
83	так же	2	2
84	так и	12	2
85	ни к	2	2
86	такого рода	12	2
87	могут быть	5	2
88	жизни как	4	2
89	одной стороны	3	2
90	но она	2	2
91	в то	8	2
92	который в	2	2
93	к содержанию	3	2
94	хотя и	4	2
95	этом смысле	3	2
96	с одной	3	2
97	духовной жизни	2	2
98	том и	2	2
99	место в	5	2
100	более не	2	2
101	я не	2	2
