N	2gram	Tiupa_Hudo	Mirosoze
1	и в	23	97
2	может быть	19	64
3	не только	20	63
4	в этом	12	55
5	но и	14	54
6	он не	4	53
7	а не	13	53
8	в нем	6	49
9	не может	9	49
10	у него	2	47
11	и не	16	39
12	никогда не	2	38
13	потому что	3	37
14	не в	9	34
15	для него	5	31
16	но он	3	30
17	прежде всего	5	29
18	как и	3	29
19	но в	10	27
20	в мире	24	27
21	человека и	2	26
22	и это	2	25
23	в своей	7	25
24	в своем	4	23
25	ведет к	2	23
26	что в	7	23
27	что он	5	22
28	в самом	7	21
29	в себе	13	20
30	отношение к	7	20
31	как бы	11	19
32	в его	11	18
33	и потому	2	17
34	того что	5	17
35	в том	20	16
36	том что	9	16
37	то что	5	16
38	и его	12	16
39	в этой	2	15
40	не знает	4	15
41	и на	3	13
42	это не	4	12
43	к нему	3	12
44	в них	2	12
45	все это	2	12
46	но не	13	12
47	в которой	3	11
48	только в	7	11
49	как в	2	11
50	и для	3	11
51	в русской	3	11
52	уже не	6	11
53	и к	3	11
54	так же	2	10
55	это и	2	10
56	один из	2	10
57	то же	12	10
58	человека к	3	10
59	в самой	2	10
60	xix века	2	9
61	а в	13	9
62	к тому	4	9
63	не будет	3	9
64	что и	2	9
65	я не	2	9
66	то есть	26	9
67	в свою	3	9
68	с ним	2	9
69	лишь в	7	9
70	в этих	4	8
71	мира и	2	8
72	того чтобы	5	8
73	в отношении	4	8
74	только и	2	8
75	с его	6	8
76	себя в	8	8
77	за пределы	2	8
78	для того	5	8
79	отношении к	3	8
80	о том	2	8
81	должен быть	2	7
82	мог бы	3	7
83	точки зрения	11	7
84	себя и	3	7
85	что она	2	7
86	на этом	2	7
87	жизни в	2	7
88	в жизни	3	7
89	в нашем	2	7
90	отношения к	4	7
91	чтобы не	2	6
92	его в	4	6
93	личности и	3	6
94	не как	2	6
95	в ее	6	6
96	быть и	2	6
97	если бы	3	6
98	бы не	2	6
99	с этой	3	6
100	по своей	7	6
101	и более	2	6
102	оно не	2	5
103	в то	8	5
104	к которому	4	5
105	в их	5	5
106	так и	12	5
107	тот кто	2	5
108	сказать что	4	5
109	в основе	7	5
110	одно из	2	5
111	говорит что	2	5
112	по преимуществу	3	5
113	с самим	2	5
114	отличается от	2	5
115	и как	4	5
116	еще не	4	5
117	личности в	4	5
118	по отношению	10	4
119	как к	5	4
120	он должен	3	4
121	не всегда	2	4
122	в момент	3	4
123	духовной жизни	2	4
124	есть в	3	4
125	к другому	2	4
126	а с	2	4
127	по своему	3	4
128	в чем	2	4
129	а для	2	4
130	тому что	2	4
131	место в	5	4
132	человеческой жизни	3	4
133	могут быть	5	4
134	все эти	2	4
135	никто не	3	4
136	не все	2	4
137	не от	2	4
138	и по	2	4
139	на деле	3	4
140	ни в	5	4
141	отношению к	10	4
142	не случайно	3	4
143	но на	2	4
144	культуры в	3	4
145	в той	3	4
146	и что	4	4
147	к его	3	3
148	о чем	3	3
149	для себя	4	3
150	на смену	4	3
151	одним из	2	3
152	и тем	4	3
153	но она	2	3
154	мире и	2	3
155	между тем	4	3
156	в виду	5	3
157	принадлежит к	3	3
158	хотя и	4	3
159	и то	4	3
160	не принадлежит	2	3
161	значительной степени	2	3
162	в противоположность	3	3
163	в душе	9	3
164	об этом	2	3
165	в значительной	2	3
166	в иной	3	3
167	я и	7	3
168	превращается в	2	3
169	от всех	2	3
170	в пределах	3	3
171	во всех	3	3
172	не с	2	3
173	на почве	4	3
174	не вполне	2	3
175	о себе	2	3
176	входит в	4	3
177	приводит к	6	3
178	жизни а	2	3
179	в одном	3	3
180	всякий раз	2	3
181	со своей	4	3
182	тому как	3	3
183	роль в	2	3
184	в каком	2	2
185	или иной	9	2
186	в повести	2	2
187	способность к	2	2
188	от своего	2	2
189	такого рода	12	2
190	к своему	2	2
191	самом деле	2	2
192	своей жизни	2	2
193	была бы	3	2
194	к собственной	2	2
195	другого в	3	2
196	не менее	5	2
197	мира с	2	2
198	того же	3	2
199	тем самым	5	2
200	и сам	3	2
201	во мне	2	2
202	между ними	5	2
203	о жизни	2	2
204	не столько	7	2
205	к жизни	2	2
206	своей природе	2	2
207	связи с	3	2
208	в основании	2	2
209	и ее	3	2
210	делает его	2	2
211	во всей	3	2
212	столь же	2	2
213	этого слова	2	2
214	их в	3	2
215	между двумя	2	2
216	направленной на	3	2
217	самим собою	2	2
218	не могли	2	2
219	то в	2	2
220	в последней	2	2
221	личности к	2	2
222	с их	2	2
223	другим и	2	2
224	в глаза	2	2
225	которая не	2	2
226	мира в	2	2
227	подобно тому	3	2
228	сознания в	4	2
229	жизни то	2	2
230	ее в	2	2
231	и о	4	2
232	ни к	2	2
233	в какой	2	2
234	это отношение	3	2
235	с человеком	2	2
236	человека с	3	2
237	с другой	9	2
238	анны карениной	2	2
239	что такое	2	2
240	во втором	4	2
241	жизни как	4	2
242	он и	2	2
243	по себе	2	2
244	и который	2	2
245	на свою	2	2
