N	2gram	Voloshinov	Psycholo
1	то что	9	193
2	и в	42	190
3	в том	3	163
4	потому что	7	114
5	том что	3	113
6	может быть	13	107
7	таким образом	8	102
8	в этом	10	100
9	то есть	5	97
10	все время	5	86
11	в самом	5	82
12	как бы	30	80
13	для того	9	78
14	того чтобы	7	78
15	что он	2	76
16	не только	28	75
17	и не	14	73
18	самом деле	5	70
19	точки зрения	11	69
20	не может	13	68
21	если мы	4	66
22	так как	8	63
23	так же	4	63
24	было бы	7	56
25	если бы	4	55
26	то же	16	54
27	о том	4	54
28	при этом	9	52
29	как и	12	51
30	что и	3	50
31	а не	7	50
32	что это	4	49
33	только в	7	46
34	сказать что	3	46
35	к тому	4	45
36	не в	6	45
37	в этой	6	43
38	ясно что	2	43
39	никогда не	7	42
40	и все	4	42
41	вместе с	5	41
42	как это	5	40
43	но и	16	40
44	того что	4	39
45	же самое	5	38
46	и это	8	37
47	мы видим	4	37
48	и как	10	36
49	с тем	8	35
50	вовсе не	2	34
51	и его	7	34
52	все же	9	33
53	тому что	5	33
54	все это	4	32
55	в себе	10	32
56	в ней	8	31
57	мы не	9	31
58	в его	6	31
59	он не	2	31
60	для нас	3	31
61	мы увидим	5	30
62	как в	3	30
63	и для	3	29
64	с точки	5	29
65	в нас	2	29
66	в нем	6	29
67	что мы	11	28
68	и когда	2	28
69	увидим что	2	28
70	и то	5	28
71	мы можем	7	28
72	в основе	3	27
73	в своих	2	27
74	а в	5	27
75	все то	2	27
76	и на	7	27
77	совершенно не	3	26
78	и здесь	3	25
79	жизни и	3	25
80	до конца	2	24
81	в целом	4	24
82	тем что	2	24
83	сих пор	2	23
84	для этого	2	23
85	целый ряд	3	23
86	что оно	3	23
87	один из	4	23
88	и даже	3	22
89	что у	3	22
90	когда мы	6	22
91	с этим	2	22
92	между тем	3	22
93	из них	3	22
94	в своей	2	21
95	как мы	10	21
96	и вот	3	21
97	в конце	6	21
98	в котором	3	21
99	в которых	2	21
100	той же	7	21
101	все эти	3	20
102	в то	9	20
103	тот же	2	20
104	это не	3	20
105	несмотря на	3	20
106	мы имеем	2	20
107	мы должны	10	19
108	в ее	3	19
109	он говорит	2	19
110	в какой	2	19
111	в одном	4	19
112	мы уже	11	19
113	в каком	2	18
114	на самом	3	18
115	перед нами	3	18
116	видим что	2	18
117	но в	5	18
