N	2gram	Voloshinov	TeoriaLi
1	не только	7	24
2	и в	16	24
3	в частности	2	23
4	может быть	17	22
5	в том	3	20
6	при этом	6	20
7	и не	4	17
8	а в	3	15
9	но и	4	14
10	так и	4	14
11	в этом	9	12
12	то же	2	12
13	но в	4	12
14	сводится к	2	12
15	в его	4	12
16	том что	3	11
17	точки зрения	8	11
18	и его	8	11
19	как это	3	10
20	что в	3	10
21	в душе	2	9
22	только в	4	9
23	не может	8	8
24	как бы	5	8
25	в своей	2	8
26	отношение к	5	7
27	в области	3	7
28	в самом	2	7
29	и т.п	2	7
30	в нем	4	7
31	конечном счете	2	6
32	в конечном	3	6
33	не менее	2	6
34	еще не	5	6
35	то что	3	6
36	как и	2	6
37	с другими	3	6
38	между ними	3	6
39	в основе	3	6
40	с его	7	6
41	ни в	5	5
42	и о	2	5
43	в пределах	2	5
44	для него	6	5
45	могут быть	3	5
46	он не	2	5
47	можно сказать	4	5
48	художественного творчества	4	5
49	никогда не	2	4
50	сказать что	7	4
51	его в	4	4
52	и ее	4	4
53	в этих	3	4
54	что он	2	4
55	по своему	2	4
56	того же	2	4
57	мира и	3	4
58	говорить о	2	4
59	не на	2	4
60	с ее	4	4
61	отношения к	3	4
62	не знает	2	4
63	и притом	3	3
64	и потому	3	3
65	во всех	3	3
66	из этих	2	3
67	и для	2	3
68	и как	3	3
69	с этой	2	3
70	на две	3	3
71	и вот	3	3
72	между собой	2	3
73	и др	3	3
74	в итоге	2	3
75	есть в	2	3
76	в жизни	2	3
77	их в	3	3
78	что можно	2	3
79	прежде всего	9	3
80	и к	6	3
81	этом смысле	3	3
82	отнюдь не	4	3
83	не будет	2	3
84	с точки	6	3
85	а на	2	3
86	все эти	5	3
87	и по	2	3
88	таким образом	9	3
89	во всей	2	3
90	в этой	4	3
91	в одном	3	3
92	в каком	2	2
93	только и	2	2
94	не могут	2	2
95	для всех	4	2
96	для меня	2	2
97	так же	2	2
98	но как	2	2
99	при всей	2	2
100	с их	3	2
101	за пределы	2	2
102	и даже	4	2
103	я и	6	2
104	это делает	2	2
105	ни было	2	2
106	только на	3	2
107	своей жизни	2	2
108	у него	2	2
109	самом деле	6	2
110	сознания при	2	2
111	в чем	5	2
112	вместе с	3	2
113	в одно	2	2
114	и это	6	2
115	ее в	2	2
116	о том	2	2
117	что такое	5	2
118	если мы	2	2
119	оно не	2	2
120	и на	4	2
121	из тех	2	2
122	на этом	3	2
123	один из	2	2
124	в них	2	2
125	что и	2	2
126	с ними	4	2
127	себя и	2	2
128	все это	4	2
129	в большинстве	3	2
130	на основе	2	2
