N	3gram	Tiupa_Hudo	Psycholo
1	в том что	15	78
2	для того чтобы	2	70
3	на то что	2	55
4	в самом деле	5	51
5	и т п	10	37
6	о том что	14	34
7	то же самое	3	31
8	с точки зрения	5	29
9	с одной стороны	4	28
10	до сих пор	3	23
11	не может быть	5	23
12	и в самом	4	22
13	и т д	5	22
14	к тому что	8	20
15	не только не	3	16
16	так же как	2	14
17	в этом отношении	4	14
18	можно было бы	5	13
19	и в этом	3	13
20	в конечном счете	4	11
21	подобно тому как	4	11
22	только в том	4	10
23	не в том	2	10
24	в том случае	2	9
25	что он не	3	9
26	в данном случае	3	9
27	речь идет о	2	8
28	том случае если	2	7
29	состоит в том	3	7
30	как и в	5	7
31	на то чтобы	2	7
32	тем не менее	6	6
33	того или иного	4	6
34	не только в	4	6
35	в противоречие с	2	6
36	что у него	2	6
37	как бы в	2	5
38	как раз в	2	5
39	же как и	2	5
40	о том как	4	5
41	вместо того чтобы	2	5
42	а между тем	3	4
43	несет в себе	4	4
44	как будто бы	3	4
45	том что в	4	4
46	только потому что	2	4
47	же самое что	2	4
48	то и другое	2	3
49	в это время	2	3
50	в то же	11	3
51	приводит к тому	2	3
52	по отношению к	15	3
53	то же время	11	3
54	тому что он	4	3
55	между тем в	2	3
56	характеры действующих лиц	2	3
57	друг от друга	2	3
58	то что было	2	2
59	в первом случае	2	2
60	но при этом	3	2
61	то что я	2	2
62	все же не	2	2
63	я не понимаю	2	2
64	каждого из нас	3	2
65	не согласиться с	2	2
66	в связи с	3	2
67	в первой главе	3	2
68	в такой же	2	2
69	мы уже знаем	2	2
70	и это не	2	2
71	самом деле в	2	2
72	жизни и смерти	4	2
73	такой же мере	2	2
74	так или иначе	3	2
75	что она не	2	2
