N	3gram	Bakhtin_Pr	DiskursI
1	в том что	10	28
2	в отличие от	3	26
3	по отношению к	17	17
4	не может быть	8	12
5	в данном случае	3	12
6	той или иной	3	10
7	то же время	10	10
8	по природе своей	2	10
9	о том что	5	9
10	в то же	10	8
11	в этом отношении	7	8
12	по крайней мере	3	6
13	с точки зрения	21	6
14	в русской литературе	2	5
15	и как бы	3	5
16	подобно тому как	5	5
17	не только в	2	5
18	с другой стороны	3	5
19	можно сказать что	3	4
20	и не может	3	4
21	то есть в	10	3
22	во всяком случае	3	3
23	то ни было	2	2
24	точки зрения на	2	2
25	а не как	4	2
26	бы то ни	3	2
27	он не может	2	2
28	а не только	2	2
29	сами по себе	4	2
30	как мы видели	3	2
31	все то что	3	2
32	точка зрения на	2	2
33	не совпадает с	2	2
34	в большинстве случаев	3	2
35	с самого начала	3	2
36	и в том	2	2
37	в том и	2	2
38	только то что	2	2
39	и в то	3	2
40	в одном из	3	2
