N	2gram	Propp_Morf	TeoriaLi
1	в качестве	8	33
2	не только	8	24
3	и в	17	24
4	в частности	2	23
5	состоит в	3	22
6	может быть	61	22
7	в том	10	20
8	тогда как	2	18
9	и не	16	17
10	а в	8	15
11	но и	9	14
12	так и	10	14
13	а не	11	14
14	но не	8	13
15	представляет собой	17	13
16	в этом	18	12
17	то же	10	12
18	но в	4	12
19	том что	7	11
20	точки зрения	7	11
21	и его	3	11
22	по отношению	7	10
23	отношению к	7	10
24	как это	7	10
25	что в	10	10
26	в данном	2	9
27	не в	3	9
28	с другой	9	9
29	в то	4	9
30	только в	3	9
31	не может	19	8
32	как бы	6	8
33	а также	7	7
34	мы имеем	19	7
35	себя в	2	7
36	во второй	2	7
37	однако в	2	7
38	другой стороны	5	6
39	со стороны	5	6
40	не менее	7	6
41	героя и	3	6
42	еще не	4	6
43	то что	10	6
44	или менее	2	6
45	как и	4	6
46	более или	2	6
47	с другими	2	6
48	уже не	4	6
49	приводит к	3	6
50	в основе	2	6
51	с его	3	6
52	данном случае	2	5
53	а и	3	5
54	как в	5	5
55	ни в	3	5
56	и тем	3	5
57	в ходе	5	5
58	не является	4	5
59	для того	3	5
60	в пределах	3	5
61	для него	2	5
62	между тем	5	5
63	могут быть	21	5
64	а а	2	5
65	того чтобы	4	5
66	того что	3	5
67	он не	5	5
68	можно сказать	2	5
69	сказать что	4	4
70	его в	4	4
71	это не	6	4
72	и ее	5	4
73	в форме	6	4
74	в другом	2	4
75	в этих	17	4
76	что он	5	4
77	по своему	2	4
78	далеко не	5	4
79	к тому	5	4
80	входит в	4	4
81	в целом	5	4
82	и что	3	4
83	говорить о	4	4
84	не на	2	4
85	в нашем	6	4
86	не знает	2	4
87	хотя и	5	4
88	перед нами	14	3
89	герой не	2	3
90	во всех	6	3
91	из этих	2	3
92	одной стороны	2	3
93	в которой	3	3
94	не все	6	3
95	и для	4	3
96	тем не	7	3
97	и как	6	3
98	если бы	3	3
99	роль в	2	3
100	или в	6	3
101	он должен	3	3
102	подобно тому	6	3
103	одним из	2	3
104	с этой	3	3
105	ни к	2	3
106	никто не	4	3
107	между собой	5	3
108	с одной	2	3
109	и др	12	3
110	в итоге	2	3
111	а с	2	3
112	не с	2	3
113	их в	2	3
114	потому что	7	3
115	тому как	5	3
116	во втором	7	3
117	имеем в	8	3
118	прежде всего	14	3
119	и к	4	3
120	с точки	6	3
121	а на	3	3
122	все эти	5	3
123	и по	3	3
124	связи с	12	3
125	в связи	10	3
126	таким образом	26	3
127	например в	2	3
128	в этой	3	3
129	в одном	2	3
130	вовсе не	6	3
131	вслед за	5	3
132	в каком	2	2
133	не от	2	2
134	могла бы	4	2
135	не могут	7	2
136	право на	2	2
137	то в	3	2
138	так же	4	2
139	если в	7	2
140	но как	3	2
141	таких случаях	2	2
142	дело не	2	2
143	не всегда	10	2
144	что она	2	2
145	это было	3	2
146	как уже	3	2
147	в глаза	2	2
148	об этом	5	2
149	и даже	2	2
150	и здесь	7	2
151	это и	3	2
152	превращается в	2	2
153	ни было	2	2
154	у нас	3	2
155	и другие	6	2
156	и иных	2	2
157	у него	2	2
158	самом деле	4	2
159	на вопрос	2	2
160	в чем	2	2
161	в какой	3	2
162	на котором	4	2
163	здесь мы	3	2
164	одной из	2	2
165	вытекает из	2	2
166	к нему	3	2
167	ее в	3	2
168	тому что	5	2
169	о том	6	2
170	что такое	3	2
171	могли бы	2	2
172	если мы	6	2
173	оно не	2	2
174	не входит	2	2
175	однако все	2	2
176	на этом	4	2
177	к чему	3	2
178	к герою	3	2
179	из которых	5	2
180	один из	7	2
181	подобных случаях	4	2
182	вопрос что	3	2
183	несмотря на	4	2
184	здесь не	3	2
185	что и	10	2
186	а затем	10	2
187	и больше	2	2
188	к другому	2	2
189	быть названо	4	2
190	о его	4	2
191	и наоборот	4	2
192	то ни	3	2
193	себя и	2	2
194	все это	2	2
195	что они	5	2
196	как будто	2	2
197	в первом	5	2
198	в большинстве	3	2
199	случае не	4	2
200	бы то	3	2
201	который в	2	2
202	тем же	2	2
203	чем это	2	2
204	быть и	2	2
