N	3gram	Vygotskiy_	Analitik
1	в том что	20	25
2	не может быть	3	19
3	о том что	8	15
4	в данном случае	5	14
5	к тому же	2	13
6	с одной стороны	6	9
7	с другой стороны	5	9
8	того или иного	2	9
9	в свою очередь	3	9
10	в том чтобы	2	9
11	с точки зрения	11	8
12	состоит в том	2	8
13	во всяком случае	6	7
14	не только не	3	5
15	в самом деле	29	4
16	том что он	3	4
17	для того чтобы	17	4
18	не в том	2	4
19	и в этом	6	4
20	и т п	7	3
21	между тем в	2	3
22	то же самое	12	3
23	речь идет о	5	3
24	и как бы	2	3
25	сам по себе	2	3
26	одной и той	3	3
27	сами по себе	3	3
28	и той же	3	3
29	и в самом	15	3
30	и то что	3	3
31	одно и то	3	2
32	что он не	4	2
33	как если бы	3	2
34	и то же	3	2
35	в противоречие с	2	2
36	можно было бы	6	2
37	к тому что	5	2
38	в русской поэзии	2	2
39	как нельзя лучше	3	2
40	друг с другом	2	2
41	в том и	2	2
42	совершенно очевидно что	3	2
43	заключается в том	10	2
44	этой точки зрения	2	2
45	до тех пор	2	2
46	с этой точки	2	2
47	до сих пор	6	2
48	смысле этого слова	5	2
49	и в сущности	2	2
50	на то что	16	2
51	в сущности говоря	10	2
