N	2gram	Medvedev_F	KulturaY
1	и т	22	143
2	т е	50	102
3	т п	11	93
4	и в	54	84
5	в том	17	74
6	потому что	2	68
7	не только	14	60
8	точки зрения	21	59
9	в этом	39	57
10	было бы	10	53
11	и не	34	52
12	может быть	30	47
13	том что	3	44
14	того чтобы	4	44
15	что в	10	44
16	т д	11	42
17	для того	3	41
18	в самом	17	41
19	у нас	6	38
20	самом деле	12	37
21	хотя бы	10	37
22	так как	4	36
23	с точки	17	36
24	в области	6	34
25	таким образом	28	33
26	а не	11	33
27	если бы	8	32
28	не в	16	30
29	прежде всего	34	30
30	в его	30	30
31	и пр	30	30
32	все же	8	29
33	того что	7	28
34	не менее	12	28
35	все эти	12	28
36	в языке	5	26
37	уже не	9	26
38	не может	26	25
39	то что	14	25
40	вовсе не	18	25
41	вопрос о	3	24
42	еще не	6	24
43	с другой	8	24
44	так и	24	23
45	то же	16	23
46	только в	6	23
47	с помощью	13	23
48	языка в	8	22
49	тем не	2	21
50	во всяком	6	20
51	но и	18	20
52	по себе	10	20
53	и что	2	20
54	что он	8	19
55	но в	9	19
56	языка и	13	19
57	зависимости от	5	19
58	тем что	6	19
59	всяком случае	6	19
60	что же	6	19
61	между тем	4	18
62	связи с	12	18
63	все это	11	18
64	в качестве	2	18
65	к тому	6	18
66	с тем	11	18
67	в сущности	3	18
68	как бы	10	18
69	и с	17	18
70	вместе с	8	18
71	это не	4	17
72	как раз	8	17
73	как это	8	17
74	можно говорить	2	17
75	другой стороны	5	17
76	о языке	4	17
77	в той	3	17
78	слова и	5	17
79	в виду	2	16
80	ничего не	5	16
81	в зависимости	4	16
82	в русском	2	16
83	что не	4	16
84	что и	10	16
85	но не	5	16
86	по отношению	4	15
87	и тем	3	15
88	один из	4	15
89	а в	11	15
90	при этом	14	15
91	в данном	2	15
92	должно быть	13	15
93	целый ряд	4	15
94	лишь в	15	15
95	том чтобы	3	15
96	именно в	12	15
97	не было	7	15
98	как на	5	15
99	в нашем	2	15
100	в них	4	14
101	в связи	11	14
102	хотя и	3	14
103	как мы	10	14
104	сказать что	3	14
105	отношению к	4	14
106	сих пор	7	14
107	что такое	2	14
108	если мы	5	14
109	и на	10	14
110	в ней	15	14
111	до сих	7	14
112	не могут	8	13
113	это и	7	13
114	по существу	8	13
115	в пределах	13	13
116	в этой	10	13
117	там где	3	13
118	и его	27	13
119	той же	2	13
120	этот вопрос	2	12
121	для этого	6	12
122	вопроса о	2	12
123	с этой	4	12
124	как в	12	12
125	а только	4	12
126	могут быть	7	12
127	этого слова	4	12
128	в результате	8	12
129	говорить о	4	12
130	однако не	5	12
131	ясно что	3	12
132	должен быть	5	11
133	в их	16	11
134	в своем	12	11
135	языка как	11	11
136	речи и	2	11
137	язык как	8	11
138	из этих	4	11
139	должна быть	11	11
140	в нем	25	11
141	этом отношении	7	11
142	совершенно не	5	11
143	и здесь	8	11
144	что язык	2	11
145	слова в	2	11
146	в какой	3	11
147	и если	2	11
148	он не	8	11
149	тем самым	5	10
150	так же	5	10
151	в то	14	10
152	к этому	3	10
153	со стороны	7	10
154	они не	7	10
155	в общем	8	10
156	как и	18	10
157	вряд ли	2	10
158	тех же	2	10
159	того или	6	10
160	с этим	6	10
161	бы в	6	10
162	несмотря на	2	10
163	в особенности	7	10
164	от того	2	10
165	в первом	8	10
166	на фоне	7	10
167	этом смысле	3	10
168	конечно не	5	10
169	очевидно что	2	9
170	в целом	7	9
171	здесь не	5	9
172	и для	5	9
173	в своей	16	9
174	можно сказать	2	9
175	или иного	8	9
176	но это	4	9
177	в которой	5	9
178	и вот	2	9
179	слова как	2	9
180	не имеет	2	9
181	на то	2	9
182	ни в	3	9
183	но для	4	9
184	мы говорим	4	9
185	на самом	8	8
186	в частности	4	8
187	в структуре	2	8
188	мы видели	5	8
189	в своих	3	8
190	состоит в	3	8
191	что на	3	8
192	в чем	2	8
193	литературный язык	6	8
194	с одной	5	8
195	и о	3	8
196	был бы	2	8
197	что они	4	8
198	с его	12	8
199	то и	2	8
200	независимо от	5	8
201	е как	3	8
202	по преимуществу	6	8
203	и как	6	8
204	в статье	5	8
205	в этих	3	8
206	тому что	3	8
207	смысл и	2	8
208	но все	4	8
209	далеко не	2	8
210	не есть	4	8
211	отнюдь не	13	8
212	в таком	2	8
213	же в	4	8
214	до конца	9	7
215	в свою	8	7
216	идет о	3	7
217	языке как	5	7
218	в процессе	17	7
219	в поэзии	5	7
220	как он	2	7
221	свою очередь	6	7
222	и потому	9	7
223	была бы	4	7
224	смысле этого	4	7
225	к вопросу	2	7
226	она не	8	7
227	следует что	3	7
228	одной стороны	5	7
229	нисколько не	2	7
230	так сказать	6	7
231	указать на	2	7
232	том случае	2	7
233	как о	8	7
234	же и	2	7
235	язык в	2	7
236	в истории	10	7
237	а именно	3	7
238	не следует	5	7
239	и более	4	7
240	в самой	2	7
241	и должно	4	7
242	есть лишь	3	7
243	столь же	2	7
244	в котором	2	7
245	когда он	3	7
246	с ним	3	7
247	в одном	2	7
248	сводится к	6	7
249	только как	3	7
250	в слове	4	7
251	учение о	4	7
252	даже в	2	6
253	перед нами	3	6
254	данном случае	2	6
255	она есть	2	6
256	в себе	4	6
257	как к	5	6
258	грамматических форм	2	6
259	роль в	2	6
260	на этом	2	6
261	е в	2	6
262	п в	2	6
263	внутренняя форма	2	6
264	отличие от	2	6
265	мы знаем	3	6
266	от этого	3	6
267	в отличие	2	6
268	что оно	4	6
269	не столько	5	6
270	в ее	10	6
271	должны быть	6	6
272	не на	3	6
273	на язык	5	6
274	в корне	6	6
275	что если	2	6
276	же это	2	6
277	за пределы	2	6
278	мы не	6	6
279	отличается от	4	6
280	прежде чем	2	6
281	или в	2	6
282	же время	13	6
283	не с	2	6
284	литературного языка	3	6
285	оно не	6	6
286	языка не	2	6
287	приводит к	4	6
288	главным образом	5	6
289	или иное	2	6
290	чтобы не	2	6
291	что именно	2	6
292	на основе	6	6
293	тем же	3	6
294	никогда не	6	5
295	в отношении	3	5
296	к его	3	5
297	и к	7	5
298	все те	2	5
299	а на	2	5
300	в форме	2	5
301	в другом	2	5
302	в конце	2	5
303	слово в	2	5
304	в современной	2	5
305	или менее	7	5
306	так что	2	5
